asset,t,mu_mix_pct,contrib_bull_pct,contrib_bear_pct
SPX,1,0.3400828689336777,1.0840801000595093,-0.7439972162246704
SPX,2,0.3400828689336777,1.0840801000595093,-0.7439972162246704
SPX,3,0.3400828689336777,1.0840801000595093,-0.7439972162246704
SPX,4,0.3400828689336777,1.0840801000595093,-0.7439972162246704
SPX,5,0.3400828689336777,1.0840801000595093,-0.7439972162246704
SPX,6,0.3400828689336777,1.0840801000595093,-0.7439972162246704
SPX,7,0.3400828689336777,1.0840801000595093,-0.7439972162246704
SPX,8,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,9,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,10,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,11,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,12,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,13,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,14,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,15,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,16,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,17,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,18,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,19,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,20,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,21,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,22,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,23,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,24,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,25,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,26,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,27,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,28,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,29,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,30,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,31,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,32,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,33,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,34,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,35,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,36,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,37,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,38,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,39,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,40,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,41,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,42,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,43,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,44,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,45,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,46,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,47,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,48,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,49,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,50,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,51,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,52,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,53,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,54,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,55,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,56,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,57,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,58,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,59,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,60,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,61,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,62,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,63,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,64,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,65,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,66,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,67,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,68,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,69,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,70,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,71,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,72,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,73,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,74,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,75,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,76,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,77,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,78,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,79,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,80,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,81,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,82,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,83,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,84,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,85,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,86,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,87,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,88,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,89,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
SPX,90,-0.39327587001025677,0.7227200269699097,-1.1159958839416504
