asset,source,t,p_bull
SPX,p_dl_rollout,117,0.4000000059604645
SPX,p_dl_rollout,118,0.4000000059604645
SPX,p_dl_rollout,119,0.4000000059604645
SPX,p_dl_rollout,120,0.4000000059604645
SPX,p_dl_rollout,121,0.4000000059604645
SPX,p_dl_rollout,122,0.4000000059604645
SPX,p_dl_rollout,123,0.4000000059604645
SPX,p_dl_rollout,124,0.4000000059604645
SPX,p_dl_rollout,125,0.4000000059604645
SPX,p_dl_rollout,126,0.4000000059604645
SPX,p_dl_rollout,127,0.4000000059604645
SPX,p_dl_rollout,128,0.4000000059604645
SPX,p_dl_rollout,129,0.4000000059604645
SPX,p_dl_rollout,130,0.4000000059604645
SPX,p_dl_rollout,131,0.4000000059604645
SPX,p_dl_rollout,132,0.4000000059604645
SPX,p_dl_rollout,133,0.4000000059604645
SPX,p_dl_rollout,134,0.4000000059604645
SPX,p_dl_rollout,135,0.4000000059604645
SPX,p_dl_rollout,136,0.4000000059604645
SPX,p_dl_rollout,137,0.4000000059604645
SPX,p_dl_rollout,138,0.4000000059604645
SPX,p_dl_rollout,139,0.4000000059604645
SPX,p_dl_rollout,140,0.4000000059604645
SPX,p_dl_rollout,141,0.4000000059604645
SPX,p_dl_rollout,142,0.4000000059604645
SPX,p_dl_rollout,143,0.4000000059604645
SPX,p_dl_rollout,144,0.4000000059604645
SPX,p_dl_rollout,145,0.4000000059604645
SPX,p_dl_rollout,146,0.4000000059604645
SPX,p_dl_rollout,147,0.4000000059604645
SPX,p_dl_rollout,148,0.4000000059604645
SPX,p_dl_rollout,149,0.4000000059604645
SPX,p_dl_rollout,150,0.4000000059604645
SPX,p_dl_rollout,151,0.4000000059604645
SPX,p_dl_rollout,152,0.4000000059604645
SPX,p_dl_rollout,153,0.4000000059604645
SPX,p_dl_rollout,154,0.4000000059604645
SPX,p_dl_rollout,155,0.4000000059604645
SPX,p_dl_rollout,156,0.4000000059604645
SPX,p_dl_rollout,157,0.4000000059604645
SPX,p_dl_rollout,158,0.4000000059604645
SPX,p_dl_rollout,159,0.4000000059604645
SPX,p_dl_rollout,160,0.4000000059604645
SPX,p_dl_rollout,161,0.4000000059604645
SPX,p_dl_rollout,162,0.4000000059604645
SPX,p_dl_rollout,163,0.4000000059604645
SPX,p_hist_csv,1,0.9018
SPX,p_hist_csv,2,0.085
SPX,p_hist_csv,3,0.1034
SPX,p_hist_csv,4,0.9076
SPX,p_hist_csv,5,0.3238
SPX,p_hist_csv,6,0.649
SPX,p_hist_csv,7,0.6474
SPX,p_hist_csv,8,0.7692
SPX,p_hist_csv,9,0.671
SPX,p_hist_csv,10,0.8316
SPX,p_hist_csv,11,0.8466
SPX,p_hist_csv,12,0.1138
SPX,p_hist_csv,13,0.9068
SPX,p_hist_csv,14,0.0784
SPX,p_hist_csv,15,0.9042
SPX,p_hist_csv,16,0.914
SPX,p_hist_csv,17,0.9192
SPX,p_hist_csv,18,0.0752
SPX,p_hist_csv,19,0.9156
SPX,p_hist_csv,20,0.8968
SPX,p_hist_csv,21,0.9154
SPX,p_hist_csv,22,0.0736
SPX,p_hist_csv,23,0.924
SPX,p_hist_csv,24,0.9284
SPX,p_hist_csv,25,0.8898
SPX,p_hist_csv,26,0.8978
SPX,p_hist_csv,27,0.9142
SPX,p_hist_csv,28,0.9288
SPX,p_hist_csv,29,0.9192
SPX,p_hist_csv,30,0.927
SPX,p_hist_csv,31,0.9316
SPX,p_hist_csv,32,0.0668
SPX,p_hist_csv,33,0.9424
SPX,p_hist_csv,34,0.0652
SPX,p_hist_csv,35,0.934
SPX,p_hist_csv,36,0.9338
SPX,p_hist_csv,37,0.9044
SPX,p_hist_csv,38,0.9272
SPX,p_hist_csv,39,0.945
SPX,p_hist_csv,40,0.0894
SPX,p_hist_csv,41,0.9312
SPX,p_hist_csv,42,0.9362
SPX,p_hist_csv,43,0.939
SPX,p_hist_csv,44,0.9446
SPX,p_hist_csv,45,0.0636
SPX,p_hist_csv,46,0.059
SPX,p_hist_csv,47,0.9444
SPX,p_hist_csv,48,0.8992
SPX,p_hist_csv,49,0.076
SPX,p_hist_csv,50,0.8336
SPX,p_hist_csv,51,0.8352
SPX,p_hist_csv,52,0.8912
SPX,p_hist_csv,53,0.934
SPX,p_hist_csv,54,0.0824
SPX,p_hist_csv,55,0.0558
SPX,p_hist_csv,56,0.21
SPX,p_hist_csv,57,0.4568
SPX,p_hist_csv,58,0.2484
SPX,p_hist_csv,59,0.7762
SPX,p_hist_csv,60,0.8044
SPX,p_hist_csv,61,0.8918
SPX,p_hist_csv,62,0.0842
SPX,p_hist_csv,63,0.181
SPX,p_hist_csv,64,0.2684
SPX,p_hist_csv,65,0.5244
SPX,p_hist_csv,66,0.7676
SPX,p_hist_csv,67,0.827
SPX,p_hist_csv,68,0.7988
SPX,p_hist_csv,69,0.6552
SPX,p_hist_csv,70,0.4282
SPX,p_hist_csv,71,0.2226
SPX,p_hist_csv,72,0.2532
SPX,p_hist_csv,73,0.4306
SPX,p_hist_csv,74,0.1514
SPX,p_hist_csv,75,0.317
SPX,p_hist_csv,76,0.1258
SPX,p_hist_csv,77,0.1172
SPX,p_hist_csv,78,0.1186
SPX,p_hist_csv,79,0.7898
SPX,p_hist_csv,80,0.3486
SPX,p_hist_csv,81,0.413
SPX,p_hist_csv,82,0.6334
SPX,p_hist_csv,83,0.3482
SPX,p_hist_csv,84,0.4348
SPX,p_hist_csv,85,0.5824
SPX,p_hist_csv,86,0.6698
SPX,p_hist_csv,87,0.212
SPX,p_hist_csv,88,0.1438
SPX,p_hist_csv,89,0.1638
SPX,p_hist_csv,90,0.0796
SPX,p_hist_csv,91,0.089
SPX,p_hist_csv,92,0.0926
SPX,p_hist_csv,93,0.2316
SPX,p_hist_csv,94,0.2998
SPX,p_hist_csv,95,0.1102
SPX,p_hist_csv,96,0.11
SPX,p_hist_csv,97,0.0736
SPX,p_hist_csv,98,0.94
SPX,p_hist_csv,99,0.1598
SPX,p_hist_csv,100,0.3338
SPX,p_hist_csv,101,0.561
SPX,p_hist_csv,102,0.1742
SPX,p_hist_csv,103,0.153
SPX,p_hist_csv,104,0.328
SPX,p_hist_csv,105,0.5404
SPX,p_hist_csv,106,0.2344
SPX,p_hist_csv,107,0.7098
SPX,p_hist_csv,108,0.816
SPX,p_hist_csv,109,0.8212
SPX,p_hist_csv,110,0.1444
SPX,p_hist_csv,111,0.873
SPX,p_hist_csv,112,0.8978
SPX,p_hist_csv,113,0.7394
SPX,p_hist_csv,114,0.1528
SPX,p_hist_csv,115,0.7438
SPX,p_hist_csv,116,0.3584
SPX,p_hist_csv,117,0.5566
SPX,p_hist_csv,118,0.4754
SPX,p_hist_csv,119,0.654
SPX,p_hist_csv,120,0.1928
SPX,p_hist_csv,121,0.8552
SPX,p_hist_csv,122,0.9032
SPX,p_hist_csv,123,0.898
SPX,p_hist_csv,124,0.0836
SPX,p_hist_csv,125,0.905
SPX,p_hist_csv,126,0.913
SPX,p_hist_csv,127,0.9058
SPX,p_hist_csv,128,0.9148
SPX,p_hist_csv,129,0.8814
SPX,p_hist_csv,130,0.8778
SPX,p_hist_csv,131,0.8728
SPX,p_hist_csv,132,0.8866
SPX,p_hist_csv,133,0.884
SPX,p_hist_csv,134,0.9144
SPX,p_hist_csv,135,0.9228
SPX,p_hist_csv,136,0.1212
SPX,p_hist_csv,137,0.8826
SPX,p_hist_csv,138,0.8202
SPX,p_hist_csv,139,0.894
SPX,p_hist_csv,140,0.891
SPX,p_hist_csv,141,0.889
SPX,p_hist_csv,142,0.9144
SPX,p_hist_csv,143,0.7424
SPX,p_hist_csv,144,0.8254
SPX,p_hist_csv,145,0.8982
SPX,p_hist_csv,146,0.928
SPX,p_hist_csv,147,0.859
SPX,p_hist_csv,148,0.7516
SPX,p_hist_csv,149,0.801
SPX,p_hist_csv,150,0.3702
SPX,p_hist_csv,151,0.5254
SPX,p_hist_csv,152,0.7136
SPX,p_hist_csv,153,0.8318
SPX,p_hist_csv,154,0.8898
SPX,p_hist_csv,155,0.1294
SPX,p_hist_csv,156,0.9184
SPX,p_hist_csv,157,0.9222
SPX,p_hist_csv,158,0.887
SPX,p_hist_csv,159,0.0884
SPX,p_hist_csv,160,0.0774
SPX,p_hist_csv,161,0.9224
SPX,p_hist_csv,162,0.9248
SPX,p_hist_csv,163,0.928
SPX,p_sign_oracle,1,1.0
SPX,p_sign_oracle,2,0.0
SPX,p_sign_oracle,3,1.0
SPX,p_sign_oracle,4,0.0
SPX,p_sign_oracle,5,1.0
SPX,p_sign_oracle,6,1.0
SPX,p_sign_oracle,7,0.0
SPX,p_sign_oracle,8,0.0
SPX,p_sign_oracle,9,1.0
SPX,p_sign_oracle,10,1.0
SPX,p_sign_oracle,11,0.0
SPX,p_sign_oracle,12,1.0
SPX,p_sign_oracle,13,1.0
SPX,p_sign_oracle,14,1.0
SPX,p_sign_oracle,15,1.0
SPX,p_sign_oracle,16,0.0
SPX,p_sign_oracle,17,1.0
SPX,p_sign_oracle,18,1.0
SPX,p_sign_oracle,19,0.0
SPX,p_sign_oracle,20,0.0
