scenario_idx,R_cumul_SPX_final
0,0.5147002935409546
1,-0.08159947395324707
2,0.49990832805633545
3,0.8538094758987427
4,0.9015250205993652
5,0.05878150463104248
6,0.6501524448394775
7,2.8978631496429443
8,0.18349051475524902
9,1.4053661823272705
10,1.2732017040252686
11,-0.02977919578552246
12,1.6245501041412354
13,0.11877787113189697
14,2.390782594680786
15,-0.5847299098968506
16,1.199796199798584
17,0.2097994089126587
18,0.41443049907684326
19,0.5770567655563354
20,0.38046741485595703
21,0.7830193042755127
22,-0.14272230863571167
23,0.16766595840454102
24,0.24251067638397217
25,-0.38095271587371826
26,0.05755424499511719
27,0.42868053913116455
28,-0.13092255592346191
29,0.44226932525634766
30,0.33925068378448486
31,0.8070306777954102
32,1.0695147514343262
33,1.148986577987671
34,1.0242407321929932
35,0.45469582080841064
36,-0.4241063594818115
37,1.1774649620056152
38,0.09731078147888184
39,0.9832122325897217
40,0.20760273933410645
41,0.8401145935058594
42,-0.17680048942565918
43,0.10346949100494385
44,-0.43010950088500977
45,-0.2884172797203064
46,0.9248249530792236
47,0.12107539176940918
48,0.029524922370910645
49,2.2605433464050293
50,0.5789740085601807
51,0.679043173789978
52,0.9771522283554077
53,-0.5007386207580566
54,1.4381155967712402
55,0.15965020656585693
56,0.6577321290969849
57,-0.1159282922744751
58,-0.5572259426116943
59,1.234288215637207
60,0.0021867752075195312
61,0.451749324798584
62,0.07489979267120361
63,0.8255997896194458
64,0.6698571443557739
65,-0.021479249000549316
66,0.6504982709884644
67,0.5191782712936401
68,0.30244719982147217
69,1.6940057277679443
70,0.39848530292510986
71,0.8163028955459595
72,-0.08706831932067871
73,0.5077166557312012
74,0.6973381042480469
75,0.48926401138305664
76,0.0211106538772583
77,1.4595556259155273
78,-0.09719133377075195
79,0.1647498607635498
80,0.024745941162109375
81,-0.4988924264907837
82,-0.18355822563171387
83,0.2645440101623535
84,0.14983713626861572
85,-0.15750747919082642
86,0.7225395441055298
87,-0.4033750891685486
88,0.423855185508728
89,-0.2712864279747009
90,-0.3185010552406311
91,-0.07937926054000854
92,-0.34744536876678467
93,0.5602401494979858
94,2.646775007247925
95,0.5003781318664551
96,0.5280469655990601
97,-0.29282212257385254
98,-0.3174613118171692
99,0.023990631103515625
100,-0.3055512309074402
101,2.04268479347229
102,1.7700541019439697
103,0.9096808433532715
104,0.19688940048217773
105,-0.4651828408241272
106,0.2824825048446655
107,1.3722386360168457
108,-0.32873713970184326
109,0.30304956436157227
110,0.546550989151001
111,-0.2385198473930359
112,-0.04536086320877075
113,0.841170072555542
114,0.25763022899627686
115,-0.1458357572555542
116,0.625867486000061
117,0.017521977424621582
118,-0.2828400135040283
119,0.876474142074585
120,0.958509087562561
121,0.13518333435058594
122,0.9868521690368652
123,0.5199073553085327
124,1.678095817565918
125,-0.5326185822486877
126,0.03320276737213135
127,1.6291885375976562
128,0.3615415096282959
129,0.4028850793838501
130,2.068268060684204
131,0.8667647838592529
132,-0.24337553977966309
133,0.2250593900680542
134,-0.4790765047073364
135,0.33894169330596924
136,0.7435637712478638
137,0.44655144214630127
138,1.6061997413635254
139,-0.5504337549209595
140,0.6980026960372925
141,0.07404685020446777
142,0.14680945873260498
143,-0.38635963201522827
144,0.016503572463989258
145,1.037578821182251
146,0.7021797895431519
147,-0.16545909643173218
148,0.18971240520477295
149,0.7715332508087158
150,0.30823206901550293
151,0.14696812629699707
152,1.1132705211639404
153,1.8536088466644287
154,-0.4342430830001831
155,0.6011453866958618
156,0.23819506168365479
157,0.6521748304367065
158,-0.045259296894073486
159,0.6700097322463989
160,0.00750124454498291
161,0.6536177396774292
162,-0.346435010433197
163,0.8163855075836182
164,0.7317330837249756
165,0.3998194932937622
166,-0.3809705972671509
167,0.1519787311553955
168,1.6413347721099854
169,-0.17165714502334595
170,-0.8899732828140259
171,0.8724945783615112
172,1.3497180938720703
173,-0.05050623416900635
174,-0.2669604420661926
175,1.5673894882202148
176,0.23756766319274902
177,0.3376353979110718
178,-0.6656850576400757
179,-0.03804671764373779
180,-0.013599097728729248
181,0.24765121936798096
182,0.6731152534484863
183,-0.4122123718261719
184,0.10107898712158203
185,0.6165412664413452
186,0.1741933822631836
187,0.3434772491455078
188,0.31938838958740234
189,0.3610999584197998
190,0.9034318923950195
191,-0.050745368003845215
192,1.8493173122406006
193,-0.24619561433792114
194,0.2069251537322998
195,-0.0381583571434021
196,-0.5386630892753601
197,2.160386323928833
198,-0.6148892641067505
