t,OPT,RG_g*,NaiveRB,NaiveBH
1,10000.0,10000.0,10000.0,10000.0
2,11621.805957415456,10156.015757505558,11833.393279158625,11836.890555
3,11038.603671305817,10005.055872117107,11176.978843843122,11181.550851183352
4,10484.260992625645,10197.597095323386,10499.387710981664,10506.052415627846
5,10975.125393459128,9854.131634057638,11112.709838118222,11122.054212408477
6,11813.656343749866,10301.704879446761,12011.398238695456,12022.41229491642
7,13034.855597629945,10428.145577423767,13410.984672036457,13426.09409182255
8,13833.328067777664,10353.35366268149,14364.86512205546,14383.50814992743
9,12315.472668751809,10096.956713040925,12605.39421545122,12625.745480740534
10,12735.160817882052,10178.201643245711,13082.268245205825,13104.297400908528
11,13734.98784704897,10443.350629887895,14208.527835661595,14234.268477393447
12,13875.587122279465,10362.955843545195,14401.756136490194,14428.596368939101
13,13757.149754335502,10524.40137750793,14053.938157144417,14081.594859419747
14,14245.546063522554,10643.754040949852,14784.85337221406,14815.312430804848
15,14603.351221447723,10928.3378651947,15139.644201056397,15170.933056854543
16,15273.136835641208,11077.316192497105,16167.45719583101,16202.801492533119
17,14441.241993833071,11063.279421984716,14691.771591878645,14727.889905056742
18,15040.29451159469,11065.925734653347,15715.232468757726,15756.261761640173
19,15600.445198674019,11201.211021157507,16569.135005916083,16613.97053288187
20,15227.796647759676,11044.645062273603,16059.797977937133,16103.971687108628
21,13334.833501215558,10996.937147347184,12728.879346023627,12774.166312334582
22,13309.668443056911,11123.877317829532,12586.645843818245,12632.158562466951
23,13743.600586275023,11191.882426619877,13224.795958697981,13273.959391966513
24,13494.257759530183,11238.221418062209,12760.738188248593,12809.522050104017
25,13152.80548687887,11021.86277650911,12377.693095203813,12425.367084154374
26,12906.035444513385,11320.028268349859,11701.127451809387,11748.872912341005
27,13263.503424374006,11507.906795168843,12125.83518857546,12175.873303279117
28,13374.769366656148,11553.321462058751,12302.268077754306,12353.353179334481
29,13003.749777837516,11440.693754429389,11666.226755259746,11716.033225522471
30,13311.843976373639,11662.288976373298,12009.481948907309,12061.040627715665
31,13800.458102093118,11618.510212873767,13094.423669195403,13153.247754918957
32,14157.345366925485,11727.06958043541,13719.721361694224,13782.562703737301
33,14624.255531865354,11809.986909823629,14643.411838885288,14712.433542378792
34,14675.080455116662,11740.18436814035,14883.620647775551,14954.584022165667
35,14855.009365652591,11917.778892408895,15007.065681501654,15078.870358652579
36,15095.275645234708,11986.454567300303,15489.139294003091,15564.21563264114
37,14471.93798163981,11781.610935332794,14275.866002058368,14347.639550401282
38,14545.609054589559,11713.796052415399,14583.469400150714,14657.750428804604
39,14292.985218010801,11773.072991641002,13829.73731034654,13902.365781589233
40,14331.982563518863,11510.040685012515,14393.565120485626,14471.266924651658
41,14696.863553365003,11600.296067019875,15144.819771195202,15228.10559611402
42,15181.5095158983,11809.803115242836,16017.467604261701,16106.979622100178
43,15384.470726404368,12002.430762400729,16153.53849332465,16244.122218220407
44,15701.296035825482,12161.096362353384,16682.0150300536,16776.330774219867
45,15946.929687126918,12402.027517776292,16827.808479815325,16923.407700162465
46,16029.388322009554,12363.210742519785,17144.421999024613,17242.733406939387
47,15794.610987276867,12403.038089977586,16385.65844400552,16481.754430651275
48,15343.934378308939,12127.166168071291,15747.288251212705,15840.355263177713
49,15194.009472894662,11977.94255209253,15659.006049929285,15751.818749664879
50,15371.807267472292,12427.540788456005,15171.903305325539,15264.611097162604
51,15008.708392395105,12184.166741338717,14712.015243330718,14802.334004615606
52,15511.700851850757,12458.328744817778,15471.397284985156,15567.404893976722
53,15327.985907174516,12564.354444255252,14766.297418361191,14860.128862477908
54,14759.553604499319,12327.115075490285,13773.219131349959,13862.661280315093
55,14719.291674816264,12289.685290630774,13742.632196782275,13831.90411748782
56,13485.962824755034,11570.853751837865,12014.741320213938,12095.440318255847
57,13585.305013009829,11659.728190656913,12096.984496486373,12178.260930833987
58,13991.794847960044,11839.031425754742,12748.168797265771,12834.933816437706
59,13863.346516639402,11621.629714372444,12823.557440150704,12911.611841656117
60,13534.789180268834,11436.66077048312,12354.229280782258,12439.752145048353
61,13541.926864628202,11530.369483269518,12203.80412095487,12288.92530034703
62,13392.899058432491,11382.743636125811,12105.574068958651,12190.157708459254
63,13031.543043731006,11050.408920088741,11823.02547198286,11905.818092590269
64,13876.345180348177,11710.537090861722,12688.418834020486,12777.645612643648
65,14255.664103053947,11918.430822529326,13235.161227330711,13329.01053378638
66,14435.267502266399,11925.77367374156,13662.62069790701,13760.526153416446
67,14073.097516708416,11773.751127785976,13040.382098429067,13135.00748989488
68,13644.709911994982,11520.020734177271,12451.31164168383,12542.472761572431
69,13304.92364524946,11198.745281224194,12202.351902877159,12291.943496856877
70,12847.076204039038,10825.984960220267,11759.67682555243,11846.113384841952
71,12675.293064670355,10803.454150638148,11382.41406621752,11466.99311444872
72,11900.434361907392,10539.694161066946,9993.741706197863,10071.178245331026
73,11525.9300259722,10213.766414663447,9671.980485469181,9746.956874577332
74,12028.084971857963,10865.064821257894,9793.059923109453,9870.20506328107
75,11971.221293410652,10734.420886102824,9855.704132748264,9933.795517595709
76,11422.01336989539,10177.619222013202,9493.5887623704,9569.20198695223
77,10062.222722115008,9570.142989338641,7496.122738224438,7560.375968182939
78,10673.195803516226,10168.015330588916,7931.086413613937,7999.147211016303
79,10284.543458213637,9940.886983225104,7470.628369405364,7535.494001079191
80,10676.380555824093,10131.481410968316,7970.875683318654,8040.930516934447
81,10534.89403005498,10036.93383065384,7817.205470083383,7886.113082207066
82,10968.2887990161,10289.563942061053,8329.16013106012,8403.328315617244
83,11504.532514309647,10718.55751707752,8827.80353689634,8906.773059538404
84,11462.154985602669,10757.154804774533,8696.426327735477,8774.637313635149
85,11925.357382638222,11101.807812297611,9158.884578426048,9241.695985583703
86,11505.2372579493,10966.971349097337,8511.119881615883,8589.526726402379
87,11032.882710794176,10514.735604099425,8164.033034456631,8239.252646583911
88,10682.508738310727,10163.242385901709,7925.566602214487,7998.678848780762
89,11150.32624561312,10527.252790667108,8369.052528465967,8446.638150814513
90,10481.147408502511,10012.685446837513,7723.489416659377,7795.735096250028
91,9965.7263625314,9535.94929661196,7325.11998538642,7393.720586717959
92,9769.069361813816,9253.971521899912,7290.422532023628,7359.160528930956
93,9895.030084027976,9392.399927439452,7361.2823822193495,7430.783709641568
94,9718.047696561736,9245.2186292045,7204.542899928977,7272.670817666497
95,10085.825255742466,9672.984805594526,7383.908360270424,7454.110612852661
96,10618.548879897591,10047.904108455668,7932.240281837394,8008.27300796848
97,10407.488874786583,9705.999717562949,7945.7088715065065,8022.586454584494
98,10389.843858391601,10262.196011546066,7211.284211970781,7284.354394899515
99,10290.645244349742,10191.041457628984,7113.454371539792,7185.655402885721
100,10413.538185529475,10346.062854392998,7162.655147611211,7235.503181843981
101,10593.222211276601,10462.532915670581,7351.745399652947,7426.784080549838
102,10293.753354424796,10103.591538322606,7211.577783976059,7285.474997767892
103,10009.953350626502,9890.736082612671,6940.651830402588,7012.084310083016
104,10031.343808827198,9871.358440573613,6998.828712674939,7071.040161941116
105,9987.135617071976,9857.68998808923,6935.46618721208,7007.160339156379
106,10167.278475492505,9999.365576838956,7099.325752027435,7172.872530370301
107,10678.851418899974,10262.875062530842,7715.986573504864,7796.922281693629
108,10869.0127315003,10194.693451898647,8141.084990878839,8227.622810509918
109,11115.116661743617,10443.008235137462,8303.9655582137,8392.32226554306
110,11309.110010018287,10610.770795299019,8466.47614492601,8556.63433048956
111,11018.151312763855,10492.060048392796,8059.3722141370945,8146.022100406322
112,11274.644971765432,10462.85564775136,8567.306720275363,8660.681141774992
113,10890.823556988777,10179.335611141154,8184.165739203091,8273.762717490026
114,10978.232426154704,10371.354001011403,8113.497126133412,8202.892710796687
115,10354.101047852264,9888.45654495799,7523.8351340899935,7607.309688798703
116,10984.077750768489,10028.4284491671,8517.419241085088,8613.9019613468
117,11109.552818295397,10166.633364297026,8583.844206238391,8681.206886748481
118,11523.993128735192,10514.735972944476,8944.18335514043,9045.794779142632
119,11507.447212182255,10503.753043172354,8925.961982084387,9027.388839169978
120,11771.63377507758,10586.89015007705,9379.551735850135,9487.056306600081
121,11514.937397367621,10576.34280125957,8814.66288309523,8917.183520225777
122,11714.46554174301,10667.954805317198,9107.333386440145,9213.788742166884
123,11672.140142845827,10582.592564517947,9150.75572927885,9258.012113316823
124,11423.7753627911,10551.40988882433,8635.362561799504,8737.883466834986
125,11610.2250386687,10723.716381725422,8776.153904617875,8880.346875676503
126,11644.017534688177,10758.119957831299,8797.175942589227,8901.636450549659
127,11868.903896970027,10953.113795524703,8987.90669412446,9094.709638204138
128,11833.80037144244,10995.208963611785,8838.641636284152,8944.142477461623
129,12034.495607867206,11274.837331054065,8838.250272296731,8944.314665620526
130,12177.826021943434,11117.1046593865,9399.601243323918,9514.035292399129
131,12406.677814838202,11374.994540101236,9493.144500050737,9609.028544066447
132,12262.744873891077,11242.776832127594,9383.433855679781,9497.98027305689
133,12518.57089347887,11511.649832620535,9521.695968220678,9638.144484911163
134,12571.888784915243,11590.382429693187,9512.939816769152,9629.467904368006
135,12645.809633631388,11707.042967728394,9488.962279053476,9605.499638762767
