scenario,asset,t,r_pct,cum_pct
0,SPX,1,-1.152750849723816,-1.1527538299560547
0,SPX,2,2.1467015743255615,0.9691953659057617
0,SPX,3,4.526224136352539,5.539286136627197
0,SPX,4,-3.965993881225586,1.353609561920166
0,SPX,5,2.6182785034179688,4.007327556610107
0,SPX,6,-4.592411041259766,-0.769120454788208
0,SPX,7,-5.018863677978516,-5.749386787414551
0,SPX,8,0.691642165184021,-5.097508430480957
0,SPX,9,2.0840201377868652,-3.119724988937378
0,SPX,10,-1.2624740600585938,-4.342812538146973
0,SPX,11,-0.06967960298061371,-4.409461975097656
0,SPX,12,0.057608913630247116,-4.354387283325195
0,SPX,13,-1.2298510074615479,-5.5306854248046875
0,SPX,14,-1.2573271989822388,-6.71846866607666
0,SPX,15,0.07282169163227081,-6.650537490844727
0,SPX,16,1.9496768712997437,-4.830521583557129
0,SPX,17,-4.419341087341309,-9.03637981414795
0,SPX,18,-1.6128391027450562,-10.503477096557617
0,SPX,19,-1.0259151458740234,-11.421632766723633
0,SPX,20,-5.518551826477051,-16.30987548828125
0,SPX,21,2.511931896209717,-14.207637786865234
0,SPX,22,-5.8206586837768555,-19.20131492614746
0,SPX,23,2.468261957168579,-17.20699119567871
0,SPX,24,-1.0947957038879395,-18.113405227661133
0,SPX,25,5.045986652374268,-13.981419563293457
0,SPX,26,0.36710891127586365,-13.665639877319336
0,SPX,27,4.807554721832275,-9.515070915222168
0,SPX,28,1.7651710510253906,-7.917862892150879
0,SPX,29,2.0049116611480713,-6.0716986656188965
0,SPX,30,1.9562333822250366,-4.234236717224121
0,SPX,31,1.9587539434432983,-2.358424663543701
0,SPX,32,1.9553605318069458,-0.4491746425628662
0,SPX,33,-1.0849684476852417,-1.5292704105377197
0,SPX,34,2.2083418369293213,0.6453037261962891
0,SPX,35,4.614160537719727,5.289244651794434
0,SPX,36,-3.9982869625091553,1.0794758796691895
0,SPX,37,5.063961982727051,6.198108196258545
0,SPX,38,0.8239032030105591,7.073080539703369
0,SPX,39,-1.7330751419067383,5.217421054840088
0,SPX,40,-4.134293556213379,0.8674263954162598
0,SPX,41,5.154232501983643,6.0663580894470215
0,SPX,42,0.657180666923523,6.76339864730835
0,SPX,43,-1.8009454011917114,4.840648174285889
0,SPX,44,5.2222466468811035,10.315692901611328
0,SPX,45,1.6823575496673584,12.171590805053711
0,SPX,46,-3.0975327491760254,8.697032928466797
0,SPX,47,5.060570240020752,14.19771957397461
0,SPX,48,4.476080417633057,19.309307098388672
0,SPX,49,4.782996654510498,25.015867233276367
0,SPX,50,-1.535315752029419,23.096477508544922
0,SPX,51,-1.9882872104644775,20.648967742919922
0,SPX,52,0.5832345485687256,21.352636337280273
0,SPX,53,0.5993452668190002,22.0799560546875
0,SPX,54,4.851358890533447,28.00248908996582
0,SPX,55,0.6622938513755798,28.85023307800293
0,SPX,56,-2.892911434173584,25.12271499633789
0,SPX,57,-4.03054141998291,20.07958984375
0,SPX,58,-5.78090238571167,13.13791275024414
0,SPX,59,-7.5743088722229,4.568493366241455
0,SPX,60,-9.851873397827148,-5.733460426330566
0,SPX,61,-12.972256660461426,-17.96196174621582
0,SPX,62,-3.1136202812194824,-20.516311645507812
0,SPX,63,3.0554280281066895,-18.087745666503906
0,SPX,64,1.967835783958435,-16.475845336914062
0,SPX,65,-1.780855655670166,-17.96329116821289
0,SPX,66,-0.133208230137825,-18.072568893432617
0,SPX,67,0.016091903671622276,-18.059385299682617
0,SPX,68,1.8251475095748901,-16.56385040283203
0,SPX,69,-4.184634208679199,-20.055347442626953
0,SPX,70,-1.7403497695922852,-21.44666290283203
0,SPX,71,0.13773366808891296,-21.338468551635742
0,SPX,72,-1.0222941637039185,-22.14261817932129
0,SPX,73,-4.928918361663818,-25.980144500732422
0,SPX,74,-1.2540727853775024,-26.908403396606445
0,SPX,75,0.07934253662824631,-26.85040855407715
0,SPX,76,-5.409509658813477,-30.80744171142578
0,SPX,77,2.446345567703247,-29.11475372314453
0,SPX,78,0.047834403812885284,-29.08084487915039
0,SPX,79,-4.330727577209473,-32.152164459228516
0,SPX,80,0.10476773977279663,-32.081077575683594
0,SPX,81,-1.0153040885925293,-32.77066421508789
0,SPX,82,5.03891658782959,-29.383033752441406
0,SPX,83,-4.607666492462158,-32.63682556152344
0,SPX,84,2.544687032699585,-30.922645568847656
0,SPX,85,1.8897547721862793,-29.61725616455078
0,SPX,86,4.834237098693848,-26.21479034423828
0,SPX,87,1.7521299123764038,-24.921977996826172
0,SPX,88,4.773199081420898,-21.338356018066406
0,SPX,89,-1.2071669101715088,-22.287935256958008
0,SPX,90,-1.7922788858413696,-23.68075180053711
0,SPX,91,-4.70949125289917,-27.275001525878906
0,SPX,92,0.7914590835571289,-26.699417114257812
0,SPX,93,0.4367940127849579,-26.37924575805664
0,SPX,94,4.898838996887207,-22.772687911987305
0,SPX,95,1.6254905462265015,-21.517366409301758
0,SPX,96,4.824054718017578,-17.731321334838867
0,SPX,97,-1.3558998107910156,-18.846797943115234
0,SPX,98,-3.132246494293213,-21.388715744018555
0,SPX,99,-4.890779495239258,-25.233423233032227
0,SPX,100,2.6968424320220947,-23.217082977294922
0,SPX,101,4.72765588760376,-19.587045669555664
0,SPX,102,1.6659233570098877,-18.247425079345703
0,SPX,103,-3.0265583992004395,-20.721715927124023
0,SPX,104,-3.896521806716919,-23.810810089111328
0,SPX,105,5.305443286895752,-19.768630981445312
0,SPX,106,4.427398204803467,-16.216468811035156
0,SPX,107,-1.6745269298553467,-17.619449615478516
0,SPX,108,5.150527000427246,-13.376408576965332
0,SPX,109,-4.202834606170654,-17.01705551147461
0,SPX,110,0.013702083379030228,-17.005687713623047
0,SPX,111,5.018388748168945,-12.84071159362793
0,SPX,112,0.7537744045257568,-12.183732032775879
0,SPX,113,-2.953098773956299,-14.777034759521484
0,SPX,114,0.1855434775352478,-14.618903160095215
0,SPX,115,0.11604558676481247,-14.519816398620605
0,SPX,116,5.09364128112793,-10.165757179260254
0,SPX,117,-4.322725296020508,-14.049047470092773
0,SPX,118,-0.18308348953723907,-14.206409454345703
0,SPX,119,5.114526748657227,-9.818470001220703
0,SPX,120,1.6909993886947632,-8.293503761291504
0,SPX,121,-0.13653817772865295,-8.41871452331543
0,SPX,122,-1.5985190868377686,-9.882658958435059
0,SPX,123,-4.454436779022217,-13.896876335144043
0,SPX,124,0.5585252046585083,-13.415974617004395
0,SPX,125,-5.812063694000244,-18.448293685913086
0,SPX,126,2.5090408325195312,-16.40212631225586
0,SPX,127,-5.8352837562561035,-21.28030014038086
0,SPX,128,-1.5092909336090088,-22.468412399291992
0,SPX,129,-0.9504750370979309,-23.2053279876709
0,SPX,130,-5.6953206062316895,-27.57902717590332
0,SPX,131,4.904975414276123,-24.026798248291016
0,SPX,132,-1.1231273412704468,-24.880075454711914
0,SPX,133,-3.970465898513794,-27.862686157226562
0,SPX,134,5.110632419586182,-24.176013946533203
0,SPX,135,-5.180814743041992,-28.104310989379883
0,SPX,136,-4.716257095336914,-31.495100021362305
0,SPX,137,-7.073117256164551,-36.34053039550781
0,SPX,138,-0.4351094365119934,-36.617515563964844
0,SPX,139,4.723925590515137,-33.623374938964844
0,SPX,140,-4.9996747970581055,-36.941986083984375
0,SPX,141,-2.177609443664551,-38.31513977050781
0,SPX,142,5.009564399719238,-35.224998474121094
0,SPX,143,4.267548561096191,-32.460697174072266
0,SPX,144,-3.4007489681243896,-34.757537841796875
0,SPX,145,-2.349604606628418,-36.29047393798828
0,SPX,146,5.14663028717041,-33.011573791503906
0,SPX,147,-4.858440399169922,-36.26616668701172
0,SPX,148,-0.02350783906877041,-36.281150817871094
0,SPX,149,-1.367861032485962,-37.15273666381836
0,SPX,150,5.014079570770264,-34.001529693603516
0,SPX,151,1.6291704177856445,-32.92629623413086
0,SPX,152,-3.1842799186706543,-35.06211471557617
0,SPX,153,-1.9348933696746826,-36.31859588623047
0,SPX,154,5.204789638519287,-33.00411605834961
0,SPX,155,-1.0673418045043945,-33.71919250488281
0,SPX,156,2.132366895675659,-32.305843353271484
0,SPX,157,-4.035542011260986,-35.03767395019531
0,SPX,158,0.161622554063797,-34.93267822265625
0,SPX,159,-1.1568933725357056,-35.6854362487793
0,SPX,160,-1.2469336986541748,-36.48740005493164
0,SPX,161,5.138570308685303,-33.223758697509766
0,SPX,162,1.6036365032196045,-32.15290832519531
0,SPX,163,1.864976406097412,-30.8875732421875
1,SPX,1,0.22285374999046326,0.22284984588623047
1,SPX,2,-1.1384680271148682,-0.9181559085845947
1,SPX,3,-1.1879875659942627,-2.0952343940734863
1,SPX,4,0.43302467465400696,-1.671278476715088
1,SPX,5,4.87993860244751,3.1270980834960938
1,SPX,6,-4.336285591125488,-1.3447880744934082
1,SPX,7,-4.12150239944458,-5.410861968994141
1,SPX,8,0.5087260007858276,-4.929661750793457
1,SPX,9,5.054172515869141,-0.12463927268981934
1,SPX,10,0.4697350859642029,0.34450292587280273
1,SPX,11,-2.983461380004883,-2.649235725402832
1,SPX,12,5.158616065979004,2.37271785736084
1,SPX,13,4.450453281402588,6.928765773773193
1,SPX,14,4.754875183105469,12.013101577758789
1,SPX,15,4.7623443603515625,17.347549438476562
1,SPX,16,0.4503808915615082,17.87606430053711
1,SPX,17,-0.08117393404245377,17.780376434326172
1,SPX,18,4.875304222106934,23.522520065307617
1,SPX,19,-1.069922685623169,22.200929641723633
1,SPX,20,5.022223472595215,28.338134765625
1,SPX,21,-4.260406017303467,22.87040901184082
1,SPX,22,-2.1087944507598877,20.27932357788086
1,SPX,23,-5.797735691070557,13.305843353271484
1,SPX,24,-1.0468707084655762,12.119674682617188
1,SPX,25,-6.810683727264404,4.483556747436523
1,SPX,26,-0.7514983415603638,3.6983728408813477
1,SPX,27,-7.067364692687988,-3.6303699016571045
1,SPX,28,0.5914677977561951,-3.060370683670044
1,SPX,29,0.07031010091304779,-2.9922127723693848
1,SPX,30,1.822614312171936,-1.2241363525390625
1,SPX,31,4.57194709777832,3.2918453216552734
1,SPX,32,4.304816722869873,7.738363742828369
1,SPX,33,-1.7535150051116943,5.849158763885498
1,SPX,34,-0.3045846223831177,5.52675724029541
1,SPX,35,0.3113940358161926,5.855369567871094
1,SPX,36,4.778833389282227,10.91402816772461
1,SPX,37,4.4175262451171875,15.813684463500977
1,SPX,38,-1.5168533325195312,14.056957244873047
1,SPX,39,-3.275446653366089,10.321081161499023
1,SPX,40,2.622544288635254,13.214302062988281
1,SPX,41,4.644514083862305,18.472553253173828
1,SPX,42,4.616034984588623,23.9412899017334
1,SPX,43,-3.339487314224243,19.802284240722656
1,SPX,44,5.048402786254883,25.850391387939453
1,SPX,45,-1.3535469770431519,24.14693832397461
1,SPX,46,2.3691465854644775,27.088153839111328
1,SPX,47,4.661965847015381,33.012962341308594
1,SPX,48,-3.8084969520568848,27.947162628173828
1,SPX,49,-3.8140759468078613,23.06716537475586
1,SPX,50,-1.487372875213623,21.2366943359375
1,SPX,51,-1.0949180126190186,19.909250259399414
1,SPX,52,0.20355404913425446,20.153331756591797
1,SPX,53,-5.076861381530762,14.053308486938477
1,SPX,54,-6.125492572784424,7.066977024078369
1,SPX,55,4.664299964904785,12.060904502868652
1,SPX,56,4.4138593673706055,17.007112503051758
1,SPX,57,0.19172894954681396,17.231441497802734
1,SPX,58,-2.881927728652954,13.85291862487793
1,SPX,59,-1.95701265335083,11.624801635742188
1,SPX,60,-5.283057689666748,5.727601051330566
1,SPX,61,2.5685086250305176,8.44322395324707
1,SPX,62,4.757161617279053,13.602054595947266
1,SPX,63,1.6022626161575317,15.422260284423828
1,SPX,64,-3.025568962097168,11.930084228515625
1,SPX,65,-3.8956494331359863,7.569682598114014
1,SPX,66,-5.7344584465026855,1.4011502265930176
1,SPX,67,0.6722814440727234,2.08284854888916
1,SPX,68,2.0911059379577637,4.217517375946045
1,SPX,69,0.03271210193634033,4.251611232757568
1,SPX,70,-0.14382252097129822,4.101681709289551
1,SPX,71,-4.285436630249023,-0.3595292568206787
1,SPX,72,-5.468950271606445,-5.808818340301514
1,SPX,73,0.5889808535575867,-5.254054069519043
1,SPX,74,0.08761193603277206,-5.171048641204834
1,SPX,75,-0.02154395915567875,-5.191474914550781
1,SPX,76,-1.23793625831604,-6.3651442527771
1,SPX,77,-1.270420789718628,-7.5546979904174805
1,SPX,78,-5.086208820343018,-12.256658554077148
1,SPX,79,2.5099895000457764,-10.054313659667969
1,SPX,80,1.8833547830581665,-8.360320091247559
1,SPX,81,-0.162947416305542,-8.509641647338867
1,SPX,82,-1.5064849853515625,-9.887928009033203
1,SPX,83,2.085832118988037,-8.008342742919922
1,SPX,84,0.1184459775686264,-7.899379730224609
1,SPX,85,-3.9172849655151367,-11.507219314575195
1,SPX,86,0.20074984431266785,-11.329573631286621
1,SPX,87,-0.9873971343040466,-12.205105781555176
1,SPX,88,-1.1472806930541992,-13.212358474731445
1,SPX,89,-0.006738491356372833,-13.218212127685547
1,SPX,90,1.9467238187789917,-11.528807640075684
1,SPX,91,4.762451171875,-7.315415382385254
1,SPX,92,-1.0858595371246338,-8.321839332580566
1,SPX,93,-3.1691863536834717,-11.22729206085205
1,SPX,94,-4.783318042755127,-15.4735746383667
1,SPX,95,0.588131308555603,-14.976448059082031
1,SPX,96,0.10656370222568512,-14.885843276977539
1,SPX,97,-4.986018180847168,-19.12965202331543
1,SPX,98,2.4619789123535156,-17.138635635375977
1,SPX,99,-5.500215530395508,-21.696191787719727
1,SPX,100,-1.6247153282165527,-22.96840476989746
1,SPX,101,5.080268383026123,-19.054990768432617
1,SPX,102,-1.1634185314178467,-19.996721267700195
1,SPX,103,-1.9720345735549927,-21.57440757751465
