asset,regime,mu_hat_pct,sigma_hat_pct
SPX,bear,-1.8599932069444443,1.4362731873994334
SPX,bull,1.8068000065934064,1.4183394846821444
CMC200,bear,-7.062604135526317,7.566801175766407
CMC200,bull,6.955774791954024,6.055619828339496
