pair,t,var,std_pct
SPX-SPX,1,0.00010542681411607191,1.0267756040930847
SPX-SPX,2,0.00010542681411607191,1.0267756040930847
SPX-SPX,3,0.00010542681411607191,1.0267756040930847
SPX-SPX,4,0.00010542681411607191,1.0267756040930847
SPX-SPX,5,0.00010542681411607191,1.0267756040930847
SPX-SPX,6,0.00010542681411607191,1.0267756040930847
SPX-SPX,7,0.00010542681411607191,1.0267756040930847
SPX-SPX,8,0.00010645069778547622,1.0317494743661186
SPX-SPX,9,0.00010645069778547622,1.0317494743661186
SPX-SPX,10,0.00010645069778547622,1.0317494743661186
SPX-SPX,11,0.00010645069778547622,1.0317494743661186
SPX-SPX,12,0.00010645069778547622,1.0317494743661186
SPX-SPX,13,0.00010645069778547622,1.0317494743661186
SPX-SPX,14,0.00010645069778547622,1.0317494743661186
SPX-SPX,15,0.00010645069778547622,1.0317494743661186
SPX-SPX,16,0.00010645069778547622,1.0317494743661186
SPX-SPX,17,0.00010645069778547622,1.0317494743661186
SPX-SPX,18,0.00010645069778547622,1.0317494743661186
SPX-SPX,19,0.00010645069778547622,1.0317494743661186
SPX-SPX,20,0.00010645069778547622,1.0317494743661186
SPX-SPX,21,0.00010645069778547622,1.0317494743661186
SPX-SPX,22,0.00010645069778547622,1.0317494743661186
SPX-SPX,23,0.00010645069778547622,1.0317494743661186
SPX-SPX,24,0.00010645069778547622,1.0317494743661186
SPX-SPX,25,0.00010645069778547622,1.0317494743661186
SPX-SPX,26,0.00010645069778547622,1.0317494743661186
SPX-SPX,27,0.00010645069778547622,1.0317494743661186
SPX-SPX,28,0.00010645069778547622,1.0317494743661186
SPX-SPX,29,0.00010645069778547622,1.0317494743661186
SPX-SPX,30,0.00010645069778547622,1.0317494743661186
SPX-SPX,31,0.00010645069778547622,1.0317494743661186
SPX-SPX,32,0.00010645069778547622,1.0317494743661186
SPX-SPX,33,0.00010645069778547622,1.0317494743661186
SPX-SPX,34,0.00010645069778547622,1.0317494743661186
SPX-SPX,35,0.00010645069778547622,1.0317494743661186
SPX-SPX,36,0.00010645069778547622,1.0317494743661186
SPX-SPX,37,0.00010645069778547622,1.0317494743661186
SPX-SPX,38,0.00010645069778547622,1.0317494743661186
SPX-SPX,39,0.00010645069778547622,1.0317494743661186
SPX-SPX,40,0.00010645069778547622,1.0317494743661186
SPX-SPX,41,0.00010645069778547622,1.0317494743661186
SPX-SPX,42,0.00010645069778547622,1.0317494743661186
SPX-SPX,43,0.00010645069778547622,1.0317494743661186
SPX-SPX,44,0.00010645069778547622,1.0317494743661186
SPX-SPX,45,0.00010645069778547622,1.0317494743661186
SPX-SPX,46,0.00010645069778547622,1.0317494743661186
SPX-SPX,47,0.00010645069778547622,1.0317494743661186
SPX-SPX,48,0.00010645069778547622,1.0317494743661186
SPX-SPX,49,0.00010645069778547622,1.0317494743661186
SPX-SPX,50,0.00010645069778547622,1.0317494743661186
SPX-SPX,51,0.00010645069778547622,1.0317494743661186
SPX-SPX,52,0.00010645069778547622,1.0317494743661186
SPX-SPX,53,0.00010645069778547622,1.0317494743661186
SPX-SPX,54,0.00010645069778547622,1.0317494743661186
SPX-SPX,55,0.00010645069778547622,1.0317494743661186
SPX-SPX,56,0.00010645069778547622,1.0317494743661186
SPX-SPX,57,0.00010645069778547622,1.0317494743661186
SPX-SPX,58,0.00010645069778547622,1.0317494743661186
SPX-SPX,59,0.00010645069778547622,1.0317494743661186
SPX-SPX,60,0.00010645069778547622,1.0317494743661186
SPX-SPX,61,0.00010645069778547622,1.0317494743661186
SPX-SPX,62,0.00010645069778547622,1.0317494743661186
SPX-SPX,63,0.00010645069778547622,1.0317494743661186
SPX-SPX,64,0.00010645069778547622,1.0317494743661186
SPX-SPX,65,0.00010645069778547622,1.0317494743661186
SPX-SPX,66,0.00010645069778547622,1.0317494743661186
SPX-SPX,67,0.00010645069778547622,1.0317494743661186
SPX-SPX,68,0.00010645069778547622,1.0317494743661186
SPX-SPX,69,0.00010645069778547622,1.0317494743661186
SPX-SPX,70,0.00010645069778547622,1.0317494743661186
SPX-SPX,71,0.00010645069778547622,1.0317494743661186
SPX-SPX,72,0.00010645069778547622,1.0317494743661186
SPX-SPX,73,0.00010645069778547622,1.0317494743661186
SPX-SPX,74,0.00010645069778547622,1.0317494743661186
SPX-SPX,75,0.00010645069778547622,1.0317494743661186
SPX-SPX,76,0.00010645069778547622,1.0317494743661186
