source,asset,p_bull_mean,p_bull_std,p_bull_min,p_bull_max,p_bull_<0.5_pct
p_dl_rollout,SPX,0.4085890054702759,0.04067159816622734,0.4000000059604645,0.6000000238418579,0.9570552147239264
p_dl_rollout,CMC200,0.40000006556510925,6.277774105001299e-07,0.4000000059604645,0.4000000059604645,1.0
p_hist_csv,SPX,0.5948085889570552,0.33825395116883705,0.0558,0.945,0.3803680981595092
p_hist_csv,CMC200,0.7657815950920246,0.15928446299936333,0.1144,0.8832,0.08588957055214724
p_sign_oracle,SPX,0.558282208588957,0.49812189877532714,0.0,1.0,0.44171779141104295
p_sign_oracle,CMC200,0.5337423312883436,0.5003974789112192,0.0,1.0,0.4662576687116564
