policy,asset,t,w,u,v
g_worst,SPX,1,0.9999998698674293,0.4999998697839628,-8.346634568532707e-11
g_worst,SPX,2,0.9999999210619279,1.024934435628344e-06,9.737399369494186e-07
g_worst,SPX,3,0.9999999232861584,1.0281522742516163e-06,1.0259280438237395e-06
g_worst,SPX,4,0.9999999231472289,1.0274474489508452e-06,1.0275863784897253e-06
g_worst,SPX,5,0.9999999230981114,1.0276050256685784e-06,1.0276541431198955e-06
g_worst,SPX,6,0.9999999229532874,1.0275149720392028e-06,1.027659795972539e-06
g_worst,SPX,7,0.9999999182024534,1.024697833427405e-06,1.0294486674793015e-06
g_worst,SPX,8,0.9999998297308477,9.61779429452898e-07,1.0502510351107202e-06
g_worst,SPX,9,0.9999998115066903,1.0177229134036934e-06,1.035947070897542e-06
g_worst,SPX,10,0.9999998075844385,1.0256340115791154e-06,1.0295562632566414e-06
g_worst,SPX,11,0.99999980690035,1.0272851362521903e-06,1.0279692248173905e-06
g_worst,SPX,12,0.9999998068589666,1.0276104836235214e-06,1.0276518669514925e-06
g_worst,SPX,13,0.9999998069030775,1.027653906768484e-06,1.0276097958234441e-06
g_worst,SPX,14,0.9999998069366295,1.027648727654402e-06,1.0276151757474894e-06
g_worst,SPX,15,0.9999998069542464,1.0276407735881768e-06,1.0276231567096263e-06
g_worst,SPX,16,0.9999998069624001,1.0276360437107713e-06,1.0276278900049791e-06
g_worst,SPX,17,0.9999998069659495,1.0276337417806404e-06,1.0276301923609846e-06
g_worst,SPX,18,0.9999998069674412,1.027632712934795e-06,1.027631221259739e-06
g_worst,SPX,19,0.9999998069680541,1.0276322735933065e-06,1.0276316606079496e-06
g_worst,SPX,20,0.9999998069683022,1.0276320910925906e-06,1.0276318431094245e-06
g_worst,SPX,21,0.9999998069684014,1.0276320167367046e-06,1.0276319174655274e-06
g_worst,SPX,22,0.9999998069684408,1.027631986776187e-06,1.027631947425828e-06
g_worst,SPX,23,0.9999998069684563,1.02763197483988e-06,1.0276319593622435e-06
g_worst,SPX,24,0.9999998069684624,1.027631970141273e-06,1.0276319640610673e-06
g_worst,SPX,25,0.9999998069684647,1.027631968306044e-06,1.0276319658961879e-06
g_worst,SPX,26,0.9999998069684656,1.0276319675427657e-06,1.0276319666594662e-06
g_worst,SPX,27,0.999999806968466,1.0276319672820151e-06,1.02763196692e-06
g_worst,SPX,28,0.9999998069684661,1.0276319671637286e-06,1.0276319670385033e-06
g_worst,SPX,29,0.9999998069684662,1.0276319671596087e-06,1.0276319670426233e-06
g_worst,SPX,30,0.9999998069684661,1.027631967078944e-06,1.0276319671231795e-06
g_worst,SPX,31,0.9999998069684662,1.0276319671252395e-06,1.027631967076884e-06
g_worst,SPX,32,0.9999998069684662,1.0276319671095185e-06,1.027631967092605e-06
g_worst,SPX,33,0.9999998069684662,1.0276319670821966e-06,1.0276319671200353e-06
g_worst,SPX,34,0.9999998069684662,1.0276319671140722e-06,1.027631967087943e-06
g_worst,SPX,35,0.9999998069684662,1.027631967100628e-06,1.0276319671016039e-06
g_worst,SPX,36,0.9999998069684662,1.0276319670842566e-06,1.0276319671179753e-06
g_worst,SPX,37,0.9999998069684661,1.0276319670928218e-06,1.0276319671094101e-06
g_worst,SPX,38,0.9999998069684662,1.0276319671308773e-06,1.0276319670715715e-06
g_worst,SPX,39,0.9999998069684662,1.0276319670914124e-06,1.027631967110928e-06
g_worst,SPX,40,0.9999998069684662,1.0276319671058323e-06,1.0276319670965081e-06
g_worst,SPX,41,0.9999998069684662,1.0276319671127711e-06,1.0276319670894608e-06
g_worst,SPX,42,0.9999998069684662,1.0276319671011702e-06,1.0276319671009533e-06
g_worst,SPX,43,0.9999998069684662,1.0276319671051817e-06,1.0276319670969418e-06
g_worst,SPX,44,0.9999998069684661,1.0276319670560674e-06,1.0276319671460562e-06
g_worst,SPX,45,0.9999998069684662,1.0276319671497424e-06,1.0276319670524895e-06
g_worst,SPX,46,0.9999998069684661,1.0276319670521642e-06,1.0276319671500677e-06
g_worst,SPX,47,0.9999998069684662,1.0276319671474656e-06,1.0276319670548748e-06
g_worst,SPX,48,0.9999998069684661,1.0276319670547663e-06,1.027631967147574e-06
g_worst,SPX,49,0.9999998069684662,1.0276319671502845e-06,1.0276319670519474e-06
g_worst,SPX,50,0.9999998069684661,1.0276319670535737e-06,1.0276319671486582e-06
g_worst,SPX,51,0.9999998069684662,1.0276319671500677e-06,1.0276319670521642e-06
g_worst,SPX,52,0.9999998069684661,1.0276319670508632e-06,1.0276319671514772e-06
g_worst,SPX,53,0.9999998069684662,1.0276319671476825e-06,1.0276319670545495e-06
g_worst,SPX,54,0.9999998069684661,1.0276319670542242e-06,1.0276319671480077e-06
g_worst,SPX,55,0.9999998069684662,1.0276319671480077e-06,1.0276319670542242e-06
g_worst,SPX,56,0.9999998069684662,1.0276319670839314e-06,1.0276319671181922e-06
g_worst,SPX,57,0.9999998069684662,1.0276319670998691e-06,1.0276319671024712e-06
g_worst,SPX,58,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,59,0.9999998069684662,1.0276319671147227e-06,1.0276319670875092e-06
g_worst,SPX,60,0.9999998069684661,1.0276319670574768e-06,1.0276319671446467e-06
g_worst,SPX,61,0.9999998069684662,1.0276319671486582e-06,1.0276319670536821e-06
g_worst,SPX,62,0.9999998069684662,1.0276319670839314e-06,1.0276319671180837e-06
g_worst,SPX,63,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
g_worst,SPX,64,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,65,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,66,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,67,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,68,0.9999998069684662,1.0276319670840398e-06,1.0276319671179753e-06
g_worst,SPX,69,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
g_worst,SPX,70,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,71,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,72,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,73,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,74,0.9999998069684662,1.0276319670840398e-06,1.0276319671179753e-06
g_worst,SPX,75,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
