policy,asset,t,w,u,v
g_mean,SPX,13,0.999999977001476,4.035675969075742e-07,4.0356748575592644e-07
g_mean,SPX,14,0.9999999770015385,4.0356756143150336e-07,4.035674988788927e-07
g_mean,SPX,15,0.9999999770015666,4.0356754264043657e-07,4.035675145821517e-07
g_mean,SPX,16,0.999999977001578,4.035675341385568e-07,4.035675226809251e-07
g_mean,SPX,17,0.9999999770015825,4.0356753062292285e-07,4.0356752614408367e-07
g_mean,SPX,18,0.9999999770015843,4.0356752925975545e-07,4.035675275004206e-07
g_mean,SPX,19,0.9999999770015849,4.035675286957535e-07,4.035675280634468e-07
g_mean,SPX,20,0.9999999770015852,4.035675285049339e-07,4.0356752825426636e-07
g_mean,SPX,21,0.9999999770015853,4.035675284313166e-07,4.0356752832766685e-07
g_mean,SPX,22,0.9999999770015853,4.0356752838816533e-07,4.035675283708181e-07
g_mean,SPX,23,0.9999999770015854,4.0356752839683895e-07,4.035675283622529e-07
g_mean,SPX,24,0.9999999770015853,4.035675283697339e-07,4.0356752838935795e-07
g_mean,SPX,25,0.9999999770015854,4.0356752839965787e-07,4.0356752835921713e-07
g_mean,SPX,26,0.9999999770015854,4.035675283778654e-07,4.0356752838133485e-07
g_mean,SPX,27,0.9999999770015854,4.035675283728781e-07,4.035675283859969e-07
g_mean,SPX,28,0.9999999770015853,4.0356752836691497e-07,4.035675283921769e-07
g_mean,SPX,29,0.9999999770015854,4.0356752840497046e-07,4.035675283541214e-07
g_mean,SPX,30,0.9999999770015854,4.035675283664813e-07,4.0356752839261056e-07
g_mean,SPX,31,0.9999999770015854,4.0356752838935795e-07,4.035675283697339e-07
g_mean,SPX,32,0.9999999770015854,4.035675283761307e-07,4.035675283827443e-07
g_mean,SPX,33,0.9999999770015854,4.0356752838176854e-07,4.035675283773233e-07
g_mean,SPX,34,0.9999999770015854,4.035675283837201e-07,4.0356752837537174e-07
g_mean,SPX,35,0.9999999770015854,4.0356752837754015e-07,4.035675283815517e-07
g_mean,SPX,36,0.9999999770015854,4.035675283676739e-07,4.0356752839141793e-07
g_mean,SPX,37,0.9999999770015854,4.035675283954295e-07,4.0356752836366236e-07
g_mean,SPX,38,0.9999999770015854,4.035675283739623e-07,4.0356752838502114e-07
g_mean,SPX,39,0.9999999770015854,4.035675283793833e-07,4.0356752837981697e-07
g_mean,SPX,40,0.9999999770015854,4.0356752837981697e-07,4.0356752837927487e-07
g_mean,SPX,41,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,42,0.9999999770015854,4.035675283772149e-07,4.0356752838187696e-07
g_mean,SPX,43,0.9999999770015854,4.035675283814433e-07,4.0356752837764857e-07
g_mean,SPX,44,0.9999999770015854,4.0356752837916645e-07,4.035675283799254e-07
g_mean,SPX,45,0.9999999770015854,4.0356752837960013e-07,4.035675283794917e-07
g_mean,SPX,46,0.9999999770015854,4.035675283804675e-07,4.0356752837873277e-07
g_mean,SPX,47,0.9999999770015854,4.035675283778654e-07,4.0356752838122643e-07
g_mean,SPX,48,0.9999999770015854,4.035675283799254e-07,4.0356752837916645e-07
g_mean,SPX,49,0.9999999770015854,4.0356752838187696e-07,4.0356752837710647e-07
g_mean,SPX,50,0.9999999770015854,4.035675283767812e-07,4.0356752838241906e-07
g_mean,SPX,51,0.9999999770015854,4.0356752838014223e-07,4.035675283789496e-07
g_mean,SPX,52,0.9999999770015854,4.0356752837873277e-07,4.0356752838035907e-07
g_mean,SPX,53,0.9999999770015854,4.035675283794917e-07,4.035675283794917e-07
g_mean,SPX,54,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,55,0.9999999770015854,4.0356752837873277e-07,4.035675283804675e-07
g_mean,SPX,56,0.9999999770015854,4.035675283794917e-07,4.035675283793833e-07
g_mean,SPX,57,0.9999999770015854,4.0356752838035907e-07,4.035675283788412e-07
g_mean,SPX,58,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,59,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,60,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,61,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,62,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,63,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,64,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,65,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,66,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,67,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,68,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,69,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,70,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,71,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,72,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,73,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,74,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,75,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,76,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,77,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,78,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,79,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,80,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,81,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,82,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,83,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,84,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,85,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,86,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,87,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,88,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,89,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,90,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,91,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,92,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,93,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,94,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,95,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,96,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,97,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,98,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,99,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,100,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,101,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,102,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,103,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,104,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,105,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,106,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,107,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,108,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,109,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,110,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,111,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,112,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,113,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,114,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,115,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,116,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,117,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,118,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,119,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,120,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,121,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,122,0.9999999770015854,4.0356752837960013e-07,4.035675283793833e-07
g_mean,SPX,123,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,124,0.9999999770015854,4.0356752837862435e-07,4.0356752838035907e-07
g_mean,SPX,125,0.9999999770015854,4.035675283794917e-07,4.035675283794917e-07
g_mean,SPX,126,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,127,0.9999999770015854,4.0356752837873277e-07,4.0356752838035907e-07
g_mean,SPX,128,0.9999999770015854,4.035675283794917e-07,4.035675283793833e-07
g_mean,SPX,129,0.9999999770015854,4.0356752838035907e-07,4.0356752837873277e-07
g_mean,SPX,130,0.9999999770015854,4.0356752837873277e-07,4.0356752838035907e-07
g_mean,SPX,131,0.9999999770015854,4.0356752837960013e-07,4.035675283794917e-07
