policy,t,turnover,cost_t,cost_acum
g_mean,53,6.776263578034403e-21,1.3491856153931626e-09,0.002500070287830518
g_mean,54,1.633079522306291e-18,1.3491856153933798e-09,0.0025000716370161334
g_mean,55,1.6805133673525319e-18,1.3491856153933796e-09,0.0025000729862017486
g_mean,56,1.4907779871675686e-19,1.3491856153931629e-09,0.002500074335387364
g_mean,57,1.5924219408380846e-18,1.3491856153934881e-09,0.002500075684572979
g_mean,58,1.7414997395548415e-18,1.3491856153933796e-09,0.0025000770337585943
g_mean,59,9.486769009248164e-20,1.3491856153933796e-09,0.0025000783829442095
g_mean,60,1.6466320494623599e-18,1.3491856153933798e-09,0.0025000797321298248
g_mean,61,1.7414997395548415e-18,1.3491856153933796e-09,0.00250008108131544
g_mean,62,9.486769009248164e-20,1.3491856153932712e-09,0.002500082430501055
g_mean,63,1.6466320494623599e-18,1.3491856153932712e-09,0.0025000837796866704
g_mean,64,1.7414997395548415e-18,1.3491856153933796e-09,0.0025000851288722857
g_mean,65,9.486769009248164e-20,1.3491856153932712e-09,0.002500086478057901
g_mean,66,1.6466320494623599e-18,1.3491856153932712e-09,0.002500087827243516
g_mean,67,1.7414997395548415e-18,1.3491856153933796e-09,0.0025000891764291313
g_mean,68,9.486769009248164e-20,1.3491856153932712e-09,0.0025000905256147466
g_mean,69,1.6466320494623599e-18,1.3491856153932712e-09,0.0025000918748003618
g_mean,70,1.7414997395548415e-18,1.3491856153933796e-09,0.002500093223985977
g_mean,71,9.486769009248164e-20,1.3491856153932712e-09,0.0025000945731715922
g_mean,72,1.6466320494623599e-18,1.3491856153932712e-09,0.0025000959223572075
g_mean,73,1.7414997395548415e-18,1.3491856153933796e-09,0.0025000972715428227
g_mean,74,9.486769009248164e-20,1.3491856153932712e-09,0.002500098620728438
g_mean,75,1.6466320494623599e-18,1.3491856153932712e-09,0.002500099969914053
g_mean,76,1.7414997395548415e-18,1.3491856153933796e-09,0.0025001013190996684
g_mean,77,9.486769009248164e-20,1.3491856153932712e-09,0.0025001026682852836
g_mean,78,1.6466320494623599e-18,1.3491856153932712e-09,0.002500104017470899
g_mean,79,1.7414997395548415e-18,1.3491856153933796e-09,0.002500105366656514
g_mean,80,9.486769009248164e-20,1.3491856153932712e-09,0.0025001067158421293
g_mean,81,1.6466320494623599e-18,1.3491856153932712e-09,0.0025001080650277445
g_mean,82,1.7414997395548415e-18,1.3491856153933796e-09,0.0025001094142133597
g_mean,83,9.486769009248164e-20,1.3491856153932712e-09,0.002500110763398975
g_mean,84,1.6466320494623599e-18,1.3491856153932712e-09,0.00250011211258459
g_mean,85,1.7414997395548415e-18,1.3491856153933796e-09,0.0025001134617702054
g_mean,86,9.486769009248164e-20,1.3491856153932712e-09,0.0025001148109558206
g_mean,87,1.6466320494623599e-18,1.3491856153932712e-09,0.002500116160141436
g_mean,88,1.7414997395548415e-18,1.3491856153933796e-09,0.002500117509327051
g_mean,89,9.486769009248164e-20,1.3491856153932712e-09,0.0025001188585126663
g_mean,90,1.6466320494623599e-18,1.3491856153932712e-09,0.0025001202076982815
g_mean,91,1.7414997395548415e-18,1.3491856153933796e-09,0.0025001215568838967
g_mean,92,9.486769009248164e-20,1.3491856153932712e-09,0.002500122906069512
g_mean,93,1.6466320494623599e-18,1.3491856153932712e-09,0.002500124255255127
g_mean,94,1.7414997395548415e-18,1.3491856153933796e-09,0.0025001256044407424
g_mean,95,9.486769009248164e-20,1.3491856153932712e-09,0.0025001269536263577
g_mean,96,1.6466320494623599e-18,1.3491856153932712e-09,0.002500128302811973
