policy,scenario,V_terminal,ret_acum
g_mean,0,6767.55029296875,-0.32324498891830444
g_mean,1,10035.1591796875,0.003515958786010742
g_mean,2,13914.875,0.3914874792098999
g_mean,3,17122.119140625,0.7122119665145874
g_mean,4,25343.447265625,1.5343446731567383
g_worst,0,6767.55126953125,-0.3232448697090149
g_worst,1,10035.1572265625,0.0035157203674316406
g_worst,2,13914.869140625,0.39148688316345215
g_worst,3,17122.126953125,0.7122126817703247
g_worst,4,25343.44140625,1.53434419631958
