t,OPT,RG,NaiveRB,NaiveBH
82,10968.2887990161,5975.679951905578,8329.16013106012,8403.328315617244
83,11504.532514309647,6415.941858637727,8827.80353689634,8906.773059538404
84,11462.154985602669,6231.381665710949,8696.426327735477,8774.637313635149
85,11925.357382638222,6662.832641097149,9158.884578426048,9241.695985583703
86,11505.2372579493,5898.526568406648,8511.119881615883,8589.526726402379
87,11032.882710794176,5660.025820428289,8164.033034456631,8239.252646583911
88,10682.508738310727,5500.262005824564,7925.566602214487,7998.678848780762
89,11150.32624561312,5855.498304026252,8369.052528465967,8446.638150814513
90,10481.147408502511,5334.127769350527,7723.489416659377,7795.735096250028
91,9965.7263625314,5050.304823013285,7325.11998538642,7393.720586717959
92,9769.069361813816,5076.606880676536,7290.422532023628,7359.160528930956
93,9895.030084027976,5115.483317139403,7361.2823822193495,7430.783709641568
94,9718.047696561736,4995.24843462799,7204.542899928977,7272.670817666497
95,10085.825255742466,5077.59465381173,7383.908360270424,7454.110612852661
96,10618.548879897591,5569.763329313665,7932.240281837394,8008.27300796848
97,10407.488874786583,5709.920542254497,7945.7088715065065,8022.586454584494
98,10389.843858391601,4627.980937111093,7211.284211970781,7284.354394899515
99,10290.645244349742,4544.22036754063,7113.454371539792,7185.655402885721
100,10413.538185529475,4550.248478416956,7162.655147611211,7235.503181843981
101,10593.222211276601,4717.373343564392,7351.745399652947,7426.784080549838
102,10293.753354424796,4676.492780655214,7211.577783976059,7285.474997767892
103,10009.953350626502,4459.18264858241,6940.651830402588,7012.084310083016
104,10031.343808827198,4520.678949524261,6998.828712674939,7071.040161941116
105,9987.135617071976,4461.882641657231,6935.46618721208,7007.160339156379
106,10167.278475492505,4589.239814006201,7099.325752027435,7172.872530370301
107,10678.851418899974,5136.209840430203,7715.986573504864,7796.922281693629
108,10869.0127315003,5588.601243550698,8141.084990878839,8227.622810509918
109,11115.116661743617,5687.791120024972,8303.9655582137,8392.32226554306
110,11309.110010018287,5809.394656950668,8466.47614492601,8556.63433048956
111,11018.151312763855,5421.060782888032,8059.3722141370945,8146.022100406322
112,11274.644971765432,5946.806011408964,8567.306720275363,8660.681141774992
113,10890.823556988777,5632.2529564162005,8184.165739203091,8273.762717490026
114,10978.232426154704,5512.920549682895,8113.497126133412,8202.892710796687
115,10354.101047852264,5046.573877047297,7523.8351340899935,7607.309688798703
116,10984.077750768489,5988.730342463108,8517.419241085088,8613.9019613468
117,11109.552818295397,6019.077844596681,8583.844206238391,8681.206886748481
118,11523.993128735192,6293.349541963748,8944.18335514043,9045.794779142632
119,11507.447212182255,6274.649665002743,8925.961982084387,9027.388839169978
120,11771.63377507758,6755.500377935663,9379.551735850135,9487.056306600081
121,11514.937397367621,6111.085456895119,8814.66288309523,8917.183520225777
122,11714.46554174301,6404.804326024829,9107.333386440145,9213.788742166884
123,11672.140142845827,6484.91094091241,9150.75572927885,9258.012113316823
124,11423.7753627911,5912.72415336272,8635.362561799504,8737.883466834986
125,11610.2250386687,6006.658881503932,8776.153904617875,8880.346875676503
126,11644.017534688177,6017.324036865098,8797.175942589227,8901.636450549659
127,11868.903896970027,6164.191291021545,8987.90669412446,9094.709638204138
128,11833.80037144244,5966.261393403549,8838.641636284152,8944.142477461623
129,12034.495607867206,5850.765911946189,8838.250272296731,8944.314665620526
130,12177.826021943434,6570.017678976787,9399.601243323918,9514.035292399129
131,12406.677814838202,6569.422786858491,9493.144500050737,9609.028544066447
132,12262.744873891077,6493.8352644709885,9383.433855679781,9497.98027305689
133,12518.57089347887,6544.306010967811,9521.695968220678,9638.144484911163
134,12571.888784915243,6499.778008504204,9512.939816769152,9629.467904368006
135,12645.809633631388,6421.351273557227,9488.962279053476,9605.499638762767
136,12367.833104431667,6308.307188719602,9299.674573065531,9413.962253834727
137,12357.320473755683,6364.571600008724,9333.983846801371,9448.853391587436
138,11896.196506941777,5690.654255221669,8685.866465416106,8793.976867039322
139,11971.32422834971,5680.378841762077,8707.686735342075,8816.193253487096
140,12197.064136183133,5645.456846744549,8769.919981340854,8879.584592323441
141,12076.600323228218,5665.24661891842,8737.854498130751,8847.326615426835
142,12085.830843400032,5727.3906499940485,8785.982486436023,8896.214535830844
143,11784.290378155387,5701.591887973044,8650.26662180713,8759.118861264908
144,11755.256999513327,5774.077939686359,8714.912671633501,8824.9032774876
145,11849.811077720133,5881.806267754944,8842.226046109916,8954.038197458367
146,11800.01957294581,5692.429723128464,8650.800121442126,8760.78757852134
147,11707.302134242178,5974.541426834366,8893.599232596069,9007.790467542007
148,11677.433881759629,6440.397491472971,9318.797753941755,9440.029761532114
149,12288.700290232835,6675.608454224337,9713.726832101074,9840.424050173078
150,12575.424185163274,7072.964290718287,10160.233253410635,10293.532156812427
