t,OPT,RG,NaiveRB,NaiveBH
43,7359.602644500943,4271.389829826226,5687.2855067256905,5706.019150336115
44,7375.518028528773,4333.655482299212,5734.95661132205,5753.993932847353
45,7342.874709810565,4274.776984016921,5683.036304477677,5702.012314257049
46,7475.490078615652,4399.471801570397,5817.305556254666,5836.859086585661
47,7852.744305641477,4941.024946984765,6322.60768611971,6344.673835289281
48,7993.781098900208,5395.936272547787,6670.940397101237,6695.152431496654
49,8174.696306751622,5490.016467013832,6804.407442065672,6829.175099067504
50,8317.441179280044,5608.986722320459,6937.571318756602,6962.882531516345
51,8102.695539386196,5216.98509668085,6603.983589263396,6628.750603745865
52,8292.639779950858,5751.388566097192,7020.1935686304905,7047.549667773162
53,8009.97456446809,5434.279224352599,6706.241478548686,6732.6983566710915
54,8073.719501905582,5299.022921262623,6648.334442046573,6675.028540180841
55,7614.19545210382,4832.141946874393,6165.155601908584,6190.378330791771
56,8079.689207991274,5811.3351119764,6979.314938741134,7009.483539706722
57,8171.867368302434,5836.102614807044,7033.74465958469,7064.252304067084
58,8476.874323451762,6108.14769396826,7329.012549277635,7360.93235011135
59,8464.682696770065,6092.03743355812,7314.081653242721,7345.95468565103
60,8658.944457695285,6559.162627528203,7685.760638967262,7720.004861883383
61,8470.143510011405,5933.079159927477,7222.881321046264,7256.276120397574
62,8616.908048392092,6218.139835474438,7462.7003974950385,7497.635893275949
63,8585.776156289003,6295.84012564727,7498.281387167057,7533.622255035907
64,8403.075342445167,5740.637794513992,7075.9596566876435,7110.3723501258755
65,8540.223673652486,5833.726742298801,7191.326423822673,7226.3006395081
66,8565.075940555987,5844.732767624394,7208.552231253698,7243.624835361545
67,8730.491523448585,5984.626346443259,7364.840180195565,7400.736367033909
68,8704.71066287611,5808.6450774040295,7242.529910085601,7278.213724034148
69,8852.387693152466,5715.768705329147,7242.209219927399,7278.353840565655
70,8957.666765336893,6359.56199474815,7702.189538739059,7741.958763579154
71,9126.02987931609,6370.125363170501,7778.840438572987,7819.258648919522
72,9020.156460894388,6296.776367903695,7688.9417125007,7728.894139171529
73,9208.353534695645,6353.373442086411,7802.235986294796,7842.95147814023
74,9247.58844686554,6316.6777152439945,7795.061050213603,7835.890990480734
75,9301.988214600768,6250.999239508406,7775.413457153251,7816.387034667314
76,9097.508435080845,6138.4102914678715,7620.307963725243,7660.525248346072
77,9089.772442063062,6187.583958336951,7648.421553058367,7688.917590963472
78,8750.471709904894,5571.8446077514245,7117.343395000752,7156.017838916301
79,8805.719812937617,5565.989632007764,7135.223286966982,7174.096219169085
80,8971.723133675889,5544.707233888578,7186.218243442824,7225.680338436663
81,8883.13855982417,5557.247142498665,7159.943253372275,7199.430706261182
82,8889.946653318184,5612.935239806067,7199.380127176756,7239.21280209883
83,8668.180234894124,5576.985628068007,7088.172291256266,7127.652457141679
84,8646.861920498031,5671.3851440016815,7141.144339304276,7181.183921134576
85,8716.438390390847,5789.655551223239,7245.467035092067,7286.266275217337
86,8679.746692313578,5569.7010201941075,7088.6094497272725,7129.010360469796
87,8611.527874563013,5910.684783240958,7287.563078241384,7330.006690892353
88,8589.54882099136,6468.318725023402,7635.977816081683,7681.73744311517
89,9039.178218559566,6683.740832400405,7959.589268908262,8007.554614963109
90,9250.081840554107,7130.754714347635,8325.46405424907,8376.267171647423
91,9384.7416742514,7007.7354748826065,8308.033884308477,8359.237575514891
92,9531.200054531886,7282.5204970133755,8539.614379542803,8592.609825554271
93,9615.900211726788,7383.241551088329,8637.443376536818,8691.125678244458
94,9836.77645211154,8199.927080888521,9229.3322110721,9288.046482382466
95,9965.09522970489,7907.56609762622,9114.441446517943,9173.294381737207
96,10082.59387457884,8144.029706968939,9307.705451541997,9368.115225423262
97,10060.668015757237,7942.625895338535,9177.562656341166,9237.534641139446
98,9963.141200492066,8053.9693222387505,9201.688065228613,9262.232492494915
99,10151.481900796636,8227.7965163933,9388.446073347945,9450.265491125518
100,10194.289123471139,8005.991892159446,9274.820169948081,9336.457602337487
101,10259.032271385842,7916.709614437892,9248.746165053642,9310.521459964506
102,10413.138251342685,8078.446554296585,9413.67160231855,9476.642418730766
103,10682.156270568072,8701.872327033945,9908.053480125716,9975.20892227764
