setup,n_periodos,Capital_inicial,OPT_cap_final,RG_cap_final,NaiveRB_cap_final,NaiveBH_cap_final,OPT_ret_acum,RG_ret_acum,NaiveRB_ret_acum,NaiveBH_ret_acum,g_mean_lambda,g_mean_m
padded,163,10000.0,14522.315835130237,8680.257346134165,12091.594389139935,12258.459730122508,0.4522315835130237,-0.1319742653865834,0.20915943891399347,0.22584597301225084,0.3,0.1
nopad,103,10000.0,10682.156270568072,8701.872327033945,9908.053480125716,9975.20892227764,0.06821562705680706,-0.1298127672966055,-0.009194651987428415,-0.0024791077722360333,0.3,0.5
