asset,setup,t_orig,p_bull
SPX,padded,1,0.6000000238418579
SPX,padded,2,0.6000000238418579
SPX,padded,3,0.6000000238418579
SPX,padded,4,0.6000000238418579
SPX,padded,5,0.6000000238418579
SPX,padded,6,0.6000000238418579
SPX,padded,7,0.6000000238418579
SPX,padded,8,0.6000000238418579
SPX,padded,9,0.6000000238418579
SPX,padded,10,0.6000000238418579
SPX,padded,11,0.6000000238418579
SPX,padded,12,0.6000000238418579
SPX,padded,13,0.6000000238418579
SPX,padded,14,0.6000000238418579
SPX,padded,15,0.6000000238418579
SPX,padded,16,0.6000000238418579
SPX,padded,17,0.6000000238418579
SPX,padded,18,0.6000000238418579
SPX,padded,19,0.6000000238418579
SPX,padded,20,0.6000000238418579
SPX,padded,21,0.6000000238418579
SPX,padded,22,0.6000000238418579
SPX,padded,23,0.6000000238418579
SPX,padded,24,0.6000000238418579
SPX,padded,25,0.6000000238418579
SPX,padded,26,0.6000000238418579
SPX,padded,27,0.6000000238418579
SPX,padded,28,0.6000000238418579
SPX,padded,29,0.6000000238418579
SPX,padded,30,0.6000000238418579
SPX,padded,31,0.6000000238418579
SPX,padded,32,0.6000000238418579
SPX,padded,33,0.6000000238418579
SPX,padded,34,0.6000000238418579
SPX,padded,35,0.6000000238418579
SPX,padded,36,0.6000000238418579
SPX,padded,37,0.6000000238418579
SPX,padded,38,0.6000000238418579
SPX,padded,39,0.6000000238418579
SPX,padded,40,0.6000000238418579
SPX,padded,41,0.6000000238418579
SPX,padded,42,0.6000000238418579
SPX,padded,43,0.6000000238418579
SPX,padded,44,0.6000000238418579
SPX,padded,45,0.6000000238418579
SPX,padded,46,0.6000000238418579
SPX,padded,47,0.6000000238418579
SPX,padded,48,0.6000000238418579
SPX,padded,49,0.6000000238418579
SPX,padded,50,0.6000000238418579
SPX,padded,51,0.6000000238418579
SPX,padded,52,0.6000000238418579
SPX,padded,53,0.6000000238418579
SPX,padded,54,0.6000000238418579
SPX,padded,55,0.6000000238418579
SPX,padded,56,0.6000000238418579
SPX,padded,57,0.6000000238418579
SPX,padded,58,0.6000000238418579
SPX,padded,59,0.6000000238418579
SPX,padded,60,0.6000000238418579
SPX,padded,61,0.6000000238418579
SPX,padded,62,0.6000000238418579
SPX,padded,63,0.6000000238418579
SPX,padded,64,0.6000000238418579
SPX,padded,65,0.4000000059604645
SPX,padded,66,0.6000000238418579
SPX,padded,67,0.6000000238418579
