setup,n_periodos,OPT_cap_final,RG_cap_final,NaiveRB_cap_final,NaiveBH_cap_final,OPT_ret_acum,RG_ret_acum,NaiveRB_ret_acum,NaiveBH_ret_acum,g_mean_lambda,g_mean_m
full,16,12420.825284595232,13479.063890387106,12975.487512887934,12985.615553963005,0.24208252845952316,0.34790638903871063,0.2975487512887933,0.2985615553963006,0.3,0.1
train,16,12144.322501870192,12281.544691961079,12975.487512887934,12985.615553963005,0.21443225018701928,0.22815446919610793,0.2975487512887933,0.2985615553963006,0.3,1.0
