setup,g_mean_lambda,g_mean_m,g_mean_regret,g_mean_V_avg,g_mean_V_min,g_mean_V_max,g_mean_ret_avg,g_worst_lambda,g_worst_m,g_worst_regret
full,0.3,0.1,421.2328186035156,10907.4189453125,6769.935546875,13651.001953125,0.09074187278747559,0.3,1.0,1013.54248046875
train,0.3,1.0,58.896484375,10467.45703125,8029.8203125,12169.7861328125,0.0467456579208374,0.3,1.0,145.666015625
