asset,regime,mu_hat_full,mu_hat_train,mu_diff_pct,sigma_hat_full,sigma_hat_train,sigma_diff_pct
SPX,bear,0.0015716854086358862,0.0011225703121285607,-0.2857538118249289,0.0005881811808917429,0.0006571964752967736,0.11733679459175562
SPX,bull,0.0021080389699074656,0.001577133712324153,-0.25184793315591175,0.0005009578625513975,0.000540251699124096,0.07843740863268121
CMC200,bear,0.005760106399540865,0.0035977526129047487,-0.3754017090393463,0.009435424862463357,0.010907825381243453,0.15605026167265648
CMC200,bull,0.002228910598289478,-0.001181456888135481,-1.5300602406584458,0.009622806320899647,0.011299610655324775,0.17425315219982132
