asset,setup,t,p_bull
SPX,rollout,1,0.6000000238418579
SPX,rollout,2,0.6000000238418579
SPX,rollout,3,0.6000000238418579
SPX,rollout,4,0.6000000238418579
SPX,rollout,5,0.6000000238418579
SPX,rollout,6,0.6000000238418579
SPX,rollout,7,0.6000000238418579
SPX,rollout,8,0.4000000059604645
SPX,rollout,9,0.4000000059604645
SPX,rollout,10,0.4000000059604645
SPX,rollout,11,0.4000000059604645
SPX,rollout,12,0.4000000059604645
SPX,rollout,13,0.4000000059604645
SPX,rollout,14,0.4000000059604645
SPX,rollout,15,0.4000000059604645
SPX,rollout,16,0.4000000059604645
SPX,rollout,17,0.4000000059604645
SPX,rollout,18,0.4000000059604645
SPX,rollout,19,0.4000000059604645
SPX,rollout,20,0.4000000059604645
SPX,rollout,21,0.4000000059604645
SPX,rollout,22,0.4000000059604645
SPX,rollout,23,0.4000000059604645
SPX,rollout,24,0.4000000059604645
SPX,rollout,25,0.4000000059604645
SPX,rollout,26,0.4000000059604645
SPX,rollout,27,0.4000000059604645
SPX,rollout,28,0.4000000059604645
SPX,rollout,29,0.4000000059604645
SPX,rollout,30,0.4000000059604645
SPX,rollout,31,0.4000000059604645
SPX,rollout,32,0.4000000059604645
SPX,rollout,33,0.4000000059604645
SPX,rollout,34,0.4000000059604645
SPX,rollout,35,0.4000000059604645
SPX,rollout,36,0.4000000059604645
SPX,rollout,37,0.4000000059604645
SPX,rollout,38,0.4000000059604645
SPX,rollout,39,0.4000000059604645
SPX,rollout,40,0.4000000059604645
SPX,rollout,41,0.4000000059604645
SPX,rollout,42,0.4000000059604645
SPX,rollout,43,0.4000000059604645
SPX,rollout,44,0.4000000059604645
SPX,rollout,45,0.4000000059604645
SPX,rollout,46,0.4000000059604645
SPX,rollout,47,0.4000000059604645
SPX,rollout,48,0.4000000059604645
SPX,rollout,49,0.4000000059604645
SPX,rollout,50,0.4000000059604645
SPX,rollout,51,0.4000000059604645
SPX,rollout,52,0.4000000059604645
SPX,rollout,53,0.4000000059604645
SPX,rollout,54,0.4000000059604645
SPX,rollout,55,0.4000000059604645
SPX,rollout,56,0.4000000059604645
SPX,rollout,57,0.4000000059604645
SPX,rollout,58,0.4000000059604645
SPX,rollout,59,0.4000000059604645
SPX,rollout,60,0.4000000059604645
SPX,rollout,61,0.4000000059604645
SPX,rollout,62,0.4000000059604645
SPX,rollout,63,0.4000000059604645
SPX,rollout,64,0.4000000059604645
SPX,rollout,65,0.4000000059604645
SPX,rollout,66,0.4000000059604645
SPX,rollout,67,0.4000000059604645
SPX,rollout,68,0.4000000059604645
SPX,rollout,69,0.4000000059604645
SPX,rollout,70,0.4000000059604645
SPX,rollout,71,0.4000000059604645
SPX,rollout,72,0.4000000059604645
SPX,rollout,73,0.4000000059604645
SPX,rollout,74,0.4000000059604645
SPX,rollout,75,0.4000000059604645
SPX,rollout,76,0.4000000059604645
SPX,rollout,77,0.4000000059604645
SPX,rollout,78,0.4000000059604645
SPX,rollout,79,0.4000000059604645
SPX,rollout,80,0.4000000059604645
SPX,rollout,81,0.4000000059604645
SPX,rollout,82,0.4000000059604645
SPX,rollout,83,0.4000000059604645
SPX,rollout,84,0.4000000059604645
SPX,rollout,85,0.4000000059604645
SPX,rollout,86,0.4000000059604645
SPX,rollout,87,0.4000000059604645
SPX,rollout,88,0.4000000059604645
SPX,rollout,89,0.4000000059604645
SPX,rollout,90,0.4000000059604645
SPX,rollout,91,0.4000000059604645
SPX,rollout,92,0.4000000059604645
SPX,rollout,93,0.4000000059604645
SPX,rollout,94,0.4000000059604645
SPX,rollout,95,0.4000000059604645
SPX,rollout,96,0.4000000059604645
SPX,rollout,97,0.4000000059604645
SPX,rollout,98,0.4000000059604645
SPX,rollout,99,0.4000000059604645
SPX,rollout,100,0.4000000059604645
