setup,g_mean_lambda,g_mean_m,g_mean_regret,g_mean_V_avg,g_mean_V_min,g_mean_V_max,g_mean_ret_avg,g_worst_lambda,g_worst_m,g_worst_regret
rollout,0.3,0.1,1122.499267578125,23073.46875,3667.402099609375,63298.28515625,1.3073468208312988,0.3,1.0,3416.505859375
scenarios,0.3,0.5,1149.4320068359375,23073.46875,3667.402099609375,63298.28515625,1.3073468208312988,0.3,0.1,3500.17578125
