setup,t,RG_cap
rollout,88,4682.550365701877
rollout,89,5039.32303154454
rollout,90,4508.9762719034
rollout,91,4258.620667316521
rollout,92,4344.736290863599
rollout,93,4364.314663822621
rollout,94,4246.976005996219
rollout,95,4262.381571672773
rollout,96,4730.9322372361
rollout,97,4908.825205310135
rollout,98,3724.1155891737785
rollout,99,3649.0178904487084
rollout,100,3644.13808913325
rollout,101,3795.790484813308
rollout,102,3781.569176429884
rollout,103,3577.4265143676594
rollout,104,3644.5915106282523
rollout,105,3583.787486688585
rollout,106,3701.7868017821834
rollout,107,4248.356069776814
rollout,108,4745.936883593255
rollout,109,4820.3459226055775
rollout,110,4931.66278166199
rollout,111,4513.519836880653
rollout,112,5096.404113326874
rollout,113,4779.138635338993
rollout,114,4607.114425808311
rollout,115,4152.612305740523
rollout,116,5192.771466176198
rollout,117,5202.355926406093
rollout,118,5461.199314400417
rollout,119,5444.679311658039
rollout,120,5956.0622003682165
rollout,121,5246.453131877895
rollout,122,5550.025719691869
rollout,123,5647.712444973555
rollout,124,5029.760514048844
rollout,125,5111.635105943413
rollout,126,5119.745138859611
rollout,127,5249.039099054387
rollout,128,5055.065320543531
rollout,129,4926.7003443595695
rollout,130,5623.249993172872
rollout,131,5605.095322508489
rollout,132,5540.694004021468
rollout,133,5571.718290947328
rollout,134,5523.579459933417
rollout,135,5440.486053146346
rollout,136,5348.660597634243
rollout,137,5405.032391536157
rollout,138,4771.263818011323
rollout,139,4756.224098660721
rollout,140,4707.265234281656
rollout,141,4734.210502516737
rollout,142,4794.152095686725
rollout,143,4788.809167149519
rollout,144,4896.3564736837425
rollout,145,5016.357584357552
rollout,146,4777.429161072884
rollout,147,5162.597334245149
rollout,148,5790.244865032676
rollout,149,5952.096416141726
rollout,150,6423.027124591178
rollout,151,6254.795057756826
rollout,152,6541.552660465268
rollout,153,6641.115115980474
rollout,154,7539.296789972523
rollout,155,7167.30099407369
rollout,156,7418.113239410239
rollout,157,7187.63624261438
rollout,158,7336.296749616056
rollout,159,7500.158393984761
rollout,160,7232.255527093753
rollout,161,7116.025214954732
rollout,162,7272.220720654816
rollout,163,7938.354166555418
scenarios,1,10000.0
scenarios,2,13467.76500708799
scenarios,3,12176.687600201602
scenarios,4,10471.121658858696
scenarios,5,12051.707061886467
scenarios,6,13455.55183805073
scenarios,7,16432.418741313442
scenarios,8,18893.863810119452
scenarios,9,14743.845557853067
scenarios,10,15742.877489565755
scenarios,11,18047.751599326835
scenarios,12,18679.46642383555
