t,OPT,RG,NaiveRB,NaiveBH
1,10000.0,10000.0,10000.0,10000.0
2,11621.805957415456,13467.765139768195,11833.393279158625,11836.890555
3,11038.603671305817,12176.687668486735,11176.978843843122,11181.550851183352
4,10484.260992625645,10471.121675468246,10499.387710981664,10506.052415627846
5,10975.125393459128,12051.70707467614,11112.709838118222,11122.054212408477
6,11813.656343749866,13455.551836704046,12011.398238695456,12022.41229491642
7,13034.855597629945,16432.41870619209,13410.984672036457,13426.09409182255
8,13833.328067777664,18893.86372982091,14364.86512205546,14383.50814992743
9,12315.472668751809,14743.845512107106,12605.39421545122,12625.745480740534
10,12735.160817882052,15742.877415757363,13082.268245205825,13104.297400908528
11,13734.98784704897,18047.751476838297,14208.527835661595,14234.268477393447
12,13875.587122279465,18679.46626901025,14401.756136490194,14428.596368939101
13,13757.149754335502,17489.990750760782,14053.938157144417,14081.594859419747
14,14245.546063522554,19114.266493197247,14784.85337221406,14815.312430804848
15,14603.351221447723,19520.82699912252,15139.644201056397,15170.933056854543
16,15273.136835641208,21910.1762043853,16167.45719583101,16202.801492533119
17,14441.241993833071,17949.052858216182,14691.771591878645,14727.889905056742
18,15040.29451159469,20451.337213272043,15715.232468757726,15756.261761640173
19,15600.445198674019,22427.89186731061,16569.135005916083,16613.97053288187
20,15227.796647759676,21364.442306211007,16059.797977937133,16103.971687108628
21,13334.833501215558,12621.709720797193,12728.879346023627,12774.166312334582
22,13309.668443056911,12195.388554762514,12586.645843818245,12632.158562466951
23,13743.600586275023,13360.052594952174,13224.795958697981,13273.959391966513
24,13494.257759530183,12369.837212470044,12760.738188248593,12809.522050104017
25,13152.80548687887,11866.04391823219,12377.693095203813,12425.367084154374
26,12906.035444513385,10252.95736867269,11701.127451809387,11748.872912341005
27,13263.503424374006,10828.054829855866,12125.83518857546,12175.873303279117
28,13374.769366656148,11100.990280716702,12302.268077754306,12353.353179334481
29,13003.749777837516,10063.789425168947,11666.226755259746,11716.033225522471
30,13311.843976373639,10461.569531555324,12009.481948907309,12061.040627715665
31,13800.458102093118,12395.569760496839,13094.423669195403,13153.247754918957
32,14157.345366925485,13465.877724237027,13719.721361694224,13782.562703737301
33,14624.255531865354,15187.675935394624,14643.411838885288,14712.433542378792
34,14675.080455116662,15777.387051851121,14883.620647775551,14954.584022165667
35,14855.009365652591,15800.970636090598,15007.065681501654,15078.870358652579
36,15095.275645234708,16727.093389733778,15489.139294003091,15564.21563264114
37,14471.93798163981,14398.007856042477,14275.866002058368,14347.639550401282
38,14545.609054589559,15103.28175076691,14583.469400150714,14657.750428804604
39,14292.985218010801,13470.16244291016,13829.73731034654,13902.365781589233
40,14331.982563518863,14873.540588536212,14393.565120485626,14471.266924651658
41,14696.863553365003,16312.665147331207,15144.819771195202,15228.10559611402
42,15181.5095158983,17900.98682203345,16017.467604261701,16106.979622100178
43,15384.470726404368,17913.842170136075,16153.53849332465,16244.122218220407
44,15701.296035825482,18850.858553886854,16682.0150300536,16776.330774219867
45,15946.929687126918,18807.920585769596,16827.808479815325,16923.407700162465
46,16029.388322009554,19576.555644672306,17144.421999024613,17242.733406939387
47,15794.610987276867,17785.534319493276,16385.65844400552,16481.754430651275
48,15343.934378308939,16796.851846691094,15747.288251212705,15840.355263177713
49,15194.009472894662,16815.770132802252,15659.006049929285,15751.818749664879
50,15371.807267472292,15144.349650926459,15171.903305325539,15264.611097162604
51,15008.708392395105,14523.65800243729,14712.015243330718,14802.334004615606
