asset,setup,t,mu_mix
SPX,rollout_pdl,71,0.0018699784995988011
SPX,rollout_pdl,72,0.0018699784995988011
SPX,rollout_pdl,73,0.0018699784995988011
SPX,rollout_pdl,74,0.0018699784995988011
SPX,rollout_pdl,75,0.0018699784995988011
SPX,rollout_pdl,76,0.0018699784995988011
SPX,rollout_pdl,77,0.0018699784995988011
SPX,rollout_pdl,78,0.0018699784995988011
SPX,rollout_pdl,79,0.0018699784995988011
SPX,rollout_pdl,80,0.0018699784995988011
SPX,rollout_pdl,81,0.0018699784995988011
SPX,rollout_pdl,82,0.0018699784995988011
SPX,rollout_pdl,83,0.0018699784995988011
SPX,rollout_pdl,84,0.0018699784995988011
SPX,rollout_pdl,85,0.0018699784995988011
SPX,rollout_pdl,86,0.0018699784995988011
SPX,rollout_pdl,87,0.0018699784995988011
SPX,rollout_pdl,88,0.0018699784995988011
SPX,rollout_pdl,89,0.0018699784995988011
SPX,rollout_pdl,90,0.0018699784995988011
SPX,rollout_pdl,91,0.0018699784995988011
SPX,rollout_pdl,92,0.0018699784995988011
SPX,rollout_pdl,93,0.0018699784995988011
SPX,rollout_pdl,94,0.0018699784995988011
SPX,rollout_pdl,95,0.0018699784995988011
SPX,rollout_pdl,96,0.0018699784995988011
SPX,rollout_pdl,97,0.0018699784995988011
SPX,rollout_pdl,98,0.0018699784995988011
SPX,rollout_pdl,99,0.0018699784995988011
SPX,rollout_pdl,100,0.0018699784995988011
SPX,rollout_pdl,101,0.0018699784995988011
SPX,rollout_pdl,102,0.0018699784995988011
SPX,rollout_pdl,103,0.0018699784995988011
SPX,rollout_pdl,104,0.0018699784995988011
SPX,rollout_pdl,105,0.0018699784995988011
SPX,rollout_pdl,106,0.0018699784995988011
SPX,rollout_pdl,107,0.0018699784995988011
SPX,rollout_pdl,108,0.0018699784995988011
SPX,rollout_pdl,109,0.0018699784995988011
SPX,rollout_pdl,110,0.0018699784995988011
SPX,rollout_pdl,111,0.0018699784995988011
SPX,rollout_pdl,112,0.0018699784995988011
SPX,rollout_pdl,113,0.0018699784995988011
SPX,rollout_pdl,114,0.0018699784995988011
SPX,rollout_pdl,115,0.0018699784995988011
SPX,rollout_pdl,116,0.0018699784995988011
SPX,rollout_pdl,117,0.0018699784995988011
SPX,rollout_pdl,118,0.0018699784995988011
SPX,rollout_pdl,119,0.0018699784995988011
SPX,rollout_pdl,120,0.0018699784995988011
SPX,rollout_pdl,121,0.0018699784995988011
SPX,rollout_pdl,122,0.0018699784995988011
