setup,g_mean_lambda,g_mean_m,g_mean_regret,g_mean_V_avg,g_mean_V_min,g_mean_V_max,g_mean_ret_avg,g_worst_lambda,g_worst_m,g_worst_regret
actual,0.3,0.1,1458.606689453125,21404.06640625,3995.6962890625,57438.5859375,1.140406608581543,0.3,0.1,3400.22216796875
rollout_pdl,0.3,0.1,1154.0650634765625,21437.44921875,4108.14453125,55612.0625,1.143744945526123,0.3,1.0,3489.9541015625
pdf_aligned,0.3,0.1,1122.4990234375,23073.470703125,3667.404541015625,63298.28515625,1.307347059249878,0.3,0.1,3416.50830078125
