t,OPT,RG,NaiveRB,NaiveBH
1,10000.0,10000.0,10000.0,10000.0
2,11621.805957415456,12904.66346420792,11833.393279158625,11836.890555
3,11038.603671305817,11847.32257389255,11176.978843843122,11181.550851183352
4,10484.260992625645,10511.771527111101,10499.387710981664,10506.052415627846
5,10975.125393459128,11766.066130213852,11112.709838118222,11122.054212408477
6,11813.656343749866,12993.681762321821,12011.398238695456,12022.41229491642
7,13034.855597629945,15405.241830476223,13410.984672036457,13426.09409182255
8,13833.328067777664,17301.779875296874,14364.86512205546,14383.50814992743
9,12315.472668751809,14040.007308039643,12605.39421545122,12625.745480740534
10,12735.160817882052,14857.461957090818,13082.268245205825,13104.297400908528
11,13734.98784704897,16747.447322560292,14208.527835661595,14234.268477393447
12,13875.587122279465,17219.641497007906,14401.756136490194,14428.596368939101
13,13757.149754335502,16340.56773700456,14053.938157144417,14081.594859419747
14,14245.546063522554,17645.917739624907,14784.85337221406,14815.312430804848
15,14603.351221447723,18036.601142793403,15139.644201056397,15170.933056854543
16,15273.136835641208,19932.030488428645,16167.45719583101,16202.801492533119
17,14441.241993833071,16897.90807312315,14691.771591878645,14727.889905056742
18,15040.29451159469,18879.526234236168,15715.232468757726,15756.261761640173
19,15600.445198674019,20450.66301972484,16569.135005916083,16613.97053288187
20,15227.796647759676,19589.710860948504,16059.797977937133,16103.971687108628
21,13334.833501215558,12834.364181018873,12728.879346023627,12774.166312334582
22,13309.668443056911,12493.32473422618,12586.645843818245,12632.158562466951
23,13743.600586275023,13508.937003720755,13224.795958697981,13273.959391966513
24,13494.257759530183,12675.699188407192,12760.738188248593,12809.522050104017
25,13152.80548687887,12202.70453241159,12377.693095203813,12425.367084154374
26,12906.035444513385,10859.87089040377,11701.127451809387,11748.872912341005
27,13263.503424374006,11400.870978911817,12125.83518857546,12175.873303279117
28,13374.769366656148,11649.741162459546,12302.268077754306,12353.353179334481
29,13003.749777837516,10716.118102583841,11666.226755259746,11716.033225522471
30,13311.843976373639,11105.375392441558,12009.481948907309,12061.040627715665
31,13800.458102093118,12825.73962345909,13094.423669195403,13153.247754918957
32,14157.345366925485,13776.364147191913,13719.721361694224,13782.562703737301
33,14624.255531865354,15273.636943938369,14643.411838885288,14712.433542378792
34,14675.080455116662,15758.195261005809,14883.620647775551,14954.584022165667
35,14855.009365652591,15815.85314867581,15007.065681501654,15078.870358652579
36,15095.275645234708,16610.15987901111,15489.139294003091,15564.21563264114
37,14471.93798163981,14619.41581843767,14275.866002058368,14347.639550401282
38,14545.609054589559,15208.513685351229,14583.469400150714,14657.750428804604
39,14292.985218010801,13837.231975351935,13829.73731034654,13902.365781589233
40,14331.982563518863,15001.00033336777,14393.565120485626,14471.266924651658
41,14696.863553365003,16240.787399483092,15144.819771195202,15228.10559611402
42,15181.5095158983,17617.7235440193,16017.467604261701,16106.979622100178
43,15384.470726404368,17673.9640507448,16153.53849332465,16244.122218220407
44,15701.296035825482,18488.820716618753,16682.0150300536,16776.330774219867
45,15946.929687126918,18511.503974834257,16827.808479815325,16923.407700162465
46,16029.388322009554,19138.809727854616,17144.421999024613,17242.733406939387
47,15794.610987276867,17675.397132119826,16385.65844400552,16481.754430651275
48,15343.934378308939,16786.33932697815,15747.288251212705,15840.355263177713
49,15194.009472894662,16769.480656068296,15659.006049929285,15751.818749664879
50,15371.807267472292,15466.89870727424,15171.903305325539,15264.611097162604
51,15008.708392395105,14885.490940252323,14712.015243330718,14802.334004615606
52,15511.700851850757,15951.476195304022,15471.397284985156,15567.404893976722
53,15327.985907174516,14639.218076269823,14766.297418361191,14860.128862477908
54,14759.553604499319,13174.363806406755,13773.219131349959,13862.661280315093
55,14719.291674816264,13152.488909370397,13742.632196782275,13831.90411748782
56,13485.962824755034,10899.148298732915,12014.741320213938,12095.440318255847
57,13585.305013009829,10967.57304633537,12096.984496486373,12178.260930833987
58,13991.794847960044,11847.626997444222,12748.168797265771,12834.933816437706
59,13863.346516639402,12115.303066142716,12823.557440150704,12911.611841656117
60,13534.789180268834,11501.872024699987,12354.229280782258,12439.752145048353
61,13541.926864628202,11202.827046179198,12203.80412095487,12288.92530034703
62,13392.899058432491,11149.25059096931,12105.574068958651,12190.157708459254
63,13031.543043731006,10933.891399339867,11823.02547198286,11905.818092590269
64,13876.345180348177,11835.269320143003,12688.418834020486,12777.645612643648
65,14255.664103053947,12551.251236455397,13235.161227330711,13329.01053378638
66,14435.267502266399,13229.806173628871,13662.62069790701,13760.526153416446
67,14073.097516708416,12332.871529321235,13040.382098429067,13135.00748989488
68,13644.709911994982,11578.077641895892,12451.31164168383,12542.472761572431
69,13304.92364524946,11409.389723008046,12202.351902877159,12291.943496856877
70,12847.076204039038,10972.316128497825,11759.67682555243,11846.113384841952
71,12675.293064670355,10396.927042055258,11382.41406621752,11466.99311444872
72,11900.434361907392,8440.376974351733,9993.741706197863,10071.178245331026
73,11525.9300259722,8161.339525853767,9671.980485469181,9746.956874577332
74,12028.084971857963,7979.5768203112475,9793.059923109453,9870.20506328107
75,11971.221293410652,8131.631969781893,9855.704132748264,9933.795517595709
76,11422.01336989539,7917.426268538554,9493.5887623704,9569.20198695223
77,10062.222722115008,5442.903679769916,7496.122738224438,7560.375968182939
78,10673.195803516226,5742.290822258801,7931.086413613937,7999.147211016303
79,10284.543458213637,5269.724075763873,7470.628369405364,7535.494001079191
80,10676.380555824093,5795.601595952187,7970.875683318654,8040.930516934447
81,10534.89403005498,5644.739033673943,7817.205470083383,7886.113082207066
82,10968.2887990161,6170.778590557483,8329.16013106012,8403.328315617244
83,11504.532514309647,6617.258929414683,8827.80353689634,8906.773059538404
84,11462.154985602669,6435.757393030547,8696.426327735477,8774.637313635149
85,11925.357382638222,6871.467751250719,9158.884578426048,9241.695985583703
86,11505.2372579493,6112.344811261559,8511.119881615883,8589.526726402379
87,11032.882710794176,5864.9959905249125,8164.033034456631,8239.252646583911
88,10682.508738310727,5710.693725824541,7925.566602214487,7998.678848780762
89,11150.32624561312,6109.265986064103,8369.052528465967,8446.638150814513
90,10481.147408502511,5520.878570305342,7723.489416659377,7795.735096250028
91,9965.7263625314,5221.258529622014,7325.11998538642,7393.720586717959
92,9769.069361813816,5285.6462623579655,7290.422532023628,7359.160528930956
93,9895.030084027976,5318.218753832236,7361.2823822193495,7430.783709641568
94,9718.047696561736,5184.684528345573,7204.542899928977,7272.670817666497
95,10085.825255742466,5238.521443238267,7383.908360270424,7454.110612852661
96,10618.548879897591,5755.305728753801,7932.240281837394,8008.27300796848
97,10407.488874786583,5906.398967980945,7945.7088715065065,8022.586454584494
98,10389.843858391601,4760.411706719337,7211.284211970781,7284.354394899515
99,10290.645244349742,4674.396565947446,7113.454371539792,7185.655402885721
100,10413.538185529475,4680.4015813494925,7162.655147611211,7235.503181843981
101,10593.222211276601,4852.666655675568,7351.745399652947,7426.784080549838
102,10293.753354424796,4810.98961511371,7211.577783976059,7285.474997767892
103,10009.953350626502,4576.364525081189,6940.651830402588,7012.084310083016
104,10031.343808827198,4647.25135591897,6998.828712674939,7071.040161941116
105,9987.135617071976,4580.98342968741,6935.46618721208,7007.160339156379
106,10167.278475492505,4718.35070335416,7099.325752027435,7172.872530370301
107,10678.851418899974,5324.34419131122,7715.986573504864,7796.922281693629
108,10869.0127315003,5843.5494491211875,8141.084990878839,8227.622810509918
109,11115.116661743617,5943.201795654998,8303.9655582137,8392.32226554306
110,11309.110010018287,6073.831218526869,8466.47614492601,8556.63433048956
111,11018.151312763855,5629.666160015894,8059.3722141370945,8146.022100406322
112,11274.644971765432,6239.033627787737,8567.306720275363,8660.681141774992
113,10890.823556988777,5885.382792116288,8184.165739203091,8273.762717490026
114,10978.232426154704,5724.686641931754,8113.497126133412,8202.892710796687
115,10354.101047852264,5207.174548916058,7523.8351340899935,7607.309688798703
116,10984.077750768489,6316.537389490098,8517.419241085088,8613.9019613468
117,11109.552818295397,6340.139087491115,8583.844206238391,8681.206886748481
118,11523.993128735192,6640.009867327652,8944.18335514043,9045.794779142632
119,11507.447212182255,6622.007104557791,8925.961982084387,9027.388839169978
120,11771.63377507758,7153.745684551585,9379.551735850135,9487.056306600081
121,11514.937397367621,6435.328247043335,8814.66288309523,8917.183520225777
122,11714.46554174301,6757.53623908892,9107.333386440145,9213.788742166884
123,11672.140142845827,6849.069847061467,9150.75572927885,9258.012113316823
124,11423.7753627911,6215.183566858283,8635.362561799504,8737.883466834986
125,11610.2250386687,6316.40582838705,8776.153904617875,8880.346875676503
126,11644.017534688177,6328.049794227919,8797.175942589227,8901.636450549659
127,11868.903896970027,6480.712437010703,8987.90669412446,9094.709638204138
128,11833.80037144244,6283.104678289877,8838.641636284152,8944.142477461623
129,12034.495607867206,6174.140267681861,8838.250272296731,8944.314665620526
130,12177.826021943434,6895.101658254993,9399.601243323918,9514.035292399129
131,12406.677814838202,6901.7033369157525,9493.144500050737,9609.028544066447
132,12262.744873891077,6822.258015122081,9383.433855679781,9497.98027305689
133,12518.57089347887,6880.251237994892,9521.695968220678,9638.144484911163
134,12571.888784915243,6837.676647474915,9512.939816769152,9629.467904368006
135,12645.809633631388,6762.009598798422,9488.962279053476,9605.499638762767
136,12367.833104431667,6641.319353394318,9299.674573065531,9413.962253834727
137,12357.320473755683,6696.938473478251,9333.983846801371,9448.853391587436
