model,category,params,split,asset,n,pinball,pinball_const,skill,r_q05_vs_last,alpha_shrinkage
LSTM_h4_l1_H12,LSTM,178,test,CMC200,24,0.0192235317081213,0.01704174280166626,-0.12802616093007324,0.7016723859931623,
Linear_plain_H12,Regression,110,train,SPX,105,0.006338221020996571,0.0073598092421889305,0.1388063450525686,-0.2541382417066642,
Linear_plain_H12,Regression,110,train,CMC200,105,0.024962298572063446,0.02742895856499672,0.08992904295247595,0.14115179896255556,
Linear_plain_H12,Regression,110,valid,SPX,22,0.004824410658329725,0.004666497465223074,-0.03383976832377922,-0.026867253085799684,
Linear_plain_H12,Regression,110,valid,CMC200,22,0.025432422757148743,0.017352351918816566,-0.46564701293144584,-0.07598376670748798,
Linear_plain_H12,Regression,110,test,SPX,24,0.008339153602719307,0.005445584654808044,-0.5313605666485153,-0.49199561778573325,
Linear_plain_H12,Regression,110,test,CMC200,24,0.023167263716459274,0.01704174280166626,-0.3594421642247816,0.03195933165646036,
Linear_ridge_H12,Regression,110,train,SPX,105,0.006319454871118069,0.0073598092421889305,0.1413561597639239,-0.1994698057652553,
Linear_ridge_H12,Regression,110,train,CMC200,105,0.024792077019810677,0.02742895856499672,0.09613494945269563,0.1247595415601772,
Linear_ridge_H12,Regression,110,valid,SPX,22,0.0047857207246124744,0.004666497465223074,-0.02554876763094982,0.07081656529718104,
Linear_ridge_H12,Regression,110,valid,CMC200,22,0.024070093408226967,0.017352351918816566,-0.3871372319348714,-0.05432854882373586,
Linear_ridge_H12,Regression,110,test,SPX,24,0.008223682641983032,0.005445584654808044,-0.5101560554608466,-0.4277917963994102,
Linear_ridge_H12,Regression,110,test,CMC200,24,0.023249980062246323,0.01704174280166626,-0.364295913442201,0.04423635434371255,
Linear_minimal_H12,Regression,50,train,SPX,105,0.006826675496995449,0.0073598092421889305,0.07243852763701775,-0.4990618494779513,
Linear_minimal_H12,Regression,50,train,CMC200,105,0.02632889524102211,0.02742895856499672,0.040105909284446795,0.03267024804501168,
Linear_minimal_H12,Regression,50,valid,SPX,22,0.004653796087950468,0.004666497465223074,0.002721822387617756,-0.2930847946902548,
Linear_minimal_H12,Regression,50,valid,CMC200,22,0.01732131652534008,0.017352351918816566,0.0017885410359175236,0.08818456260109442,
Linear_minimal_H12,Regression,50,test,SPX,24,0.00657311687245965,0.005445584654808044,-0.20705439160808536,-0.7522762232696919,
Linear_minimal_H12,Regression,50,test,CMC200,24,0.022973863407969475,0.01704174280166626,-0.34809354156684025,-0.2270942391404301,
Linear_shrinkage_H12,Regression,111,train,SPX,105,0.00630682148039341,0.0073598092421889305,0.14307269755844165,-0.2912601770141276,0.4410572946071625
Linear_shrinkage_H12,Regression,111,train,CMC200,105,0.02468862198293209,0.02742895856499672,0.09990669443650302,0.08058961723482849,0.4410572946071625
Linear_shrinkage_H12,Regression,111,valid,SPX,22,0.004887319635599852,0.004666497465223074,-0.04732075223922183,0.013298670258268211,0.4410572946071625
Linear_shrinkage_H12,Regression,111,valid,CMC200,22,0.024843774735927582,0.017352351918816566,-0.43172377163394526,-0.07330686293701714,0.4410572946071625
Linear_shrinkage_H12,Regression,111,test,SPX,24,0.008276882581412792,0.005445584654808044,-0.5199254269428946,-0.47672484875879484,0.4410572946071625
Linear_shrinkage_H12,Regression,111,test,CMC200,24,0.024493802338838577,0.01704174280166626,-0.43728271362267535,0.03523004483471216,0.4410572946071625
Linear_minimal_H24,Regression,50,train,SPX,97,0.007025962695479393,0.007570527493953705,0.07193221329811372,-0.24374336845636854,
Linear_minimal_H24,Regression,50,train,CMC200,97,0.02458696998655796,0.025440946221351624,0.03356699972412791,0.16952658295337453,
Linear_minimal_H24,Regression,50,valid,SPX,20,0.00498079601675272,0.004932976793497801,-0.009693786380254199,-0.40666721304685927,
Linear_minimal_H24,Regression,50,valid,CMC200,20,0.014682873152196407,0.015040826052427292,0.02379875274025378,0.04836700634871469,
Linear_minimal_H24,Regression,50,test,SPX,22,0.008096587844192982,0.005757761653512716,-0.406204065299123,-0.7454172354461285,
Linear_minimal_H24,Regression,50,test,CMC200,22,0.024785159155726433,0.01756836660206318,-0.410783353804544,-0.4654720076814396,
Linear_shrinkage_H24,Regression,111,train,SPX,97,0.006684986408799887,0.007570527493953705,0.11697217741578325,-0.18292026323318955,0.43936988711357117
Linear_shrinkage_H24,Regression,111,train,CMC200,97,0.023243261501193047,0.025440946221351624,0.08638376501555367,0.06534278886664609,0.43936988711357117
Linear_shrinkage_H24,Regression,111,valid,SPX,20,0.008879141882061958,0.004932976793497801,-0.799956142864007,-0.08354635393186421,0.43936988711357117
Linear_shrinkage_H24,Regression,111,valid,CMC200,20,0.016662845388054848,0.015040826052427292,-0.10784110726191098,-0.37586790378189117,0.43936988711357117
Linear_shrinkage_H24,Regression,111,test,SPX,22,0.011966980993747711,0.005757761653512716,-1.0784085403130317,-0.6246674859740503,0.43936988711357117
Linear_shrinkage_H24,Regression,111,test,CMC200,22,0.030709901824593544,0.01756836660206318,-0.7480225976720603,-0.26286042260927506,0.43936988711357117
