policy,asset,t,w
RG,SPX,155,2.6345504539667525e-08
RG,SPX,156,2.6345504544654855e-08
RG,SPX,157,2.634550452928629e-08
RG,SPX,158,2.634550454908653e-08
RG,SPX,159,2.6345504562774584e-08
RG,SPX,160,2.6345504552434005e-08
RG,SPX,161,2.6345504568683485e-08
RG,SPX,162,2.6345504530072335e-08
RG,SPX,163,2.6345504545562874e-08
OPT,SPX,1,0.5639799506636005
OPT,SPX,2,0.5639808031282262
OPT,SPX,3,0.5639832685485654
OPT,SPX,4,0.5639872643940355
OPT,SPX,5,0.5640183672156329
OPT,SPX,6,0.5640468763063302
OPT,SPX,7,0.5640478922337223
OPT,SPX,8,0.5640497423364007
OPT,SPX,9,0.5640521415805418
OPT,SPX,10,0.564137958553816
OPT,SPX,11,0.5783266298589044
OPT,SPX,12,0.7036468099311745
OPT,SPX,13,0.7036522070930202
OPT,SPX,14,0.7036532040009942
OPT,SPX,15,0.7036536821149271
OPT,SPX,16,0.7036537700896107
OPT,SPX,17,0.703653679215885
OPT,SPX,18,0.703653762413588
OPT,SPX,19,0.7036540357815596
OPT,SPX,20,0.7036542934268658
OPT,SPX,21,0.703654429936857
OPT,SPX,22,0.7036552544757967
OPT,SPX,23,0.7160563431241762
OPT,SPX,24,0.718869683519485
OPT,SPX,25,0.7189232871018619
OPT,SPX,26,0.7189249582319741
OPT,SPX,27,0.7773083610910194
OPT,SPX,28,0.7854945577919916
OPT,SPX,29,0.785497281591233
OPT,SPX,30,0.785500492762554
OPT,SPX,31,0.7855015117607818
OPT,SPX,32,0.7855053660886714
OPT,SPX,33,0.7897347569319836
OPT,SPX,34,0.7897556045810918
OPT,SPX,35,0.8018496832530357
OPT,SPX,36,0.8018516828242065
OPT,SPX,37,0.8018525586083791
OPT,SPX,38,0.8018550680280047
OPT,SPX,39,0.801856689455596
OPT,SPX,40,0.8018601734511833
OPT,SPX,41,0.811327923340642
OPT,SPX,42,0.8113329727598668
OPT,SPX,43,0.8113355890321979
OPT,SPX,44,0.8113366277112385
OPT,SPX,45,0.8113371550249067
OPT,SPX,46,0.8113376505945752
OPT,SPX,47,0.8113381266009744
OPT,SPX,48,0.8113384764417314
OPT,SPX,49,0.8113387076648966
OPT,SPX,50,0.8113389522034372
OPT,SPX,51,0.8113391686694488
OPT,SPX,52,0.8113392866202175
OPT,SPX,53,0.8113393289766294
OPT,SPX,54,0.8113393380102735
OPT,SPX,55,0.8113394320617194
OPT,SPX,56,0.8113395517059763
OPT,SPX,57,0.8113402778540891
OPT,SPX,58,0.8113414378392317
OPT,SPX,59,0.8113429496474474
OPT,SPX,60,0.8113437085697283
OPT,SPX,61,0.8113441507516931
OPT,SPX,62,0.8113443861047559
OPT,SPX,63,0.8113445793975748
OPT,SPX,64,0.8113447317155887
OPT,SPX,65,0.8113448179905713
OPT,SPX,66,0.8113448049277279
OPT,SPX,67,0.811344678405484
OPT,SPX,68,0.8113444693391751
OPT,SPX,69,0.8113441012608642
OPT,SPX,70,0.8113432561683551
OPT,SPX,71,0.8113403749860869
OPT,SPX,72,0.8024403379024607
OPT,SPX,73,0.8024399177830402
OPT,SPX,74,0.8024396839142187
OPT,SPX,75,0.8024395213549351
OPT,SPX,76,0.8024392854669685
OPT,SPX,77,0.8024389764999864
OPT,SPX,78,0.8024390451178353
OPT,SPX,79,0.8024393322028949
OPT,SPX,80,0.80243985010502
OPT,SPX,81,0.8024405724325356
OPT,SPX,82,0.8024412526736033
OPT,SPX,83,0.8024417862279382
OPT,SPX,84,0.8024421769987078
OPT,SPX,85,0.802442399249901
OPT,SPX,86,0.8024425223933328
OPT,SPX,87,0.8024426663279901
OPT,SPX,88,0.802442816807144
OPT,SPX,89,0.8024429372842458
OPT,SPX,90,0.802443026024317
OPT,SPX,91,0.8024431429762351
OPT,SPX,92,0.8024432622348554
OPT,SPX,93,0.802443354552032
OPT,SPX,94,0.8024433794677404
OPT,SPX,95,0.8024433319460349
OPT,SPX,96,0.8024432452931082
OPT,SPX,97,0.8024431468253558
OPT,SPX,98,0.8024430113776626
OPT,SPX,99,0.802443140693188
OPT,SPX,100,0.8024434418490816
OPT,SPX,101,0.8024437454646504
OPT,SPX,102,0.8024439273781344
OPT,SPX,103,0.8024440952223424
OPT,SPX,104,0.802444252080055
OPT,SPX,105,0.8024443407678971
OPT,SPX,106,0.8024443578756824
OPT,SPX,107,0.8024443395565256
OPT,SPX,108,0.8024442731578872
OPT,SPX,109,0.8024441762897364
OPT,SPX,110,0.8024439826492006
OPT,SPX,111,0.8024437431690679
OPT,SPX,112,0.8024433648294579
OPT,SPX,113,0.8024434712751631
OPT,SPX,114,0.8024435028005152
OPT,SPX,115,0.8024435172995463
OPT,SPX,116,0.8024434822949168
OPT,SPX,117,0.8024436788331321
OPT,SPX,118,0.8024439136151692
OPT,SPX,119,0.8238551153106789
OPT,SPX,120,0.823859007545426
OPT,SPX,121,0.823866858516666
OPT,SPX,122,0.8278161100152277
OPT,SPX,123,0.8278214701828367
OPT,SPX,124,0.8278234581581122
OPT,SPX,125,0.8332684018808942
OPT,SPX,126,0.8333000444628307
OPT,SPX,127,0.8333028238777305
OPT,SPX,128,0.8333042854854675
OPT,SPX,129,0.8333052042707078
OPT,SPX,130,0.8333058538314712
OPT,SPX,131,0.8333064568316239
OPT,SPX,132,0.8333068773447557
OPT,SPX,133,0.8333071635793114
OPT,SPX,134,0.8333073384973066
OPT,SPX,135,0.8333074307909706
OPT,SPX,136,0.8333751477922684
OPT,SPX,137,0.8336223846057591
OPT,SPX,138,0.8336272161132272
OPT,SPX,139,0.833631709091688
OPT,SPX,140,0.8336333777443179
OPT,SPX,141,0.8336342481231968
OPT,SPX,142,0.8336347099772621
OPT,SPX,143,0.8336350013618035
OPT,SPX,144,0.8336351798390118
OPT,SPX,145,0.8336352787504255
OPT,SPX,146,0.8433538534693131
OPT,SPX,147,0.8433596295284506
OPT,SPX,148,0.8433622840065007
OPT,SPX,149,0.8433644549510959
OPT,SPX,150,0.8433658405596443
OPT,SPX,151,0.8433669002430234
OPT,SPX,152,0.843367600373224
OPT,SPX,153,0.8433680405603465
OPT,SPX,154,0.8433683650771309
OPT,SPX,155,0.8433686740592391
OPT,SPX,156,0.8433690564847895
OPT,SPX,157,0.8433693016348388
OPT,SPX,158,0.8433694708569207
OPT,SPX,159,0.8433695662251748
OPT,SPX,160,0.8433696889552107
OPT,SPX,161,0.8433698593096576
OPT,SPX,162,0.8433699719397129
OPT,SPX,163,0.8433700256270207
RG,CMC200,1,0.9999999179168215
RG,CMC200,2,0.9999999708623475
RG,CMC200,3,0.9999999740397916
RG,CMC200,4,0.9999999740894039
RG,CMC200,5,0.9999999740320455
RG,CMC200,6,0.9999999740072304
RG,CMC200,7,0.9999999739735257
RG,CMC200,8,0.9999999736788149
RG,CMC200,9,0.9999999736526116
RG,CMC200,10,0.9999999736528175
RG,CMC200,11,0.9999999736538309
RG,CMC200,12,0.9999999736542595
RG,CMC200,13,0.9999999736544125
RG,CMC200,14,0.999999973654466
RG,CMC200,15,0.9999999736544849
RG,CMC200,16,0.9999999736544916
RG,CMC200,17,0.9999999736544941
RG,CMC200,18,0.999999973654495
RG,CMC200,19,0.9999999736544953
RG,CMC200,20,0.9999999736544954
RG,CMC200,21,0.9999999736544954
RG,CMC200,22,0.9999999736544954
RG,CMC200,23,0.9999999736544954
RG,CMC200,24,0.9999999736544954
RG,CMC200,25,0.9999999736544954
RG,CMC200,26,0.9999999736544954
RG,CMC200,27,0.9999999736544954
RG,CMC200,28,0.9999999736544954
RG,CMC200,29,0.9999999736544954
RG,CMC200,30,0.9999999736544954
RG,CMC200,31,0.9999999736544954
RG,CMC200,32,0.9999999736544954
RG,CMC200,33,0.9999999736544954
RG,CMC200,34,0.9999999736544954
RG,CMC200,35,0.9999999736544954
RG,CMC200,36,0.9999999736544954
RG,CMC200,37,0.9999999736544954
RG,CMC200,38,0.9999999736544954
RG,CMC200,39,0.9999999736544954
RG,CMC200,40,0.9999999736544954
RG,CMC200,41,0.9999999736544954
RG,CMC200,42,0.9999999736544954
RG,CMC200,43,0.9999999736544954
RG,CMC200,44,0.9999999736544954
RG,CMC200,45,0.9999999736544954
RG,CMC200,46,0.9999999736544954
RG,CMC200,47,0.9999999736544954
RG,CMC200,48,0.9999999736544954
RG,CMC200,49,0.9999999736544954
RG,CMC200,50,0.9999999736544954
RG,CMC200,51,0.9999999736544954
RG,CMC200,52,0.9999999736544954
RG,CMC200,53,0.9999999736544954
RG,CMC200,54,0.9999999736544954
RG,CMC200,55,0.9999999736544954
RG,CMC200,56,0.9999999736544954
RG,CMC200,57,0.9999999736544954
RG,CMC200,58,0.9999999736544954
RG,CMC200,59,0.9999999736544954
RG,CMC200,60,0.9999999736544954
RG,CMC200,61,0.9999999736544954
RG,CMC200,62,0.9999999736544954
RG,CMC200,63,0.9999999736544954
RG,CMC200,64,0.9999999736544954
RG,CMC200,65,0.9999999736544954
RG,CMC200,66,0.9999999736544954
RG,CMC200,67,0.9999999736544954
RG,CMC200,68,0.9999999736544954
RG,CMC200,69,0.9999999736544954
RG,CMC200,70,0.9999999736544954
RG,CMC200,71,0.9999999736544954
RG,CMC200,72,0.9999999736544954
RG,CMC200,73,0.9999999736544954
RG,CMC200,74,0.9999999736544954
RG,CMC200,75,0.9999999736544954
RG,CMC200,76,0.9999999736544954
RG,CMC200,77,0.9999999736544954
RG,CMC200,78,0.9999999736544954
RG,CMC200,79,0.9999999736544954
RG,CMC200,80,0.9999999736544954
RG,CMC200,81,0.9999999736544954
RG,CMC200,82,0.9999999736544954
RG,CMC200,83,0.9999999736544954
RG,CMC200,84,0.9999999736544954
RG,CMC200,85,0.9999999736544954
RG,CMC200,86,0.9999999736544954
RG,CMC200,87,0.9999999736544954
RG,CMC200,88,0.9999999736544954
RG,CMC200,89,0.9999999736544954
RG,CMC200,90,0.9999999736544954
RG,CMC200,91,0.9999999736544954
RG,CMC200,92,0.9999999736544954
