scenario,asset,t,r,cum_return
0,SPX,1,-0.01152750849723816,-0.011527538299560547
0,SPX,2,0.021467015147209167,0.009691953659057617
0,SPX,3,0.04526224359869957,0.05539286136627197
0,SPX,4,-0.03965993970632553,0.01353609561920166
0,SPX,5,0.026182785630226135,0.040073275566101074
0,SPX,6,-0.045924112200737,-0.00769120454788208
0,SPX,7,-0.050188638269901276,-0.05749386548995972
0,SPX,8,0.006916421465575695,-0.05097508430480957
0,SPX,9,0.020840201526880264,-0.03119724988937378
0,SPX,10,-0.012624740600585938,-0.043428122997283936
0,SPX,11,-0.0006967959925532341,-0.044094622135162354
0,SPX,12,0.0005760891363024712,-0.043543875217437744
0,SPX,13,-0.01229850947856903,-0.055306851863861084
0,SPX,14,-0.012573271989822388,-0.0671846866607666
0,SPX,15,0.0007282169535756111,-0.06650537252426147
0,SPX,16,0.019496768712997437,-0.0483052134513855
0,SPX,17,-0.04419340938329697,-0.09036380052566528
0,SPX,18,-0.01612839102745056,-0.10503476858139038
0,SPX,19,-0.010259151458740234,-0.11421632766723633
0,SPX,20,-0.05518551915884018,-0.1630987524986267
0,SPX,21,0.025119319558143616,-0.14207637310028076
0,SPX,22,-0.05820658802986145,-0.19201314449310303
0,SPX,23,0.02468262054026127,-0.17206990718841553
0,SPX,24,-0.010947957634925842,-0.18113404512405396
0,SPX,25,0.05045986548066139,-0.13981419801712036
0,SPX,26,0.0036710891872644424,-0.13665640354156494
0,SPX,27,0.04807554557919502,-0.09515070915222168
0,SPX,28,0.017651710659265518,-0.07917863130569458
0,SPX,29,0.020049117505550385,-0.060716986656188965
0,SPX,30,0.019562333822250366,-0.04234236478805542
0,SPX,31,0.01958753913640976,-0.02358424663543701
0,SPX,32,0.01955360546708107,-0.004491746425628662
0,SPX,33,-0.010849684476852417,-0.015292704105377197
0,SPX,34,0.02208341844379902,0.006453037261962891
0,SPX,35,0.0461416058242321,0.052892446517944336
0,SPX,36,-0.039982870221138,0.010794758796691895
0,SPX,37,0.050639618188142776,0.06198108196258545
0,SPX,38,0.00823903176933527,0.07073080539703369
0,SPX,39,-0.017330750823020935,0.05217421054840088
0,SPX,40,-0.04134293645620346,0.008674263954162598
0,SPX,41,0.05154232308268547,0.060663580894470215
0,SPX,42,0.006571806967258453,0.0676339864730835
0,SPX,43,-0.018009454011917114,0.04840648174285889
0,SPX,44,0.052222464233636856,0.1031569242477417
0,SPX,45,0.016823574900627136,0.12171590328216553
0,SPX,46,-0.030975326895713806,0.08697032928466797
0,SPX,47,0.05060570314526558,0.1419771909713745
0,SPX,48,0.0447608046233654,0.19309306144714355
0,SPX,49,0.047829966992139816,0.2501586675643921
0,SPX,50,-0.015353158116340637,0.2309647798538208
0,SPX,51,-0.019882872700691223,0.2064896821975708
0,SPX,52,0.005832345224916935,0.21352636814117432
0,SPX,53,0.005993452854454517,0.22079956531524658
0,SPX,54,0.048513587564229965,0.2800248861312866
0,SPX,55,0.006622938439249992,0.2885023355484009
0,SPX,56,-0.02892911434173584,0.25122714042663574
0,SPX,57,-0.04030541330575943,0.20079588890075684
0,SPX,58,-0.057809025049209595,0.1313791275024414
0,SPX,59,-0.07574308663606644,0.04568493366241455
0,SPX,60,-0.0985187366604805,-0.05733460187911987
0,SPX,61,-0.12972256541252136,-0.17961961030960083
0,SPX,62,-0.031136203557252884,-0.2051631212234497
0,SPX,63,0.030554279685020447,-0.1808774471282959
0,SPX,64,0.019678357988595963,-0.16475844383239746
0,SPX,65,-0.01780855655670166,-0.17963290214538574
0,SPX,66,-0.0013320823200047016,-0.18072569370269775
0,SPX,67,0.00016091903671622276,-0.1805938482284546
0,SPX,68,0.01825147494673729,-0.1656385064125061
0,SPX,69,-0.041846342384815216,-0.20055347681045532
0,SPX,70,-0.0174034982919693,-0.2144666314125061
0,SPX,71,0.0013773366808891296,-0.2133846879005432
0,SPX,72,-0.010222941637039185,-0.22142618894577026
0,SPX,73,-0.04928918182849884,-0.25980144739151
0,SPX,74,-0.012540727853775024,-0.26908403635025024
0,SPX,75,0.0007934253662824631,-0.2685040831565857
0,SPX,76,-0.05409509688615799,-0.308074414730072
0,SPX,77,0.024463456124067307,-0.29114753007888794
0,SPX,78,0.00047834403812885284,-0.29080843925476074
0,SPX,79,-0.04330727458000183,-0.3215216398239136
0,SPX,80,0.0010476773604750633,-0.32081079483032227
0,SPX,81,-0.010153040289878845,-0.32770663499832153
0,SPX,82,0.05038916692137718,-0.29383033514022827
0,SPX,83,-0.046076662838459015,-0.3263682723045349
0,SPX,84,0.025446871295571327,-0.30922645330429077
0,SPX,85,0.01889754831790924,-0.296172559261322
0,SPX,86,0.048342373222112656,-0.2621479034423828
0,SPX,87,0.017521299421787262,-0.24921977519989014
0,SPX,88,0.04773199185729027,-0.21338355541229248
0,SPX,89,-0.012071669101715088,-0.2228793501853943
0,SPX,90,-0.017922788858413696,-0.23680752515792847
0,SPX,91,-0.047094911336898804,-0.27275002002716064
0,SPX,92,0.007914590649306774,-0.2669941782951355
0,SPX,93,0.004367940127849579,-0.2637924551963806
