scenario,t,RG,OPT,Naive
0,102,6992.40966796875,7577.14013671875,7605.92138671875
0,103,7281.98779296875,7740.42431640625,7826.53955078125
0,104,6580.7998046875,7405.1923828125,7330.6005859375
0,105,5953.99853515625,7034.310546875,6838.11962890625
0,106,6516.66259765625,7465.10986328125,7342.29345703125
0,107,7242.02294921875,7894.48095703125,7912.888671875
0,108,7052.5078125,7747.5888671875,7743.005859375
0,109,7825.216796875,8235.4951171875,8366.0693359375
0,110,7173.86474609375,7822.32470703125,7841.61767578125
0,111,7244.52734375,7838.40673828125,7880.6796875
0,112,7948.10595703125,8304.4482421875,8460.6708984375
0,113,7851.05908203125,8334.6474609375,8440.6962890625
0,114,7081.72216796875,7975.79296875,7901.7353515625
0,115,7048.74462890625,7980.330078125,7890.603515625
0,116,6968.509765625,7969.8154296875,7850.1484375
0,117,7658.5517578125,8451.4814453125,8438.3115234375
0,118,6948.1083984375,8003.4375,7863.9794921875
0,119,6975.9326171875,7998.01123046875,7872.46923828125
0,120,7616.1298828125,8463.451171875,8434.6533203125
0,121,7937.54736328125,8644.2734375,8683.6904296875
0,122,7817.00830078125,8611.4287109375,8611.67578125
0,123,7600.78271484375,8456.2919921875,8423.6142578125
0,124,6901.24462890625,8010.4658203125,7847.83154296875
0,125,6992.84228515625,8065.80908203125,7921.75390625
0,126,6370.65185546875,7555.30517578125,7338.79541015625
0,127,6551.6455078125,7749.05126953125,7535.08154296875
0,128,5976.14208984375,7258.78125,6983.990234375
0,129,5669.3779296875,7105.3759765625,6751.70947265625
0,130,5439.18408203125,7001.00732421875,6582.28369140625
0,131,4934.1171875,6560.376953125,6088.91748046875
0,132,5312.20263671875,6912.3193359375,6471.33740234375
0,133,5140.134765625,6810.30419921875,6330.01513671875
0,134,4645.86572265625,6475.81494140625,5899.52685546875
0,135,5059.03125,6847.6015625,6312.345703125
0,136,4600.06103515625,6448.4208984375,5862.16259765625
0,137,4217.59814453125,6105.63525390625,5479.9443359375
0,138,3908.251708984375,5671.1123046875,5085.15576171875
0,139,3728.47021484375,5607.1396484375,4956.861328125
0,140,3978.26318359375,5890.44677734375,5239.8701171875
0,141,3614.3681640625,5555.30029296875,4868.94189453125
0,142,3452.2373046875,5412.99560546875,4706.5791015625
0,143,3720.887451171875,5709.12890625,5007.44677734375
0,144,4116.21484375,6013.1474609375,5379.93359375
0,145,3742.717529296875,5751.9033203125,5043.9658203125
0,146,3606.51611328125,5604.4169921875,4892.84765625
0,147,3934.244140625,5927.1767578125,5240.83984375
0,148,3590.849365234375,5603.27880859375,4884.53662109375
0,149,3639.75390625,5614.12109375,4917.14013671875
0,150,3503.925048828125,5516.5400390625,4791.61181640625
0,151,3816.050048828125,5826.78955078125,5124.9365234375
0,152,3978.94775390625,5945.80859375,5275.90478515625
0,153,3600.90576171875,5697.64892578125,4940.82666015625
0,154,3476.78125,5573.91064453125,4807.7744140625
0,155,3792.79345703125,5897.93408203125,5151.16845703125
0,156,3688.556884765625,5819.4541015625,5052.783203125
0,157,3806.204833984375,5953.18212890625,5187.17041015625
0,158,3438.836669921875,5660.56982421875,4831.7861328125
0,159,3451.3095703125,5671.50146484375,4844.44140625
0,160,3337.376953125,5586.84033203125,4736.3251953125
0,161,3226.3984375,5498.98876953125,4627.9208984375
0,162,3512.140869140625,5813.580078125,4951.5576171875
0,163,3667.402099609375,5932.4599609375,5100.53759765625
4,1,10000.0,10000.0,10000.0
4,2,11000.01171875,10723.3134765625,10759.759765625
4,3,10715.9404296875,10543.638671875,10568.1845703125
4,4,12023.1875,11389.8525390625,11465.5029296875
4,5,11903.2744140625,11398.951171875,11460.3759765625
4,6,13514.8837890625,12372.0908203125,12502.6640625
4,7,13170.490234375,12146.8154296875,12264.48046875
4,8,12771.4140625,11861.60546875,11966.818359375
4,9,13133.8798828125,12166.1640625,12277.6826171875
4,10,13639.1533203125,12501.103515625,12630.6572265625
4,11,14144.0419921875,12835.017578125,12982.55859375
4,12,13785.0263671875,12598.9931640625,12732.1171875
4,13,13709.4736328125,12577.9951171875,12702.4111328125
4,14,14184.5966796875,12887.08984375,13051.408203125
4,15,14727.0947265625,13198.9912109375,13420.0146484375
4,16,14339.1259765625,12984.5341796875,13162.5078125
4,17,14801.431640625,13302.0830078125,13513.888671875
4,18,13394.3486328125,12525.14453125,12580.2607421875
4,19,13482.765625,12571.884765625,12637.591796875
4,20,13929.8759765625,12880.9013671875,12979.4248046875
4,21,13530.7197265625,12671.4326171875,12721.5078125
4,22,12229.1298828125,11936.228515625,11841.9169921875
4,23,12565.4267578125,12246.2822265625,12154.712890625
4,24,12392.8896484375,12210.2421875,12079.6728515625
4,25,12223.08203125,12146.0869140625,11985.0732421875
4,26,11861.2998046875,11930.447265625,11728.8134765625
4,27,11780.0361328125,11904.326171875,11686.3876953125
4,28,10639.3115234375,11196.6611328125,10837.2265625
4,29,10184.1044921875,10976.8466796875,10533.1416015625
4,30,9263.7333984375,10228.462890625,9729.63671875
4,31,8622.4814453125,9469.36328125,9025.1298828125
4,32,8654.6533203125,9537.8134765625,9078.845703125
4,33,8039.1787109375,8838.6044921875,8420.490234375
4,34,8575.98046875,9200.3974609375,8844.7802734375
