asset,setup,t,w
SPX,rollout+phist,114,2.6345504547297597e-08
SPX,rollout+phist,115,2.6345504523309624e-08
SPX,rollout+phist,116,2.634550454286592e-08
SPX,rollout+phist,117,2.6345504547297597e-08
SPX,rollout+phist,118,2.6345504523296072e-08
SPX,rollout+phist,119,2.634550454286592e-08
SPX,rollout+phist,120,2.6345504547297597e-08
SPX,rollout+phist,121,2.6345504523309624e-08
SPX,rollout+phist,122,2.6345504542567766e-08
SPX,rollout+phist,123,2.6345504548232722e-08
SPX,rollout+phist,124,2.6345504521005695e-08
SPX,rollout+phist,125,2.6345504544587092e-08
SPX,rollout+phist,126,2.634550454613208e-08
SPX,rollout+phist,127,2.6345504520693987e-08
SPX,rollout+phist,128,2.6345504546443788e-08
SPX,rollout+phist,129,2.6345504555795032e-08
SPX,rollout+phist,130,2.634550454731115e-08
SPX,rollout+phist,131,2.6345504559250926e-08
SPX,rollout+phist,132,2.6345504527348278e-08
SPX,rollout+phist,133,2.6345504564427992e-08
SPX,rollout+phist,134,2.6345504559345794e-08
SPX,rollout+phist,135,2.6345504524055013e-08
SPX,rollout+phist,136,2.6345504556919892e-08
SPX,rollout+phist,137,2.634550453760754e-08
SPX,rollout+phist,138,2.634550453481572e-08
SPX,rollout+phist,139,2.6345504572315563e-08
SPX,rollout+phist,140,2.6345504545955897e-08
SPX,rollout+phist,141,2.634550455536135e-08
SPX,rollout+phist,142,2.6345504553301367e-08
SPX,rollout+phist,143,2.6345504518823738e-08
SPX,rollout+phist,144,2.6345504567924544e-08
SPX,rollout+phist,145,2.6345504558288697e-08
SPX,rollout+phist,146,2.6345504550726387e-08
SPX,rollout+phist,147,2.6345504531481798e-08
SPX,rollout+phist,148,2.634550456613561e-08
SPX,rollout+phist,149,2.6345504554087414e-08
SPX,rollout+phist,150,2.6345504532227187e-08
SPX,rollout+phist,151,2.6345504528933923e-08
SPX,rollout+phist,152,2.6345504537241622e-08
SPX,rollout+phist,153,2.6345504552271375e-08
SPX,rollout+phist,154,2.6345504541930797e-08
SPX,rollout+phist,155,2.6345504539667525e-08
SPX,rollout+phist,156,2.6345504544654855e-08
SPX,rollout+phist,157,2.634550452928629e-08
SPX,rollout+phist,158,2.634550454908653e-08
SPX,rollout+phist,159,2.6345504562774584e-08
SPX,rollout+phist,160,2.6345504552434005e-08
SPX,rollout+phist,161,2.6345504568683485e-08
SPX,rollout+phist,162,2.6345504530072335e-08
SPX,rollout+phist,163,2.6345504545562874e-08
SPX,rollout+psign,1,0.9999999821930807
SPX,rollout+psign,2,0.999999987071955
SPX,rollout+psign,3,0.9999999871390768
SPX,rollout+psign,4,0.99999998713991
SPX,rollout+psign,5,0.9999999871394059
SPX,rollout+psign,6,0.999999987137064
SPX,rollout+psign,7,0.9999999870407065
SPX,rollout+psign,8,0.9999999772885876
SPX,rollout+psign,9,0.9999999770146176
SPX,rollout+psign,10,0.9999999770023074
SPX,rollout+psign,11,0.9999999770013142
SPX,rollout+psign,12,0.9999999770013649
SPX,rollout+psign,13,0.999999977001476
SPX,rollout+psign,14,0.9999999770015385
SPX,rollout+psign,15,0.9999999770015666
SPX,rollout+psign,16,0.999999977001578
