asset,setup,t,mu_mix_pct
SPX,rollout+phist,127,0.1930684084072709
SPX,rollout+phist,128,0.1930684084072709
SPX,rollout+phist,129,0.1930684084072709
SPX,rollout+phist,130,0.1930684084072709
SPX,rollout+phist,131,0.1930684084072709
SPX,rollout+phist,132,0.1930684084072709
SPX,rollout+phist,133,0.1930684084072709
SPX,rollout+phist,134,0.1930684084072709
SPX,rollout+phist,135,0.1930684084072709
SPX,rollout+phist,136,0.1930684084072709
SPX,rollout+phist,137,0.1930684084072709
SPX,rollout+phist,138,0.1930684084072709
SPX,rollout+phist,139,0.1930684084072709
SPX,rollout+phist,140,0.1930684084072709
SPX,rollout+phist,141,0.1930684084072709
SPX,rollout+phist,142,0.1930684084072709
SPX,rollout+phist,143,0.1930684084072709
SPX,rollout+phist,144,0.1930684084072709
SPX,rollout+phist,145,0.1930684084072709
SPX,rollout+phist,146,0.1930684084072709
SPX,rollout+phist,147,0.1930684084072709
SPX,rollout+phist,148,0.1930684084072709
SPX,rollout+phist,149,0.1930684084072709
SPX,rollout+phist,150,0.1930684084072709
SPX,rollout+phist,151,0.1930684084072709
SPX,rollout+phist,152,0.1930684084072709
SPX,rollout+phist,153,0.1930684084072709
SPX,rollout+phist,154,0.1930684084072709
SPX,rollout+phist,155,0.1930684084072709
SPX,rollout+phist,156,0.1930684084072709
SPX,rollout+phist,157,0.1930684084072709
SPX,rollout+phist,158,0.1930684084072709
SPX,rollout+phist,159,0.1930684084072709
SPX,rollout+phist,160,0.1930684084072709
SPX,rollout+phist,161,0.1930684084072709
SPX,rollout+phist,162,0.1930684084072709
SPX,rollout+phist,163,0.1930684084072709
SPX,rollout+psign,1,0.3400828689336777
SPX,rollout+psign,2,0.3400828689336777
SPX,rollout+psign,3,0.3400828689336777
SPX,rollout+psign,4,0.3400828689336777
SPX,rollout+psign,5,0.3400828689336777
SPX,rollout+psign,6,0.3400828689336777
SPX,rollout+psign,7,0.3400828689336777
SPX,rollout+psign,8,-0.39327587001025677
SPX,rollout+psign,9,-0.39327587001025677
SPX,rollout+psign,10,-0.39327587001025677
SPX,rollout+psign,11,-0.39327587001025677
SPX,rollout+psign,12,-0.39327587001025677
SPX,rollout+psign,13,-0.39327587001025677
SPX,rollout+psign,14,-0.39327587001025677
SPX,rollout+psign,15,-0.39327587001025677
SPX,rollout+psign,16,-0.39327587001025677
SPX,rollout+psign,17,-0.39327587001025677
SPX,rollout+psign,18,-0.39327587001025677
SPX,rollout+psign,19,-0.39327587001025677
SPX,rollout+psign,20,-0.39327587001025677
SPX,rollout+psign,21,-0.39327587001025677
SPX,rollout+psign,22,-0.39327587001025677
SPX,rollout+psign,23,-0.39327587001025677
SPX,rollout+psign,24,-0.39327587001025677
SPX,rollout+psign,25,-0.39327587001025677
SPX,rollout+psign,26,-0.39327587001025677
SPX,rollout+psign,27,-0.39327587001025677
SPX,rollout+psign,28,-0.39327587001025677
SPX,rollout+psign,29,-0.39327587001025677
SPX,rollout+psign,30,-0.39327587001025677
SPX,rollout+psign,31,-0.39327587001025677
SPX,rollout+psign,32,-0.39327587001025677
SPX,rollout+psign,33,-0.39327587001025677
SPX,rollout+psign,34,-0.39327587001025677
SPX,rollout+psign,35,-0.39327587001025677
SPX,rollout+psign,36,-0.39327587001025677
SPX,rollout+psign,37,-0.39327587001025677
SPX,rollout+psign,38,-0.39327587001025677
SPX,rollout+psign,39,-0.39327587001025677
SPX,rollout+psign,40,-0.39327587001025677
SPX,rollout+psign,41,-0.39327587001025677
SPX,rollout+psign,42,-0.39327587001025677
SPX,rollout+psign,43,-0.39327587001025677
SPX,rollout+psign,44,-0.39327587001025677
SPX,rollout+psign,45,-0.39327587001025677
SPX,rollout+psign,46,-0.39327587001025677
SPX,rollout+psign,47,-0.39327587001025677
SPX,rollout+psign,48,-0.39327587001025677
SPX,rollout+psign,49,-0.39327587001025677
SPX,rollout+psign,50,-0.39327587001025677
SPX,rollout+psign,51,-0.39327587001025677
SPX,rollout+psign,52,-0.39327587001025677
SPX,rollout+psign,53,-0.39327587001025677
SPX,rollout+psign,54,-0.39327587001025677
SPX,rollout+psign,55,-0.39327587001025677
SPX,rollout+psign,56,-0.39327587001025677
SPX,rollout+psign,57,-0.39327587001025677
SPX,rollout+psign,58,-0.39327587001025677
SPX,rollout+psign,59,-0.39327587001025677
SPX,rollout+psign,60,-0.39327587001025677
SPX,rollout+psign,61,-0.39327587001025677
SPX,rollout+psign,62,-0.39327587001025677
SPX,rollout+psign,63,-0.39327587001025677
SPX,rollout+psign,64,-0.39327587001025677
SPX,rollout+psign,65,-0.39327587001025677
SPX,rollout+psign,66,-0.39327587001025677
SPX,rollout+psign,67,-0.39327587001025677
SPX,rollout+psign,68,-0.39327587001025677
SPX,rollout+psign,69,-0.39327587001025677
SPX,rollout+psign,70,-0.39327587001025677
SPX,rollout+psign,71,-0.39327587001025677
SPX,rollout+psign,72,-0.39327587001025677
SPX,rollout+psign,73,-0.39327587001025677
