grupo,id,corr
candidato,0,-0.004952051594433612
candidato,1,-0.09352047824847706
candidato,2,0.20503708814900357
candidato,3,0.035339711315059016
candidato,4,0.06320673732828985
candidato,5,0.03995390183513958
candidato,6,-0.06983652416946054
candidato,7,0.021597644388835085
candidato,8,-0.01644361938336308
candidato,9,-0.03214664718838264
candidato,10,-0.0902905272261639
candidato,11,-0.02176962101292064
candidato,12,-0.09163594810731626
candidato,13,-0.09221864656378821
candidato,14,-0.03450207529949965
candidato,15,-0.04536131949243127
candidato,16,-0.013214659541126219
candidato,17,-0.011238167376181316
candidato,18,0.05615132766963664
candidato,19,-0.0013575444567433383
candidato,20,-0.0032846203491651437
candidato,21,0.015788115338945925
candidato,22,0.007147442661567505
candidato,23,-0.08162658654102556
candidato,24,0.028208988602938096
candidato,25,-0.059267025917712456
candidato,26,-0.02047647627089131
candidato,27,0.041730379962890134
candidato,28,0.09180581543834339
candidato,29,-0.015343274999800897
candidato,30,-0.032446690737403486
candidato,31,-0.0025890124766037824
candidato,32,-0.08896738423094634
candidato,33,-0.10763906449409683
candidato,34,-0.011262008535313043
candidato,35,-0.021519597546736456
candidato,36,0.09820623836587233
candidato,37,-0.11807740411275944
candidato,38,-0.006055517800562083
candidato,39,0.051075004570852796
candidato,40,-0.12992322183496938
candidato,41,0.16599054915915515
candidato,42,0.041609470934674465
candidato,43,0.05158924146539561
candidato,44,-0.0485573579630679
candidato,45,-0.008615827514691275
candidato,46,-0.01583329171448203
candidato,47,-0.04720179763397062
candidato,48,-0.09788207012916225
candidato,49,0.14908464941704488
candidato,50,-0.06277466122186241
candidato,51,-0.04091126383404873
candidato,52,0.10698505576330185
candidato,53,0.002596460505976278
candidato,54,0.019684093397163403
candidato,55,0.10418350233641255
candidato,56,0.020544717024440443
candidato,57,0.06108181823632353
candidato,58,0.0674346203595207
candidato,59,-0.021734231586583542
candidato,60,0.016816426659371962
candidato,61,0.0491139298407601
candidato,62,-0.06730608671591866
candidato,63,0.056398146593182395
candidato,64,0.03045505996049602
candidato,65,-0.031203002368783952
candidato,66,-0.03281038607043446
candidato,67,-0.045280934528274946
candidato,68,-0.026354737249053968
candidato,69,0.010829998952628362
candidato,70,0.08109771430598828
candidato,71,-0.0942488221052972
candidato,72,0.20007061878524648
candidato,73,0.1089841447571196
candidato,74,0.08197225828889144
candidato,75,-0.07909436606863379
candidato,76,0.09183963832170103
candidato,77,0.04205867997360602
candidato,78,0.03604872091914357
candidato,79,0.17021836142267752
candidato,80,-0.033323526806910794
candidato,81,0.10025682925044295
candidato,82,-0.13103356450205966
candidato,83,0.1589354823361467
candidato,84,0.11228810015583053
candidato,85,-0.07961900682914333
candidato,86,-0.027772945177610725
candidato,87,0.10156948475781244
candidato,88,-0.09336320666936371
candidato,89,-0.03742284946257798
candidato,90,0.03732258616078398
candidato,91,0.02501793765187059
candidato,92,-0.023170577527914963
candidato,93,0.011959107874842488
candidato,94,0.07068880108856868
candidato,95,-0.04673050102584703
candidato,96,-0.05832290925832786
candidato,97,-0.07901184252736851
candidato,98,0.08689396367772331
candidato,99,0.062388351413469684
candidato,100,-0.07101592321069405
candidato,101,-0.053032946162370115
candidato,102,0.08548622243553207
candidato,103,0.04427605512552128
candidato,104,0.09487974092441984
candidato,105,0.09090731475192963
candidato,106,-0.07189763570920843
candidato,107,0.004897363394291162
candidato,108,-0.04857456025621099
candidato,109,0.01721984079515527
candidato,110,-0.030300728916616372
candidato,111,-0.09218806907933168
candidato,112,-0.03005326170830853
candidato,113,-0.014661119128582078
candidato,114,0.13081271692923419
candidato,115,0.061542127970844435
candidato,116,0.04341227322376972
candidato,117,-0.014451421838755838
candidato,118,0.0937914199871531
candidato,119,-0.09519793035726234
candidato,120,-0.043705892969506104
candidato,121,0.10487968268030266
candidato,122,0.025191439640995784
candidato,123,0.04560009107779497
candidato,124,0.15945299073005884
candidato,125,-0.08098167598554971
candidato,126,-0.043499696092445805
candidato,127,0.11975297273641297
candidato,128,0.13896323598536747
candidato,129,-0.07980992234734063
