lambda,m,mu_hat_SPX_bear,mu_hat_SPX_bull,mu_hat_CMC200_bear,mu_hat_CMC200_bull
0.3,0.01,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
0.3,0.2,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
0.3,0.5,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
0.7,0.01,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
0.7,0.2,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
0.7,0.5,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
1.1,0.01,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
1.1,0.2,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
1.1,0.5,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
1.5,0.01,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
1.5,0.2,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
1.5,0.5,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
1.8,0.01,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
1.8,0.2,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
1.8,0.5,0.0020529826122042552,0.0017472362971130114,0.008654224603924817,0.002832403484961032
