asset,lambda,m,accuracy_dir,base_rate_bull,p_bull_mean,p_bull_std,t_start,t_end
SPX,0.3,0.01,0.46601941747572817,0.5339806079864502,0.36893215775489807,0.07244566828012466,61,163
SPX,0.3,0.2,0.46601941747572817,0.5339806079864502,0.47766998410224915,0.09747496992349625,61,163
SPX,0.3,0.5,0.4854368932038835,0.5339806079864502,0.4097088575363159,0.05122682452201843,61,163
SPX,0.7,0.01,0.5631067961165048,0.5339806079864502,0.49514561891555786,0.10369732230901718,61,163
SPX,0.7,0.2,0.49514563106796117,0.5339806079864502,0.5728155970573425,0.1673286408185959,61,163
SPX,0.7,0.5,0.47572815533980584,0.5339806079864502,0.5300970673561096,0.09536334872245789,61,163
SPX,1.1,0.01,0.5436893203883495,0.5339806079864502,0.5864076614379883,0.0503358468413353,61,163
SPX,1.1,0.2,0.5436893203883495,0.5339806079864502,0.5805823802947998,0.06544583290815353,61,163
SPX,1.1,0.5,0.5436893203883495,0.5339806079864502,0.5786406397819519,0.06177077814936638,61,163
SPX,1.5,0.01,0.5339805825242718,0.5339806079864502,0.5961163640022278,0.027597419917583466,61,163
SPX,1.5,0.2,0.4563106796116505,0.5339806079864502,0.4135923683643341,0.050335850566625595,61,163
SPX,1.5,0.5,0.4563106796116505,0.5339806079864502,0.4058253765106201,0.0336320586502552,61,163
SPX,1.8,0.01,0.5533980582524272,0.5339806079864502,0.5339804887771606,0.15613873302936554,61,163
SPX,1.8,0.2,0.49514563106796117,0.5339806079864502,0.5495145320892334,0.08688101172447205,61,163
SPX,1.8,0.5,0.5242718446601942,0.5339806079864502,0.6213592290878296,0.13628247380256653,61,163
CMC200,0.3,0.01,0.49514563106796117,0.5048543810844421,0.4000001549720764,1.4901161193847656e-07,61,163
CMC200,0.3,0.2,0.4854368932038835,0.5048543810844421,0.4990290701389313,0.10748235881328583,61,163
CMC200,0.3,0.5,0.5339805825242718,0.5048543810844421,0.46990299224853516,0.09536334127187729,61,163
CMC200,0.7,0.01,0.5048543689320388,0.5048543810844421,0.4213593006134033,0.06177077442407608,61,163
CMC200,0.7,0.2,0.5436893203883495,0.5048543810844421,0.4368932843208313,0.0775727704167366,61,163
CMC200,0.7,0.5,0.5436893203883495,0.5048543810844421,0.4407767653465271,0.112721748650074,61,163
CMC200,1.1,0.01,0.5048543689320388,0.5048543810844421,0.5708736777305603,0.10204801708459854,61,163
CMC200,1.1,0.2,0.46601941747572817,0.5048543810844421,0.4291263818740845,0.0705472007393837,61,163
CMC200,1.1,0.5,0.5145631067961165,0.5048543810844421,0.47184473276138306,0.09991984814405441,61,163
CMC200,1.5,0.01,0.5533980582524272,0.5048543810844421,0.4621359407901764,0.10059678554534912,61,163
CMC200,1.5,0.2,0.49514563106796117,0.5048543810844421,0.4038836359977722,0.06219657510519028,61,163
CMC200,1.5,0.5,0.49514563106796117,0.5048543810844421,0.5631066560745239,0.09552136063575745,61,163
CMC200,1.8,0.01,0.5436893203883495,0.5048543810844421,0.6116503477096558,0.09980659186840057,61,163
CMC200,1.8,0.2,0.4368932038834951,0.5048543810844421,0.5747571587562561,0.06641799956560135,61,163
CMC200,1.8,0.5,0.4368932038834951,0.5048543810844421,0.5475728511810303,0.08795924484729767,61,163
SPX,ensemble,—,0.5436893203883495,0.5339806079864502,0.48932042717933655,0.09942810237407684,61,163
CMC200,ensemble,—,0.5533980582524272,0.5048543810844421,0.497087299823761,0.09995759278535843,61,163
