lambda,m,mean_regret,worst_regret
1.8,0.5,539.93585,2533.747
1.8,0.2,543.6608,2605.7705
1.5,0.5,563.2039,2395.9756
1.5,0.2,584.0757,2135.3271
1.1,0.5,609.2722,1771.6807
1.1,0.2,618.14777,1699.5957
1.8,0.01,659.369,2778.995
1.5,0.01,679.58514,2547.4277
0.7,0.01,738.513,1162.6904
0.7,0.5,768.4962,1036.2539
0.7,0.2,774.2848,1021.61523
1.1,0.01,884.2003,2639.7314
0.3,0.5,946.1244,1629.8047
0.3,0.01,946.1247,1629.8047
0.3,0.2,946.1266,1629.8076
