asset,p_bull std (cells),p_bull rango max,mu_mix std (cells),mu_mix std (t)
SPX,0.1181233674287796,0.6000000238418579,3.611579658099912e-05,8.403783122412538e-06
CMC200,0.09936020523309708,0.6000000238418579,0.0005784573772177799,0.0001769165674598548
