escenario,ret_SPX,ret_CMC200,ret_port_wref
s0,-0.6271398067474365,-0.8058289289474487,-0.727103590965271
s1,-0.4256358742713928,-0.6016495227813721,-0.5152084231376648
s2,-0.19786018133163452,-0.41694384813308716,-0.3059840798377991
s3,-0.06595176458358765,-0.04802596569061279,-0.0426904559135437
s4,0.39635586738586426,0.7835360765457153,0.6030863523483276
