gap_pct,mu_hat_bull_SPX,mu_hat_bear_SPX,mu_hat_bull_CMC,mu_hat_bear_CMC,g_mean_lambda,g_mean_m,V_mean_dl,backtest_cap,backtest_ret
0.0,0.0018711220779459984,0.0018711220779459984,0.004195981141104295,0.004195981141104295,0.3,0.2,10738.568359375,9100.142719430893,-0.08998572805691074
0.005,0.0043711220779459985,-0.0006288779220540016,0.006695981141104295,0.0016959811411042945,0.3,0.01,10809.9365234375,7833.407031014355,-0.21665929689856445
0.01,0.006871122077945999,-0.0031288779220540017,0.009195981141104294,-0.0008040188588957055,0.3,0.01,10953.4423828125,6339.998184620105,-0.3660001815379894
0.02,0.011871122077945998,-0.008128877922054002,0.014195981141104295,-0.005804018858895706,0.3,0.01,11000.6064453125,5845.347087170124,-0.4154652912829876
0.04,0.021871122077946,-0.018128877922054,0.024195981141104293,-0.015804018858895708,0.3,0.01,11000.3212890625,5845.173084648622,-0.41548269153513784
0.08,0.041871122077946,-0.038128877922054,0.0441959811411043,-0.035804018858895705,0.3,0.01,11000.2626953125,5845.141356265389,-0.41548586437346113
0.12,0.061871122077946,-0.058128877922054,0.0641959811411043,-0.0558040188588957,0.3,0.01,11000.3125,5845.139032083587,-0.4154860967916413
0.16,0.081871122077946,-0.078128877922054,0.0841959811411043,-0.0758040188588957,0.3,0.01,11000.275390625,5845.175711319626,-0.4154824288680373
