setup,lambda,m,z,turnover_total,costo_total,w_SPX_mean,w_SPX_min,w_SPX_max,w_SPX_std,w_CMC200_mean,w_CMC200_min,w_CMC200_max,w_CMC200_std
pdf_aligned,0.3,0.1,0.830381011728494,0.9999999490561607,0.002500182920872079,2.6692992730002647e-08,2.5910596157559924e-08,8.20831784700154e-08,4.3578498367402445e-09,0.9999999733070072,0.9999999179168215,0.9999999740894039,4.3578498367187345e-09
legacy,0.3,0.1,0.48010415800776607,2.952346381981073,0.0073817389356053975,0.1612400806820216,0.11852331352707675,0.3015270822518173,0.06179128754298807,0.8387599193179786,0.6984729177481827,0.8814766864729233,0.06179128754298808
opt_base,1.0,1.0,0.3908546173173417,0.7223693652750108,0.0018063168138841507,0.7879225555966756,0.5639799506636005,0.8433700256270207,0.06910974785068309,0.2120774444033245,0.15662997437297935,0.43602004933639954,0.06910974785068308
