setup,t,costo_t,costo_acum
pdf_aligned,103,1.129796458823368e-09,0.0025001151330845597
pdf_aligned,104,1.1297964588230427e-09,0.0025001162628810183
pdf_aligned,105,1.1297964588229343e-09,0.002500117392677477
pdf_aligned,106,1.129796458823368e-09,0.0025001185224739356
pdf_aligned,107,1.1297964588230427e-09,0.0025001196522703942
pdf_aligned,108,1.1297964588229343e-09,0.002500120782066853
pdf_aligned,109,1.129796458823368e-09,0.0025001219118633115
pdf_aligned,110,1.1297964588230427e-09,0.00250012304165977
pdf_aligned,111,1.1297964588229343e-09,0.002500124171456229
pdf_aligned,112,1.129796458823368e-09,0.0025001253012526875
pdf_aligned,113,1.1297964588230427e-09,0.002500126431049146
pdf_aligned,114,1.1297964588229343e-09,0.0025001275608456048
pdf_aligned,115,1.129796458823368e-09,0.0025001286906420634
pdf_aligned,116,1.1297964588230427e-09,0.002500129820438522
pdf_aligned,117,1.1297964588229343e-09,0.0025001309502349807
pdf_aligned,118,1.129796458823368e-09,0.0025001320800314393
pdf_aligned,119,1.1297964588231512e-09,0.002500133209827898
pdf_aligned,120,1.1297964588229343e-09,0.0025001343396243566
pdf_aligned,121,1.1297964588231512e-09,0.0025001354694208153
pdf_aligned,122,1.1297964588231512e-09,0.002500136599217274
pdf_aligned,123,1.1297964588230427e-09,0.0025001377290137326
pdf_aligned,124,1.1297964588229343e-09,0.002500138858810191
pdf_aligned,125,1.1297964588232596e-09,0.00250013998860665
pdf_aligned,126,1.1297964588230427e-09,0.0025001411184031085
pdf_aligned,127,1.1297964588229343e-09,0.002500142248199567
pdf_aligned,128,1.129796458823151e-09,0.0025001433779960258
pdf_aligned,129,1.1297964588231512e-09,0.0025001445077924844
pdf_aligned,130,1.1297964588232596e-09,0.002500145637588943
pdf_aligned,131,1.1297964588230427e-09,0.0025001467673854017
pdf_aligned,132,1.1297964588232596e-09,0.0025001478971818604
pdf_aligned,133,1.1297964588230427e-09,0.002500149026978319
pdf_aligned,134,1.129796458823151e-09,0.0025001501567747777
pdf_aligned,135,1.1297964588228257e-09,0.0025001512865712363
pdf_aligned,136,1.1297964588230427e-09,0.002500152416367695
pdf_aligned,137,1.129796458822826e-09,0.0025001535461641536
pdf_aligned,138,1.1297964588230427e-09,0.0025001546759606122
pdf_aligned,139,1.1297964588229343e-09,0.002500155805757071
pdf_aligned,140,1.1297964588229343e-09,0.0025001569355535295
pdf_aligned,141,1.129796458822826e-09,0.002500158065349988
pdf_aligned,142,1.1297964588229343e-09,0.002500159195146447
pdf_aligned,143,1.1297964588229343e-09,0.0025001603249429055
pdf_aligned,144,1.129796458822826e-09,0.002500161454739364
pdf_aligned,145,1.1297964588227174e-09,0.0025001625845358227
pdf_aligned,146,1.1297964588229343e-09,0.0025001637143322814
pdf_aligned,147,1.1297964588230427e-09,0.00250016484412874
pdf_aligned,148,1.1297964588229343e-09,0.0025001659739251987
pdf_aligned,149,1.129796458823151e-09,0.0025001671037216573
pdf_aligned,150,1.1297964588231512e-09,0.002500168233518116
pdf_aligned,151,1.1297964588230427e-09,0.0025001693633145746
pdf_aligned,152,1.1297964588230427e-09,0.0025001704931110333
pdf_aligned,153,1.1297964588229343e-09,0.002500171622907492
