setup,t,turnover
pdf_aligned,110,1.9556296686207286e-17
pdf_aligned,111,4.431676380034499e-18
pdf_aligned,112,2.3987973066241786e-17
pdf_aligned,113,1.9556296686207286e-17
pdf_aligned,114,4.431676380034499e-18
pdf_aligned,115,2.3987973066241786e-17
pdf_aligned,116,1.9556296686207286e-17
pdf_aligned,117,4.431676380034499e-18
pdf_aligned,118,2.4001525593397854e-17
pdf_aligned,119,1.9569849213363355e-17
pdf_aligned,120,4.431676380034499e-18
pdf_aligned,121,2.3987973066241786e-17
pdf_aligned,122,1.9258141088773773e-17
pdf_aligned,123,5.664956351236761e-18
pdf_aligned,124,2.722702705654223e-17
pdf_aligned,125,2.358139725155972e-17
pdf_aligned,126,1.5449880957918438e-18
pdf_aligned,127,2.5438093471941148e-17
pdf_aligned,128,2.574980159653073e-17
pdf_aligned,129,9.351243737687476e-18
pdf_aligned,130,8.483881999699072e-18
pdf_aligned,131,1.1939776424496618e-17
pdf_aligned,132,3.190264892538597e-17
pdf_aligned,133,3.707971429900425e-17
pdf_aligned,134,5.082197683525802e-18
pdf_aligned,135,3.529078071440317e-17
pdf_aligned,136,3.2864878353466853e-17
pdf_aligned,137,1.9312351197398048e-17
pdf_aligned,138,2.791820594150174e-18
pdf_aligned,139,3.7499842640842385e-17
pdf_aligned,140,2.6359665318553827e-17
pdf_aligned,141,9.405453846311751e-18
pdf_aligned,142,2.0599841277224584e-18
pdf_aligned,143,3.447762908503904e-17
pdf_aligned,144,4.910080588643728e-17
pdf_aligned,145,9.63584680796492e-18
pdf_aligned,146,7.562310153086393e-18
pdf_aligned,147,1.9244588561617704e-17
pdf_aligned,148,3.4653811938067935e-17
pdf_aligned,149,1.2048196641745168e-17
pdf_aligned,150,2.1860226302738983e-17
pdf_aligned,151,3.2932640989247197e-18
pdf_aligned,152,8.307699146670178e-18
pdf_aligned,153,1.5029752616080305e-17
pdf_aligned,154,1.0340578220080499e-17
pdf_aligned,155,2.2632720350634905e-18
pdf_aligned,156,4.9873299934333204e-18
pdf_aligned,157,1.5368565794982025e-17
pdf_aligned,158,1.9800242175016525e-17
pdf_aligned,159,1.3688052427629493e-17
pdf_aligned,160,1.0340578220080499e-17
pdf_aligned,161,1.6249480060126498e-17
pdf_aligned,162,3.8611149867640027e-17
pdf_aligned,163,1.5490538539386645e-17
legacy,1,0.7591812833207787
legacy,2,0.0014791117247592717
legacy,3,0.0006569190957519677
legacy,4,0.0003942906852582584
legacy,5,0.0002679852647488601
legacy,6,0.00019515289358813803
legacy,7,0.00014836728945047395
legacy,8,0.00011609949200677705
legacy,9,9.27110412621418e-05
legacy,10,7.512878938925605e-05
legacy,11,6.153760588510637e-05
legacy,12,5.079775589689195e-05
legacy,13,4.21587012264385e-05
legacy,14,3.510738878928499e-05
legacy,15,2.928265130021368e-05
legacy,16,2.4424235917031023e-05
legacy,17,2.034098895292713e-05
legacy,18,1.6890175725550738e-05
legacy,19,1.3963564198540834e-05
legacy,20,1.1477775384363675e-05
legacy,21,9.367415979483207e-06
legacy,22,7.58008334968141e-06
legacy,23,6.072672038517912e-06
legacy,24,4.808615679502415e-06
legacy,25,3.7558231432976985e-06
legacy,26,2.885144529798933e-06
legacy,27,2.1692503023862386e-06
legacy,28,1.581836962638583e-06
legacy,29,1.0970919821218228e-06
legacy,30,6.893631565585423e-07
legacy,31,3.3298543365700706e-07
legacy,32,2.2230186441651867e-09
legacy,33,3.287127904871845e-07
legacy,34,6.856082755829496e-07
legacy,35,1.0941922430340867e-06
legacy,36,1.5801190399872267e-06
legacy,37,2.169028039955556e-06
legacy,38,2.8867193953840964e-06
legacy,39,3.7594886213854206e-06
legacy,40,4.814667449462573e-06
legacy,41,6.0814263720399e-06
legacy,42,7.5919068090457564e-06
legacy,43,9.382770118221417e-06
legacy,44,1.1497280580391456e-05
legacy,45,1.3988086684804668e-05
legacy,46,1.69209407410581e-05
legacy,47,2.03797193604055e-05
legacy,48,2.4473306337882694e-05
legacy,49,2.9345224789423252e-05
legacy,50,3.5187447712164976e-05
legacy,51,4.226075628055437e-05
legacy,52,5.092573865671246e-05
legacy,53,6.169188363001898e-05
legacy,54,7.52991757802246e-05
legacy,55,9.28618007829396e-05
legacy,56,0.00011613890987739739
legacy,57,0.00014808595724442875
legacy,58,0.0001940838383804877
legacy,59,0.0002650055299229098
legacy,60,0.00038622891564635276
legacy,61,0.0006326595903529131
legacy,62,0.00135643276957019
legacy,63,0.1303379963403514
legacy,64,3.904627027262464e-08
legacy,65,1.6309601371666815e-06
legacy,66,0.02145244007005323
legacy,67,5.325967501468298e-07
legacy,68,3.9931468757969935e-06
legacy,69,0.0005926527399114367
legacy,70,2.0726541180571267e-07
legacy,71,0.14641160198332048
legacy,72,0.0006439612157090463
legacy,73,1.4523966413174105e-05
legacy,74,4.1377655143476355e-06
legacy,75,1.7432664307093226e-06
