split,asset,pinball_lstm,pinball_baseline,skill
train,SPX,0.008432966423376152,0.008221905530152274,-0.025670556837445124
train,CMC200,0.024378497469070778,0.0241563824826153,-0.009194877859519224
valid,SPX,0.006105980893597007,0.0053917455396925405,-0.13246829781681324
valid,CMC200,0.0152397088855505,0.014710276927333323,-0.035990618044275946
test,SPX,0.005723795878584496,0.0057688052096054885,0.007802192895341342
test,CMC200,0.016747792600654066,0.017082821398798843,0.01961202955434127
