componente,varianza_explicada,varianza_acumulada
1,0.5983470678329468,0.5983470678329468
2,0.3305184245109558,0.9288654923439026
3,0.03984963521361351,0.9687151312828064
4,0.012389467097818851,0.9811046123504639
5,0.008936069905757904,0.99004065990448
6,0.003701122011989355,0.9937418103218079
7,0.0024759783409535885,0.9962177872657776
8,0.0015905721811577678,0.9978083372116089
9,0.000994261121377349,0.9988026022911072
10,0.0005590851069428027,0.9993616938591003
