epoch,split,pinball
1,train,0.048173461109399796
2,train,0.047296326607465744
3,train,0.04632849246263504
4,train,0.04557865858078003
5,train,0.044310424476861954
6,train,0.04412269592285156
7,train,0.04386255890130997
8,train,0.042618848383426666
9,train,0.04160456731915474
10,train,0.04099104553461075
11,train,0.04003605246543884
12,train,0.039635155349969864
13,train,0.03869148716330528
14,train,0.03799624368548393
15,train,0.03759323060512543
16,train,0.03738386183977127
17,train,0.0361882783472538
18,train,0.03542320430278778
19,train,0.034783679991960526
20,train,0.03427942097187042
21,train,0.03319844231009483
22,train,0.03333951160311699
23,train,0.0323263444006443
24,train,0.03219625726342201
25,train,0.030588200315833092
26,train,0.02986397221684456
27,train,0.029285652562975883
28,train,0.028759079053997993
29,train,0.027981838211417198
30,train,0.027147989720106125
31,train,0.02683432586491108
32,train,0.026094283908605576
33,train,0.02583950012922287
34,train,0.02516351267695427
35,train,0.023514356464147568
36,train,0.023830948397517204
37,train,0.02370416559278965
38,train,0.02425820752978325
39,train,0.0230434387922287
40,train,0.022148868069052696
41,train,0.022054560482501984
42,train,0.021461984142661095
43,train,0.020690347999334335
44,train,0.02146805264055729
45,train,0.02145618014037609
46,train,0.020239872857928276
47,train,0.02120828628540039
48,train,0.020727787166833878
49,train,0.020467787981033325
50,train,0.020659759640693665
51,train,0.02021341770887375
52,train,0.02083001285791397
53,train,0.01999165490269661
54,train,0.020176229998469353
55,train,0.019564103335142136
56,train,0.0196477472782135
57,train,0.020298048853874207
58,train,0.019299060106277466
59,train,0.020007768645882607
60,train,0.019657447934150696
61,train,0.019085105508565903
62,train,0.0190903153270483
63,train,0.019106067717075348
64,train,0.019407199695706367
65,train,0.018348466604948044
66,train,0.018891839310526848
67,train,0.01886492781341076
68,train,0.01865079440176487
69,train,0.019465165212750435
70,train,0.018563497811555862
71,train,0.01876659132540226
72,train,0.018382538110017776
73,train,0.018672894686460495
74,train,0.01865347847342491
75,train,0.01857922412455082
76,train,0.01777689903974533
77,train,0.01859189011156559
78,train,0.01836564391851425
79,train,0.018216241151094437
80,train,0.017776798456907272
81,train,0.018296271562576294
82,train,0.018581103533506393
83,train,0.019179346039891243
84,train,0.018058089539408684
85,train,0.017928596585989
86,train,0.018304450437426567
87,train,0.018119793385267258
88,train,0.018587976694107056
89,train,0.01777031645178795
90,train,0.017755381762981415
91,train,0.018161283805966377
92,train,0.018174756318330765
93,train,0.017934929579496384
94,train,0.01748044416308403
95,train,0.018449125811457634
96,train,0.017770692706108093
97,train,0.018189143389463425
98,train,0.017686638981103897
99,train,0.018139047548174858
100,train,0.01761503703892231
101,train,0.01804279163479805
102,train,0.017650652676820755
103,train,0.017707066610455513
1,valid,0.040896009653806686
2,valid,0.03993411734700203
3,valid,0.03903092071413994
4,valid,0.038199398666620255
5,valid,0.037421148270368576
6,valid,0.036686256527900696
7,valid,0.036012306809425354
8,valid,0.035337772220373154
9,valid,0.03470410406589508
10,valid,0.034081947058439255
11,valid,0.03345014899969101
12,valid,0.03283856064081192
13,valid,0.03224087506532669
14,valid,0.03161796182394028
15,valid,0.030994078144431114
16,valid,0.03035421296954155
17,valid,0.029704920947551727
18,valid,0.029038438573479652
19,valid,0.028350938111543655
20,valid,0.027638979256153107
21,valid,0.026903877034783363
22,valid,0.02617509290575981
23,valid,0.02544262818992138
24,valid,0.024696003645658493
25,valid,0.0239324439316988
26,valid,0.023166829720139503
27,valid,0.02243373543024063
28,valid,0.02171155996620655
29,valid,0.02100881189107895
30,valid,0.020292863249778748
31,valid,0.019570667296648026
32,valid,0.018841087818145752
33,valid,0.018118534237146378
34,valid,0.017407171428203583
35,valid,0.01671060174703598
36,valid,0.01610136218369007
37,valid,0.01549000758677721
38,valid,0.014920013956725597
39,valid,0.014416610822081566
40,valid,0.01397758349776268
41,valid,0.01362954918295145
42,valid,0.013353630900382996
43,valid,0.013169310055673122
44,valid,0.013047855347394943
45,valid,0.01294444315135479
46,valid,0.012828093953430653
47,valid,0.012721018865704536
48,valid,0.012604176066815853
49,valid,0.012484901584684849
50,valid,0.012370982207357883
51,valid,0.01224683877080679
52,valid,0.012139160186052322
53,valid,0.012019610032439232
54,valid,0.011902958154678345
55,valid,0.011769169941544533
56,valid,0.011640909127891064
57,valid,0.011525631882250309
58,valid,0.011439310386776924
59,valid,0.01135542243719101
60,valid,0.011286371387541294
61,valid,0.011242336593568325
62,valid,0.011227789334952831
63,valid,0.011226128786802292
64,valid,0.01123579777777195
65,valid,0.01125025749206543
66,valid,0.011276318691670895
67,valid,0.011296556331217289
68,valid,0.01131002139300108
69,valid,0.011324766092002392
70,valid,0.011324720457196236
71,valid,0.011311955749988556
72,valid,0.011285289190709591
73,valid,0.011255832388997078
74,valid,0.01121853943914175
75,valid,0.01117266621440649
76,valid,0.011117803864181042
77,valid,0.011057514697313309
78,valid,0.010990489274263382
79,valid,0.010916835628449917
80,valid,0.010852727107703686
81,valid,0.010802056640386581
82,valid,0.01077029574662447
83,valid,0.010755113326013088
84,valid,0.010739766992628574
85,valid,0.010726365260779858
86,valid,0.010717302560806274
87,valid,0.010704798623919487
88,valid,0.010688478127121925
89,valid,0.010688334703445435
90,valid,0.010696441866457462
91,valid,0.010725066065788269
92,valid,0.010755501687526703
93,valid,0.010791379027068615
94,valid,0.010830841027200222
95,valid,0.010886424221098423
96,valid,0.01093332376331091
97,valid,0.010981465689837933
98,valid,0.011021865531802177
99,valid,0.011050746776163578
100,valid,0.01106276921927929
101,valid,0.011060107499361038
102,valid,0.01105512399226427
103,valid,0.011046722531318665
