asset,split,pred_pbull_mean,pred_pbull_std,real_pbull,median_quintile_pred_mean,median_quintile_pred_median,frac_median_quintile_neg
SPX,TRAIN,0.5305555555555556,0.09521742500557002,0.4722222222222222,0.001069303834810853,0.002095052506774664,0.3472222222222222
CMC200,TRAIN,0.4722222222222222,0.09606453592105876,0.4722222222222222,-0.0039785620756447315,-0.004013806581497192,0.6388888888888888
SPX,VALID,0.5199999999999999,0.09797958971132711,0.4,0.0008210823289118707,0.001369718462228775,0.4
CMC200,VALID,0.45333333333333325,0.08844332774281063,0.4666666666666667,-0.0056678722612559795,-0.007712606340646744,0.7333333333333333
SPX,TEST,0.5625,0.07806247497997995,0.9375,0.0028683478012681007,0.002025405876338482,0.1875
CMC200,TEST,0.4625,0.09270248108869578,0.6875,-0.0076830461621284485,-0.009658947587013245,0.6875
