asset,split,n_weeks,mean_pct,median_pct,std_pct,skew,n_bull,true_p_bull
SPX,TRAIN,72,0.03773790376726538,-0.12145909713581204,2.831553667783737,0.14848728477954865,34,0.4722222222222222
SPX,VALID,15,-0.6004430819302797,-0.3126787953078747,1.5648676082491875,0.08234968036413193,6,0.4
SPX,TEST,16,1.3321967795491219,1.2302504852414131,1.4283228665590286,1.2537215948104858,15,0.9375
CMC200,TRAIN,72,-0.4277267958968878,-0.3126738592982292,9.000848233699799,-0.7791146636009216,34,0.4722222222222222
CMC200,VALID,15,0.38721913006156683,-0.11144659947603941,5.111119896173477,0.08200240880250931,7,0.4666666666666667
CMC200,TEST,16,2.67595574259758,2.2142786532640457,5.077100917696953,0.4136022627353668,11,0.6875
