t,r_port,cost,net,cum_ret,cum_cost_drag
149,0.05234596812365616,1.5150313215881405e-08,0.05234595297334294,0.05234596812365622,-1.515031322618654e-08
150,0.023332333066963508,1.2769141022300331e-08,0.023332320297822486,0.0768996547535934,-2.7919453970959296e-08
151,0.014557635609880519,8.943413569310144e-09,0.01455762666646695,0.09257676751590216,-3.6862867314191305e-08
152,0.015606014514523672,7.390713551799402e-09,0.01560600712381012,0.10962753640798661,-4.4253580688824457e-08
153,0.008886616082221917,5.734359871131783e-09,0.008886610347862046,0.11948837031830606,-4.998794034261067e-08
154,0.022969763611085665,4.616825841219206e-09,0.022969758994259824,0.14520275354987722,-5.4604765931109966e-08
155,0.013044897870838216,4.1650205779703286e-09,0.013044893705817637,0.16014180651133803,-5.8769786259738055e-08
156,0.011790976318331751,4.1075802563364836e-09,0.011790972210751495,0.17382101107781978,-6.28773663136073e-08
157,-0.0021745564343637813,4.384944665920095e-09,-0.0021745608193084473,0.17126847104538911,-6.726231072118338e-08
158,-0.009693951419608349,3.8845492759256444e-09,-0.009693955304157625,0.15991425138775606,-7.114685973697021e-08
159,0.018903737397724822,3.655038913131224e-09,0.018903733742685908,0.18184096579986875,-7.480189845310292e-08
160,0.004216962740582916,3.4884499023659994e-09,0.004216959252133013,0.18682474511794123,-7.829034809336832e-08
161,0.0063509928306788605,3.5414769762611414e-09,0.006350989289201884,0.19436226056545758,-8.183182487186969e-08
162,0.01502147023893726,3.6570969273974084e-09,0.015021466581840332,0.21230333771705157,-8.548892149740084e-08
163,0.025834255521937674,3.5200693942408402e-09,0.02583425200186828,0.24362229191373186,-8.900899051145217e-08
