asset,regime,mu_full,mu_train,mu_test,train-full,test-train
SPX,bear,0.0020529826122042552,0.0010523206529061664,0.01347850797592216,-0.0010006619592980888,0.012426187323015994
SPX,bull,0.0017472362971130114,0.0003238175195730506,0.013244020814445862,-0.0014234187775399609,0.012920203294872812
CMC200,bear,0.008654224603924817,0.0075797395423004964,0.026516707914873976,-0.0010744850616243203,0.018936968372573477
CMC200,bull,0.002832403484961032,-0.0001546557263863148,0.026797584417499173,-0.002987059211347347,0.02695224014388549
