t,r_port,cost,net,cum_ret,cum_cost_drag
149,0.055527574341966666,0.0022668032738605965,0.05326077106810607,0.05552757434196676,-0.0022668032738606403
150,0.016056126031356276,4.273660056516977e-09,0.016056121757696218,0.0724752581051733,-0.0022668075378331487
151,0.019872396357411143,2.887114322495581e-10,0.01987239606869971,0.09378791151775623,-0.0022668078258900604
152,0.011662010573945239,1.3624886530281868e-10,0.011662010437696374,0.10654367770752993,-0.0022668079618300974
153,0.008060600588712571,8.05911949937029e-11,0.008060600508121376,0.1154630843274953,-0.002266808042238666
154,0.00832654799743372,5.825531253541496e-11,0.008326547939178409,0.12475104123851355,-0.00226680810036195
155,0.021181339323698756,5.036048103314053e-11,0.021181339273338276,0.14857477469767,-0.0022668081506083126
156,0.008764821276119026,4.910367640064809e-11,0.00876482122701535,0.15864182732015375,-0.0022668081996006784
157,0.001593933122440639,5.234141618472179e-11,0.001593933070099223,0.16048862490576443,-0.00226680825182346
158,-0.013655691858366119,4.5424356964539877e-11,-0.013655691903790476,0.1446413498389123,-0.0022668082971448733
159,0.01845613538754781,4.237442442107709e-11,0.018456135345173385,0.16576700556172486,-0.0022668083394232763
160,0.009425482954729496,4.019074851243535e-11,0.009425482914538747,0.176754922601833,-0.0022668083795228666
161,0.009275273073339684,4.0806463568490597e-11,0.00927527303253322,0.18766964584936163,-0.0022668084202368544
162,0.014117878499364096,4.20934524620151e-11,0.014117878457270644,0.20443702160684563,-0.002266808462234926
163,0.01725717384807448,4.042087313119512e-11,0.017257173807653608,0.225222200677772,-0.0022668085025642215
