lambda,m,mean_regret,worst_regret
0.3,0.1,1175.4618,3604.8633
0.3,0.5,1175.4495,3604.872
0.3,1.0,1175.4724,3604.8633
0.9,0.1,5852.655,20472.023
0.9,0.5,5835.647,20718.266
0.9,1.0,5858.9634,21089.262
1.2,0.1,6941.3174,25630.988
1.2,0.5,6931.0713,25755.297
1.2,1.0,6947.6553,25951.012
1.5,0.1,7556.9463,28513.523
1.5,0.5,7548.6963,28606.16
1.5,1.0,7559.1187,28746.508
1.8,0.1,7950.142,30341.86
1.8,0.5,7943.2354,30415.371
1.8,1.0,7950.4272,30523.879
