asset,lambda,m,label,t,w
SPX,0.3,0.01,low_lambda_low_m,84,0.5611200283987124
SPX,0.3,0.01,low_lambda_low_m,85,0.8547366694207187
SPX,0.3,0.01,low_lambda_low_m,86,0.7212053926318401
SPX,0.3,0.01,low_lambda_low_m,87,0.25356551300842733
SPX,0.3,0.01,low_lambda_low_m,88,0.9999999444979318
SPX,0.3,0.01,low_lambda_low_m,89,4.0956186854220656e-08
SPX,0.3,0.01,low_lambda_low_m,90,0.05251273494845685
SPX,0.3,0.01,low_lambda_low_m,91,0.6624629754916997
SPX,0.3,0.01,low_lambda_low_m,92,0.3661134017248674
SPX,0.3,0.01,low_lambda_low_m,93,0.8702008584356429
SPX,0.3,0.01,low_lambda_low_m,94,0.542575460734715
SPX,0.3,0.01,low_lambda_low_m,95,0.36374370509346693
SPX,0.3,0.01,low_lambda_low_m,96,0.9999997304683854
SPX,0.3,0.01,low_lambda_low_m,97,0.9999999886878774
SPX,0.3,0.01,low_lambda_low_m,98,0.7202422848466951
SPX,0.3,0.01,low_lambda_low_m,99,0.9999999884057853
SPX,0.3,0.01,low_lambda_low_m,100,0.9999999020000597
SPX,0.3,0.01,low_lambda_low_m,101,0.44768135143646726
SPX,0.3,0.01,low_lambda_low_m,102,0.7315522008127187
SPX,0.3,0.01,low_lambda_low_m,103,0.9999999849867794
SPX,0.3,0.01,low_lambda_low_m,104,0.999996263121007
SPX,0.3,0.01,low_lambda_low_m,105,0.6569490972468197
SPX,0.3,0.01,low_lambda_low_m,106,0.43835155779667584
SPX,0.3,0.01,low_lambda_low_m,107,0.918125749097398
SPX,0.3,0.01,low_lambda_low_m,108,0.20177461256058452
SPX,0.3,0.01,low_lambda_low_m,109,0.9999999325524868
SPX,0.3,0.01,low_lambda_low_m,110,0.999999986026979
SPX,0.3,0.01,low_lambda_low_m,111,0.9999998149315602
SPX,0.3,0.01,low_lambda_low_m,112,0.5664793321061213
SPX,0.3,0.01,low_lambda_low_m,113,0.566375809824142
SPX,0.3,0.01,low_lambda_low_m,114,0.7493829934777554
SPX,0.3,0.01,low_lambda_low_m,115,0.7512894250176446
SPX,0.3,0.01,low_lambda_low_m,116,0.999999987490076
SPX,0.3,0.01,low_lambda_low_m,117,0.045270799636213395
SPX,0.3,0.01,low_lambda_low_m,118,0.12388222093276814
SPX,0.3,0.01,low_lambda_low_m,119,0.9999959090707448
SPX,0.3,0.01,low_lambda_low_m,120,4.676968037144623e-08
SPX,0.3,0.01,low_lambda_low_m,121,0.9999999786571574
SPX,0.3,0.01,low_lambda_low_m,122,0.6414318903610923
SPX,0.3,0.01,low_lambda_low_m,123,2.5403820303968033e-08
SPX,0.3,0.01,low_lambda_low_m,124,2.9518498154758074e-08
SPX,0.3,0.01,low_lambda_low_m,125,0.2691261597814733
SPX,0.3,0.01,low_lambda_low_m,126,0.4049691363464311
SPX,0.3,0.01,low_lambda_low_m,127,0.5347523337743659
SPX,0.3,0.01,low_lambda_low_m,128,0.2374024716933452
SPX,0.3,0.01,low_lambda_low_m,129,0.9999287696616223
SPX,0.3,0.01,low_lambda_low_m,130,0.9999999833098056
SPX,0.3,0.01,low_lambda_low_m,131,0.6826648081168768
SPX,0.3,0.01,low_lambda_low_m,132,0.9999999004369821
SPX,0.3,0.01,low_lambda_low_m,133,0.0076710965651539415
SPX,0.3,0.01,low_lambda_low_m,134,0.5808796022182732
SPX,0.3,0.01,low_lambda_low_m,135,0.999999908852444
SPX,0.3,0.01,low_lambda_low_m,136,0.9999999745874485
SPX,0.3,0.01,low_lambda_low_m,137,0.7590190354487268
SPX,0.3,0.01,low_lambda_low_m,138,0.9999996072037168
SPX,0.3,0.01,low_lambda_low_m,139,0.397448401842519
SPX,0.3,0.01,low_lambda_low_m,140,0.39740407645425896
SPX,0.3,0.01,low_lambda_low_m,141,0.9999999705940975
SPX,0.3,0.01,low_lambda_low_m,142,2.7134598307777835e-06
SPX,0.3,0.01,low_lambda_low_m,143,0.12018045313547047
SPX,0.3,0.01,low_lambda_low_m,144,0.7871522784254247
SPX,0.3,0.01,low_lambda_low_m,145,0.16972052027967754
SPX,0.3,0.01,low_lambda_low_m,146,0.61602595814703
SPX,0.3,0.01,low_lambda_low_m,147,0.6160258336565543
SPX,0.3,0.01,low_lambda_low_m,148,0.5520504457625431
SPX,0.3,0.01,low_lambda_low_m,149,0.6833773507648333
