policy,g_mean,mean_regret_$,V_hist,ret_hist_%,V_scen_mean,V_scen_worst,V_scen_best,ret_scen_mean_%,ret_scen_worst_%
OPT base,"(np.float64(1.8), np.float64(0.5))",194.1003875732422,13690.032845803318,36.90032845803317,13711.5248046875,10688.0283203125,17711.548828125,37.115248046875,6.880283203124993
DL pre-unif,"(np.float64(1.8), np.float64(0.01))",17.772069931030273,13096.832123646484,30.968321236464824,12349.9767578125,10606.0908203125,15488.119140625,23.499767578124995,6.060908203124993
DL post-unif,"(np.float64(1.8), np.float64(0.5))",0.961132824420929,12779.079281971499,27.790792819714994,14647.3580078125,10530.6630859375,19609.93359375,46.47358007812499,5.3066308593749945
Naive BH 50/50,-,,12258.459730122508,22.584597301225084,10325.518359375,7941.1923828125,12055.169921875,3.2551835937500107,-20.588076171875002
Naive RB 50/50,-,,12091.594389139935,20.915943891399348,10213.17216796875,7844.97900390625,11919.029296875,2.131721679687515,-21.550209960937504
