lambda,m,z_reported,z_check,retorno,riesgo,costo,var_total,T,V_max
0.3,0.01,0.05132881156353737,0.05132881156353738,0.07177570694099177,0.02042189281117006,2.5002566284329178e-05,0.07880578547374498,16,0.0006708005897819651
0.3,0.2,0.029186760851964245,0.029186760851964248,0.043595438877906935,0.01407800319655069,0.00033067482939199425,0.057659486758347075,16,0.0006708005897819651
0.3,0.5,0.034844122409188834,0.03484412240918883,0.05179156933014413,0.015697446619067825,0.0012500003018874755,0.06305763150007086,16,0.0006708005897819651
0.7,0.01,0.030809209756234416,0.030809209756234426,0.04377052937674994,0.012920621250823543,4.0698369691971937e-05,0.029190839794830788,16,0.0006708005897819651
0.7,0.2,0.02764099564750433,0.02764099564750433,0.03766964905231593,0.009872540892783645,0.000156112512027954,0.02483643928334522,16,0.0006708005897819651
0.7,0.5,0.028058350890627404,0.028058350890627408,0.03800083801162771,0.009737312710312196,0.00020517441068810546,0.024643256165528864,16,0.0006708005897819651
1.1,0.01,0.021993921652430252,0.021993921652430252,0.020441455636636144,-0.0015969073069004764,4.4441291106368235e-05,0.009281075521147372,16,0.0006708005897819651
1.1,0.2,0.027802577012719064,0.027802577012719064,0.033231063196282364,0.00530611609315958,0.0001223700904037205,0.015556551339383787,16,0.0006708005897819651
1.1,0.5,0.02426581272108179,0.024265812721081793,0.02703327975258126,0.002320741321471387,0.0004467257100280823,0.012842574274212702,16,0.0006708005897819651
1.5,0.01,0.025636704229193175,0.025636704229193175,0.02274751731153038,-0.0029180473415884936,2.886042392569988e-05,0.008787444542119112,16,0.0006708005897819651
1.5,0.2,0.026802825869918757,0.026802825869918754,0.028804267432869894,0.001772067238208469,0.00022937432474267239,0.011914187595317087,16,0.0006708005897819651
1.5,0.5,0.021544782456340165,0.02154478245634016,0.018501002329542212,-0.003876195174991954,0.0008324150481940058,0.008148679319850138,16,0.0006708005897819651
1.8,0.01,0.023026535172200102,0.0230265351722001,0.01373066838841823,-0.00933464890295203,3.878211917016063e-05,0.0055468933793158684,16,0.0006708005897819651
1.8,0.2,0.02333630024567937,0.02333630024567937,0.01592534478643814,-0.007782609307529532,0.0003716538482883049,0.006409137598995035,16,0.0006708005897819651
1.8,0.5,0.023531239722976546,0.023531239722976546,0.017429851165487738,-0.006917289375621226,0.000815900818132419,0.006889870894499649,16,0.0006708005897819651
