s,SPX,CMC200,portafolio_w_ref
0,-0.1989376,-0.34485787,-0.27430463
1,-0.08114272,-0.2050479,-0.1446774
2,-0.006052375,-0.05465752,-0.02936542
3,0.082530856,0.07529211,0.08096981
4,0.16626894,0.3419336,0.25272202
