lambda,m,mean_regret,worst_regret
0.3,0.01,911.29675,1629.8047
0.3,0.2,911.2988,1629.8076
0.3,0.5,911.29724,1629.8047
0.7,0.01,1034.2498,1698.9541
0.7,0.2,866.459,1555.293
0.7,0.5,860.7118,1565.5303
1.1,0.01,1090.3479,3564.3457
1.1,0.2,855.14813,2851.4883
1.1,0.5,835.6639,2874.753
1.5,0.01,891.6764,3442.1875
1.5,0.2,853.1862,3350.13
1.5,0.5,855.5824,3694.5625
1.8,0.01,975.6118,4076.1377
1.8,0.2,864.7667,3977.1455
1.8,0.5,858.08136,3871.963
