label,g_mean,g_worst
IS,"(np.float64(1.1), np.float64(0.5))","(np.float64(0.7), np.float64(0.2))"
OOS,"(np.float64(1.5), np.float64(0.01))","(np.float64(0.7), np.float64(0.01))"
