lambda,m,mean_regret,worst_regret
0.3,0.01,481.00156,1158.937
0.3,0.2,436.4169,934.0029
0.3,0.5,426.11603,989.03467
0.7,0.01,426.8996,697.1538
0.7,0.2,331.97177,718.2451
0.7,0.5,348.8453,735.4697
1.1,0.01,310.1551,1121.6309
1.1,0.2,326.813,911.5918
1.1,0.5,318.63593,977.0674
1.5,0.01,280.11954,1127.4219
1.5,0.2,308.5298,1069.0879
1.5,0.5,293.49228,1190.1201
1.8,0.01,310.04932,1348.2461
1.8,0.2,286.28964,1253.1191
1.8,0.5,290.88007,1224.2148
