asset,mu_dl_mean,realiz_mean,bias,hit_rate_signo,corr_mu_realiz
SPX,0.0017050022266268088,0.0018711220674846624,-0.00016611984085785356,0.5337423312883436,-0.02981863615932068
CMC200,0.002269391482411684,0.004195981141104295,-0.0019265896586926107,0.49693251533742333,-0.1327686707664366
