asset,mu_mix_dl_mean,scenarios_mean,gap_ex_ante_ex_post,corr_mu_scen
SPX,0.0017050022266268088,0.0016810939414426684,-2.390828518414041e-05,0.14485928804588433
CMC200,0.002269391482411684,0.001181236351840198,-0.0010881551305714859,0.21992614244110645
