src,asset,sigma_mean,mu_mean,sharpe_imp
DL,SPX,0.03197674735008901,0.0017050022266268088,0.0533200643567665
DL,CMC200,0.06871615226408477,0.002269391482411684,0.03302559016532428
OPT base,SPX,0.019223139314688838,0.0018711220674846624,0.09733696649926973
OPT base,CMC200,0.07956428656842038,0.0041959811411042955,0.052736991960532574
