src,metric,mean,min,max
DL,var_SPX,0.001023218007387461,0.0008880914728787375,0.0011829111382304128
OPT,var_SPX,0.00038659011879380484,0.00023570160517253177,0.000749989607960906
DL,var_CMC200,0.004723980598527321,0.0037528238659886564,0.005293344748335911
OPT,var_CMC200,0.006358326486919693,0.004573395378035884,0.007304890638834379
DL,corr_cross,-0.0036849160470486006,-0.08768596287546221,0.07014651187849422
OPT,corr_cross,0.21277616792604662,0.062379282182256,0.32441611995004244
