asset,src,mean,std,min,max
SPX,DL,0.0017050022266268088,0.0009553342343744713,-0.0007981924288906157,0.003979256667662412
SPX,OPT_base,0.0018711220674846624,0.00010310218533998975,0.0017640523202523768,0.0020359219784927183
CMC200,DL,0.002269391482411684,0.0021991621258440545,-0.003588514883071184,0.008166880507953465
CMC200,OPT_base,0.0041959811411042955,0.0009244767171498106,0.0035123921916560023,0.00798820826791536
