src,min_eigenvalue_global,frac_t_negative,min_t_lambda_min,max_t_lambda_max
DL,0.0008874784285026469,0.0,0.0008874784285026469,0.0052933790134190774
OPT,0.0002183659406104672,0.0,0.0002183659406104672,0.0073132565917056885
